"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -8.23458212485E+000, +0.00000000000E+000
+1.00500000000E+009, -8.28383855340E+000, +0.00000000000E+000
+1.01000000000E+009, -8.34161662171E+000, +0.00000000000E+000
+1.01500000000E+009, -8.38766547239E+000, +0.00000000000E+000
+1.02000000000E+009, -8.43617281609E+000, +0.00000000000E+000
+1.02500000000E+009, -8.48852313357E+000, +0.00000000000E+000
+1.03000000000E+009, -8.53411062144E+000, +0.00000000000E+000
+1.03500000000E+009, -8.59805039675E+000, +0.00000000000E+000
+1.04000000000E+009, -8.63989630280E+000, +0.00000000000E+000
+1.04500000000E+009, -8.70135908407E+000, +0.00000000000E+000
+1.05000000000E+009, -8.75271614997E+000, +0.00000000000E+000
+1.05500000000E+009, -8.82216253705E+000, +0.00000000000E+000
+1.06000000000E+009, -8.87461695947E+000, +0.00000000000E+000
+1.06500000000E+009, -8.93791550479E+000, +0.00000000000E+000
+1.07000000000E+009, -9.00082231961E+000, +0.00000000000E+000
+1.07500000000E+009, -9.07795469120E+000, +0.00000000000E+000
+1.08000000000E+009, -9.13507474615E+000, +0.00000000000E+000
+1.08500000000E+009, -9.21881032028E+000, +0.00000000000E+000
+1.09000000000E+009, -9.27458320100E+000, +0.00000000000E+000
+1.09500000000E+009, -9.35146334218E+000, +0.00000000000E+000
+1.10000000000E+009, -9.41584339778E+000, +0.00000000000E+000
+1.10500000000E+009, -9.49768543712E+000, +0.00000000000E+000
+1.11000000000E+009, -9.57232803475E+000, +0.00000000000E+000
+1.11500000000E+009, -9.65658721009E+000, +0.00000000000E+000
+1.12000000000E+009, -9.72773936556E+000, +0.00000000000E+000
+1.12500000000E+009, -9.80192485744E+000, +0.00000000000E+000
+1.13000000000E+009, -9.90188457056E+000, +0.00000000000E+000
+1.13500000000E+009, -9.96816282408E+000, +0.00000000000E+000
+1.14000000000E+009, -1.00687211132E+001, +0.00000000000E+000
+1.14500000000E+009, -1.01465044450E+001, +0.00000000000E+000
+1.15000000000E+009, -1.02363874171E+001, +0.00000000000E+000
+1.15500000000E+009, -1.03287235947E+001, +0.00000000000E+000
