"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -5.93969349177E-001, +0.00000000000E+000
+1.00500000000E+009, -5.86299789919E-001, +0.00000000000E+000
+1.01000000000E+009, -5.78675583999E-001, +0.00000000000E+000
+1.01500000000E+009, -5.75503647446E-001, +0.00000000000E+000
+1.02000000000E+009, -5.70819642452E-001, +0.00000000000E+000
+1.02500000000E+009, -5.67758188647E-001, +0.00000000000E+000
+1.03000000000E+009, -5.55581861811E-001, +0.00000000000E+000
+1.03500000000E+009, -5.46935181349E-001, +0.00000000000E+000
+1.04000000000E+009, -5.48830388296E-001, +0.00000000000E+000
+1.04500000000E+009, -5.39003479525E-001, +0.00000000000E+000
+1.05000000000E+009, -5.32271973274E-001, +0.00000000000E+000
+1.05500000000E+009, -5.27997559868E-001, +0.00000000000E+000
+1.06000000000E+009, -5.20081246787E-001, +0.00000000000E+000
+1.06500000000E+009, -5.13027942967E-001, +0.00000000000E+000
+1.07000000000E+009, -5.10343671105E-001, +0.00000000000E+000
+1.07500000000E+009, -5.05419848069E-001, +0.00000000000E+000
+1.08000000000E+009, -4.96216840397E-001, +0.00000000000E+000
+1.08500000000E+009, -4.94178711945E-001, +0.00000000000E+000
+1.09000000000E+009, -4.90276055567E-001, +0.00000000000E+000
+1.09500000000E+009, -4.90358695166E-001, +0.00000000000E+000
+1.10000000000E+009, -4.79857160034E-001, +0.00000000000E+000
+1.10500000000E+009, -4.82253822194E-001, +0.00000000000E+000
+1.11000000000E+009, -4.78961512257E-001, +0.00000000000E+000
+1.11500000000E+009, -4.71571292259E-001, +0.00000000000E+000
+1.12000000000E+009, -4.67412679638E-001, +0.00000000000E+000
+1.12500000000E+009, -4.65920359344E-001, +0.00000000000E+000
+1.13000000000E+009, -4.61459005334E-001, +0.00000000000E+000
+1.13500000000E+009, -4.59279930925E-001, +0.00000000000E+000
+1.14000000000E+009, -4.54937460499E-001, +0.00000000000E+000
+1.14500000000E+009, -4.52577986325E-001, +0.00000000000E+000
+1.15000000000E+009, -4.47657833257E-001, +0.00000000000E+000
+1.15500000000E+009, -4.45494725290E-001, +0.00000000000E+000
+1.16000000000E+009, -4.40033914286E-001, +0.00000000000E+000
+1.16500000000E+009, -4.38910486720E-001, +0.00000000000E+000
+1.17000000000E+009, -4.30289696740E-001, +0.00000000000E+000
+1.17500000000E+009, -4.30049259533E-001, +0.00000000000E+000
+1.18000000000E+009, -4.30113653939E-001, +0.00000000000E+000
+1.18500000000E+009, -4.26931296598E-001, +0.00000000000E+000
+1.19000000000E+009, -4.17554287698E-001, +0.00000000000E+000
+1.19500000000E+009, -4.20465760985E-001, +0.00000000000E+000
+1.20000000000E+009, -4.14732990739E-001, +0.00000000000E+000
+1.20500000000E+009, -4.17203939069E-001, +0.00000000000E+000
+1.21000000000E+009, -4.09113593054E-001, +0.00000000000E+000
+1.21500000000E+009, -4.07487991017E-001, +0.00000000000E+000
+1.22000000000E+009, -4.11723637276E-001, +0.00000000000E+000
+1.22500000000E+009, -4.10241016227E-001, +0.00000000000E+000
+1.23000000000E+009, -4.05185149880E-001, +0.00000000000E+000
+1.23500000000E+009, -4.07297901294E-001, +0.00000000000E+000
+1.24000000000E+009, -4.03043126491E-001, +0.00000000000E+000
+1.24500000000E+009, -4.01753610457E-001, +0.00000000000E+000
+1.25000000000E+009, -4.04579882194E-001, +0.00000000000E+000
+1.25500000000E+009, -4.04189430760E-001, +0.00000000000E+000
+1.26000000000E+009, -4.05882060742E-001, +0.00000000000E+000
+1.26500000000E+009, -4.01776271221E-001, +0.00000000000E+000
+1.27000000000E+009, -4.00370657563E-001, +0.00000000000E+000
+1.27500000000E+009, -4.03459334663E-001, +0.00000000000E+000
+1.28000000000E+009, -4.00239201451E-001, +0.00000000000E+000
+1.28500000000E+009, -3.96655338398E-001, +0.00000000000E+000
+1.29000000000E+009, -3.98688240897E-001, +0.00000000000E+000
+1.29500000000E+009, -4.00511954839E-001, +0.00000000000E+000
+1.30000000000E+009, -3.97397715410E-001, +0.00000000000E+000
