"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -7.98133052236E-001, +0.00000000000E+000
+1.00500000000E+009, -7.90358665424E-001, +0.00000000000E+000
+1.01000000000E+009, -7.79184855958E-001, +0.00000000000E+000
+1.01500000000E+009, -7.76263601038E-001, +0.00000000000E+000
+1.02000000000E+009, -7.70665145934E-001, +0.00000000000E+000
+1.02500000000E+009, -7.63903194081E-001, +0.00000000000E+000
+1.03000000000E+009, -7.51586012762E-001, +0.00000000000E+000
+1.03500000000E+009, -7.42493633307E-001, +0.00000000000E+000
+1.04000000000E+009, -7.40351893077E-001, +0.00000000000E+000
+1.04500000000E+009, -7.29070172819E-001, +0.00000000000E+000
+1.05000000000E+009, -7.20623503978E-001, +0.00000000000E+000
+1.05500000000E+009, -7.12713605163E-001, +0.00000000000E+000
+1.06000000000E+009, -7.01214521995E-001, +0.00000000000E+000
+1.06500000000E+009, -6.94132943532E-001, +0.00000000000E+000
+1.07000000000E+009, -6.88495581965E-001, +0.00000000000E+000
+1.07500000000E+009, -6.80019617132E-001, +0.00000000000E+000
+1.08000000000E+009, -6.69873252871E-001, +0.00000000000E+000
+1.08500000000E+009, -6.59302929685E-001, +0.00000000000E+000
+1.09000000000E+009, -6.55283749000E-001, +0.00000000000E+000
+1.09500000000E+009, -6.50544476752E-001, +0.00000000000E+000
+1.10000000000E+009, -6.39123807496E-001, +0.00000000000E+000
+1.10500000000E+009, -6.35383802372E-001, +0.00000000000E+000
+1.11000000000E+009, -6.31227533746E-001, +0.00000000000E+000
+1.11500000000E+009, -6.21772417647E-001, +0.00000000000E+000
+1.12000000000E+009, -6.13991661669E-001, +0.00000000000E+000
+1.12500000000E+009, -6.10847604758E-001, +0.00000000000E+000
+1.13000000000E+009, -6.02315463661E-001, +0.00000000000E+000
+1.13500000000E+009, -5.93938338421E-001, +0.00000000000E+000
+1.14000000000E+009, -5.86478053116E-001, +0.00000000000E+000
+1.14500000000E+009, -5.82328995229E-001, +0.00000000000E+000
+1.15000000000E+009, -5.76554984851E-001, +0.00000000000E+000
+1.15500000000E+009, -5.65002827039E-001, +0.00000000000E+000
+1.16000000000E+009, -5.59771777359E-001, +0.00000000000E+000
