Frequency (Hz),Real Part,Imaginary Part
1600000000.0,-0.790233,0.51968
1607000000.0,-0.765115,0.558753
1614000000.0,-0.741182,0.594934
1621000000.0,-0.718227,0.624835
1628000000.0,-0.675848,0.662858
1635000000.0,-0.638707,0.695879
1642000000.0,-0.606898,0.72053
1649000000.0,-0.569359,0.745257
1656000000.0,-0.53282,0.770231
1663000000.0,-0.494113,0.795077
1670000000.0,-0.463117,0.814636
1677000000.0,-0.415652,0.839751
1684000000.0,-0.378689,0.855502
1691000000.0,-0.335957,0.869847
1698000000.0,-0.295185,0.887401
1705000000.0,-0.248505,0.898803
1712000000.0,-0.216982,0.907604
1719000000.0,-0.162929,0.919989
1726000000.0,-0.11647,0.924509
1733000000.0,-0.080307,0.926383
1740000000.0,-0.047633,0.927177
1747000000.0,0.010046,0.923974
1754000000.0,0.051716,0.916931
1761000000.0,0.088528,0.908206
1768000000.0,0.137673,0.899802
1775000000.0,0.179773,0.892574
1782000000.0,0.220704,0.880522
1789000000.0,0.256026,0.86479
1796000000.0,0.299697,0.853321
1803000000.0,0.337803,0.834557
1810000000.0,0.372881,0.817141
1817000000.0,0.408078,0.802204
1824000000.0,0.446653,0.780326
1831000000.0,0.48674,0.751541
1838000000.0,0.5112,0.724583
1845000000.0,0.549989,0.69334
1852000000.0,0.576119,0.658051
1859000000.0,0.599059,0.643695
1866000000.0,0.628868,0.607874
1873000000.0,0.661293,0.576323
1880000000.0,0.687192,0.536389
1887000000.0,0.710711,0.499702
1894000000.0,0.738603,0.462198
1901000000.0,0.752987,0.431759
1908000000.0,0.769926,0.383588
1915000000.0,0.785875,0.341269
1922000000.0,0.793081,0.301822
1929000000.0,0.809056,0.265365
1936000000.0,0.814989,0.219325
1943000000.0,0.820806,0.193535
1950000000.0,0.82529,0.137958
1957000000.0,0.828455,0.100994
1964000000.0,0.817286,0.155268
1971000000.0,0.823199,0.020395
1978000000.0,0.814034,-0.04105
1985000000.0,0.802501,-0.086435
1992000000.0,0.790536,-0.125449
1999000000.0,0.779299,-0.157675
2006000000.0,0.755856,-0.205493
2013000000.0,0.735242,-0.246215
2020000000.0,0.71154,-0.277373
2027000000.0,0.68236,-0.309237
2034000000.0,0.653213,-0.334693
2041000000.0,0.624503,-0.358455
2048000000.0,0.541678,-0.442463
2055000000.0,0.557297,-0.407825
2062000000.0,0.528203,-0.419441
2069000000.0,0.498734,-0.43014
2076000000.0,0.464091,-0.442929
2083000000.0,0.431997,-0.448261
2090000000.0,0.405875,-0.452044
2097000000.0,0.381213,-0.453451
2104000000.0,0.361575,-0.452958
2111000000.0,0.342395,-0.452516
2118000000.0,0.316281,-0.457478
2125000000.0,0.314569,-0.452962
2132000000.0,0.304745,-0.454298
2139000000.0,0.293842,-0.45825
