Freq (Hz),Real Part,Imaginary Part
2500000000.0,0.161665,-0.769517
2502500000.0,0.138514,-0.758912
2505000000.0,0.133079,-0.76385
2507500000.0,0.107298,-0.753604
2510000000.0,0.094819,-0.753994
2512500000.0,0.051196,-0.750644
2515000000.0,0.057119,-0.747782
2517500000.0,0.045242,-0.74364
2520000000.0,0.008516,-0.738671
2522500000.0,0.001315,-0.733841
2525000000.0,-0.006371,-0.731869
2527500000.0,-0.035724,-0.722967
2530000000.0,-0.045509,-0.727429
2532500000.0,-0.073388,-0.716861
2535000000.0,-0.080327,-0.696135
2537500000.0,-0.129239,-0.68003
2540000000.0,-0.118579,-0.669399
2542500000.0,-0.138307,-0.663269
2545000000.0,-0.145085,-0.65099
2547500000.0,-0.163135,-0.6354
2550000000.0,-0.184372,-0.615084
2552500000.0,-0.200924,-0.607898
2555000000.0,-0.211325,-0.585881
2557500000.0,-0.225581,-0.56677
2560000000.0,-0.234946,-0.546078
2562500000.0,-0.242759,-0.537927
2565000000.0,-0.261211,-0.513422
2567500000.0,-0.262428,-0.501813
2570000000.0,-0.277981,-0.478453
2572500000.0,-0.292268,-0.453457
2575000000.0,-0.299524,-0.426282
2577500000.0,-0.305482,-0.399148
2580000000.0,-0.305631,-0.372276
2582500000.0,-0.30742,-0.358
2585000000.0,-0.307031,-0.330603
2587500000.0,-0.303258,-0.302927
2590000000.0,-0.299858,-0.287584
2592500000.0,-0.298157,-0.265333
2595000000.0,-0.289929,-0.244089
2597500000.0,-0.285402,-0.228053
2600000000.0,-0.264544,-0.222012
2602500000.0,-0.254619,-0.214128
2605000000.0,-0.25928,-0.176501
2607500000.0,-0.243996,-0.160022
2610000000.0,-0.234811,-0.144452
2612500000.0,-0.223697,-0.131512
2615000000.0,-0.212461,-0.114636
2617500000.0,-0.200528,-0.106905
2620000000.0,-0.188023,-0.093388
2622500000.0,-0.180066,-0.076624
2625000000.0,-0.164657,-0.082041
2627500000.0,-0.149331,-0.081072
2630000000.0,-0.143066,-0.069801
2632500000.0,-0.132043,-0.063292
2635000000.0,-0.119583,-0.059031
2637500000.0,-0.109582,-0.056901
2640000000.0,-0.101735,-0.051796
2642500000.0,-0.092811,-0.046215
2645000000.0,-0.084392,-0.043558
2647500000.0,-0.076055,-0.040471
2650000000.0,-0.068614,-0.037808
2652500000.0,-0.060257,-0.035817
2655000000.0,-0.05254,-0.034365
2657500000.0,-0.045643,-0.031141
2660000000.0,-0.038394,-0.029982
2662500000.0,-0.032041,-0.028259
2665000000.0,-0.026272,-0.026599
2667500000.0,-0.020298,-0.024431
2670000000.0,-0.014769,-0.022605
2672500000.0,-0.008932,-0.021088
2675000000.0,-0.003648,-0.01914
2677500000.0,0.001731,-0.01682
2680000000.0,0.006377,-0.014408
2682500000.0,0.011459,-0.012123
