Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.676139,0.607893
2005000000.0,0.685553,0.605811
2010000000.0,0.688478,0.592977
2015000000.0,0.697434,0.593416
2020000000.0,0.705315,0.581638
2025000000.0,0.730132,0.56455
2030000000.0,0.729029,0.565093
2035000000.0,0.737289,0.554261
2040000000.0,0.749753,0.536059
2045000000.0,0.746571,0.53974
2050000000.0,0.76414,0.52064
2055000000.0,0.768611,0.522789
2060000000.0,0.782011,0.501994
2065000000.0,0.790344,0.484945
2070000000.0,0.806324,0.475461
2075000000.0,0.81632,0.456369
2080000000.0,0.814626,0.452382
2085000000.0,0.831148,0.431558
2090000000.0,0.845213,0.413818
2095000000.0,0.849107,0.40205
2100000000.0,0.854741,0.38673
2105000000.0,0.884698,0.29322
2110000000.0,0.864967,0.357628
2115000000.0,0.885284,0.328426
2120000000.0,0.882482,0.335586
2125000000.0,0.881331,0.312676
2130000000.0,0.889487,0.291479
2135000000.0,0.896491,0.279568
2140000000.0,0.898954,0.259939
2145000000.0,0.89933,0.253132
2150000000.0,0.906056,0.22127
2155000000.0,0.907104,0.223182
2160000000.0,0.919342,0.19367
2165000000.0,0.918287,0.166081
2170000000.0,0.917022,0.172449
2175000000.0,0.912564,0.138409
2180000000.0,0.919173,0.120884
2185000000.0,0.913023,0.117967
2190000000.0,0.916081,0.092626
2195000000.0,0.918718,0.084987
2200000000.0,0.922798,0.091049
2205000000.0,0.916938,0.059078
2210000000.0,0.921454,0.034579
2215000000.0,0.915485,0.024934
2220000000.0,0.911718,-0.003048
2225000000.0,0.907201,-0.012277
2230000000.0,0.904212,-0.030098
2235000000.0,0.909779,-0.048807
2240000000.0,0.903007,-0.063075
2245000000.0,0.891622,-0.075665
2250000000.0,0.884861,-0.156065
2255000000.0,0.896772,-0.113149
2260000000.0,0.8704,-0.118084
2265000000.0,0.891454,-0.141181
2270000000.0,0.887081,-0.140195
2275000000.0,0.872283,-0.170825
2280000000.0,0.881833,-0.186452
2285000000.0,0.882463,-0.181434
2290000000.0,0.871566,-0.206212
