Freq (Hz),Real Part,Imaginary Part
2500000000.0,0.157435,-0.772188
2502500000.0,0.152474,-0.766076
2505000000.0,0.141163,-0.754322
2507500000.0,0.129303,-0.762425
2510000000.0,0.099288,-0.754731
2512500000.0,0.088462,-0.752561
2515000000.0,0.071611,-0.746216
2517500000.0,0.067995,-0.743864
2520000000.0,0.044417,-0.745868
2522500000.0,0.021908,-0.737092
2525000000.0,0.002087,-0.736299
2527500000.0,-0.015211,-0.730011
2530000000.0,-0.029259,-0.727114
2532500000.0,-0.041777,-0.716945
2535000000.0,-0.062391,-0.708872
2537500000.0,-0.088612,-0.689556
2540000000.0,-0.085563,-0.686949
2542500000.0,-0.107781,-0.669093
2545000000.0,-0.144077,-0.654237
2547500000.0,-0.142514,-0.645332
2550000000.0,-0.176672,-0.631392
2552500000.0,-0.170842,-0.619379
2555000000.0,-0.200734,-0.594497
2557500000.0,-0.239763,-0.570163
2560000000.0,-0.250457,-0.55157
2562500000.0,-0.229496,-0.556903
2565000000.0,-0.25571,-0.53241
2567500000.0,-0.255505,-0.521075
2570000000.0,-0.267914,-0.50271
2572500000.0,-0.273753,-0.483246
2575000000.0,-0.29311,-0.449341
2577500000.0,-0.2483,-0.455723
2580000000.0,-0.29577,-0.40278
2582500000.0,-0.294276,-0.394731
2585000000.0,-0.301312,-0.364676
2587500000.0,-0.29716,-0.343108
2590000000.0,-0.301766,-0.31649
2592500000.0,-0.298623,-0.293453
2595000000.0,-0.297202,-0.268667
2597500000.0,-0.292516,-0.24823
2600000000.0,-0.284011,-0.232506
2602500000.0,-0.276175,-0.212773
2605000000.0,-0.259712,-0.203139
2607500000.0,-0.260976,-0.169833
2610000000.0,-0.244796,-0.166826
2612500000.0,-0.23315,-0.153195
2615000000.0,-0.222645,-0.139392
2617500000.0,-0.214911,-0.116801
2620000000.0,-0.201983,-0.110973
2622500000.0,-0.187438,-0.105006
2625000000.0,-0.173005,-0.097586
2627500000.0,-0.162426,-0.09082
2630000000.0,-0.150466,-0.08141
2632500000.0,-0.138958,-0.078046
2635000000.0,-0.129082,-0.073906
2637500000.0,-0.118169,-0.067851
2640000000.0,-0.10849,-0.063995
2642500000.0,-0.099545,-0.058765
2645000000.0,-0.090562,-0.055717
2647500000.0,-0.08129,-0.052681
2650000000.0,-0.073557,-0.048446
2652500000.0,-0.064855,-0.047538
2655000000.0,-0.057951,-0.045974
2657500000.0,-0.049502,-0.043799
2660000000.0,-0.042426,-0.042057
2662500000.0,-0.038202,-0.038775
2665000000.0,-0.030467,-0.039395
2667500000.0,-0.024345,-0.038158
2670000000.0,-0.018399,-0.03621
2672500000.0,-0.013064,-0.035076
2675000000.0,-0.007271,-0.033019
2677500000.0,-0.001805,-0.031642
2680000000.0,0.003073,-0.029756
