Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.667044,0.615222
2005000000.0,0.673066,0.610773
2010000000.0,0.685483,0.612169
2015000000.0,0.697992,0.59612
2020000000.0,0.70619,0.589757
2025000000.0,0.725243,0.568768
2030000000.0,0.727933,0.565724
2035000000.0,0.737486,0.563584
2040000000.0,0.743193,0.541935
2045000000.0,0.748831,0.543386
2050000000.0,0.765377,0.52312
2055000000.0,0.766742,0.528229
2060000000.0,0.782787,0.504969
2065000000.0,0.784414,0.504428
2070000000.0,0.801912,0.483757
2075000000.0,0.811145,0.470128
2080000000.0,0.823343,0.450719
2085000000.0,0.828699,0.438842
2090000000.0,0.841857,0.421321
2095000000.0,0.844138,0.409549
2100000000.0,0.851548,0.393952
2105000000.0,0.86568,0.374744
2110000000.0,0.862628,0.362184
2115000000.0,0.882801,0.326937
2120000000.0,0.87865,0.335559
2125000000.0,0.884548,0.326867
2130000000.0,0.884169,0.308864
2135000000.0,0.896412,0.28634
2140000000.0,0.895968,0.270714
2145000000.0,0.899307,0.251685
2150000000.0,0.902887,0.233932
2155000000.0,0.904575,0.227629
2160000000.0,0.915708,0.197775
2165000000.0,0.920466,0.184499
2170000000.0,0.893792,0.295415
2175000000.0,0.907269,0.143301
2180000000.0,0.921608,0.144804
2185000000.0,0.919406,0.118229
2190000000.0,0.916384,0.092718
2195000000.0,0.917183,0.097338
2200000000.0,0.914256,0.061351
2205000000.0,0.921834,0.05186
2210000000.0,0.922894,0.048748
2215000000.0,0.920799,0.028064
2220000000.0,0.913537,0.008582
2225000000.0,0.911897,-0.004218
2230000000.0,0.910767,-0.015235
2235000000.0,0.9217,0.024125
2240000000.0,0.902817,-0.055155
2245000000.0,0.900961,-0.079002
2250000000.0,0.907663,-0.084123
2255000000.0,0.908576,-0.116089
2260000000.0,0.890579,-0.12034
2265000000.0,0.89085,-0.1247
2270000000.0,0.898496,-0.128558
2275000000.0,0.881687,-0.149271
2280000000.0,0.888339,-0.173967
2285000000.0,0.891133,-0.161042
2290000000.0,0.881345,-0.196905
2295000000.0,0.884238,-0.211354
2300000000.0,0.861963,-0.290598
2305000000.0,0.869382,-0.261023
2310000000.0,0.872861,-0.261542
2315000000.0,0.859526,-0.28944
2320000000.0,0.84951,-0.324305
2325000000.0,0.856919,-0.312208
2330000000.0,0.851746,-0.339031
2335000000.0,0.845,-0.353727
2340000000.0,0.828699,-0.381071
2345000000.0,0.82155,-0.393727
2350000000.0,0.81822,-0.424884
2355000000.0,0.806025,-0.441291
2360000000.0,0.800105,-0.44738
2365000000.0,0.78447,-0.467983
2370000000.0,0.769711,-0.48685
2375000000.0,0.751924,-0.504335
2380000000.0,0.746169,-0.527676
2385000000.0,0.732077,-0.539502
2390000000.0,0.700511,-0.564654
2395000000.0,0.699367,-0.565435
2400000000.0,0.680215,-0.585256
2405000000.0,0.661699,-0.603949
2410000000.0,0.650572,-0.60616
2415000000.0,0.625313,-0.619888
2420000000.0,0.612377,-0.637855
2425000000.0,0.583205,-0.657782
2430000000.0,0.573662,-0.660353
2435000000.0,0.544442,-0.673901
2440000000.0,0.543725,-0.669162
2445000000.0,0.515087,-0.688623
2450000000.0,0.481894,-0.696646
2455000000.0,0.471593,-0.711355
2460000000.0,0.450491,-0.718751
2465000000.0,0.412212,-0.738065
2470000000.0,0.405088,-0.747599
2475000000.0,0.382724,-0.749274
2480000000.0,0.360024,-0.762654
2485000000.0,0.344939,-0.778126
2490000000.0,0.319081,-0.775912
2495000000.0,0.289265,-0.781293
2500000000.0,0.247972,-0.773468
2505000000.0,0.219465,-0.782591
2510000000.0,0.199538,-0.796064
2515000000.0,0.166144,-0.785648
2520000000.0,0.133339,-0.790314
2525000000.0,0.15931,-0.775311
2530000000.0,0.074981,-0.783899
2535000000.0,0.014414,-0.771986
2540000000.0,0.017505,-0.767249
2545000000.0,-0.018733,-0.754868
2550000000.0,-0.055874,-0.740489
2555000000.0,-0.073923,-0.732478
2560000000.0,-0.122867,-0.702437
2565000000.0,-0.141631,-0.694275
2570000000.0,-0.181941,-0.665208
2575000000.0,-0.213834,-0.656834
2580000000.0,-0.229436,-0.61912
2585000000.0,-0.279368,-0.582446
2590000000.0,-0.299727,-0.548952
2595000000.0,-0.317719,-0.501922
2600000000.0,-0.329532,-0.465105
2605000000.0,-0.347277,-0.406891
2610000000.0,-0.352091,-0.36192
2615000000.0,-0.343305,-0.320048
2620000000.0,-0.326256,-0.271465
2625000000.0,-0.321993,-0.235791
2630000000.0,-0.306154,-0.200649
2635000000.0,-0.283592,-0.17264
2640000000.0,-0.261204,-0.140239
2645000000.0,-0.233401,-0.123354
2650000000.0,-0.212695,-0.088884
2655000000.0,-0.184374,-0.077119
2660000000.0,-0.164588,-0.066469
2665000000.0,-0.141832,-0.054527
2670000000.0,-0.120797,-0.051492
2675000000.0,-0.101955,-0.046044
2680000000.0,-0.083956,-0.043954
2685000000.0,-0.067742,-0.042107
2690000000.0,-0.054058,-0.039037
2695000000.0,-0.036752,-0.042183
2700000000.0,-0.027947,-0.037595
2705000000.0,-0.01808,-0.036595
2710000000.0,-0.00746,-0.035648
2715000000.0,0.001728,-0.034043
2720000000.0,0.009857,-0.032619
2725000000.0,0.019772,-0.029887
2730000000.0,0.027542,-0.027027
2735000000.0,0.037272,-0.023571
2740000000.0,0.046898,-0.018419
2745000000.0,0.057391,-0.014212
2750000000.0,0.066755,-0.011537
2755000000.0,0.079729,-0.005354
2760000000.0,0.09188,-0.002581
2765000000.0,0.107031,-0.002707
2770000000.0,0.123139,0.002179
2775000000.0,0.140052,0.002094
2780000000.0,0.156407,0.001805
2785000000.0,0.175792,0.003547
2790000000.0,0.18732,-0.007752
2795000000.0,0.204966,-0.010062
2800000000.0,0.22064,-0.02326
2805000000.0,0.235141,-0.032606
2810000000.0,0.246227,-0.035588
2815000000.0,0.257262,-0.053853
2820000000.0,0.271423,-0.065059
2825000000.0,0.283027,-0.08027
2830000000.0,0.299658,-0.080829
2835000000.0,0.299819,-0.112446
2840000000.0,0.311113,-0.118448
2845000000.0,0.316075,-0.140048
2850000000.0,0.33083,-0.150841
2855000000.0,0.320799,-0.173618
2860000000.0,0.333492,-0.180921
2865000000.0,0.337426,-0.190577
2870000000.0,0.345076,-0.202858
2875000000.0,0.342937,-0.220382
2880000000.0,0.342182,-0.242036
2885000000.0,0.346211,-0.25322
2890000000.0,0.346578,-0.271028
2895000000.0,0.346379,-0.293829
2900000000.0,0.344204,-0.310718
2905000000.0,0.3367,-0.329362
2910000000.0,0.333878,-0.347539
2915000000.0,0.320553,-0.369845
2920000000.0,0.320899,-0.380945
2925000000.0,0.313249,-0.396844
2930000000.0,0.2958,-0.425802
2935000000.0,0.2824,-0.438831
2940000000.0,0.326144,-0.418165
2945000000.0,0.246089,-0.466268
2950000000.0,0.222693,-0.474624
2955000000.0,0.206208,-0.482914
2960000000.0,0.194704,-0.479963
2965000000.0,0.171979,-0.479011
2970000000.0,0.154374,-0.488076
2975000000.0,0.141409,-0.485588
2980000000.0,0.107424,-0.490147
2985000000.0,0.103941,-0.491164
2990000000.0,0.085003,-0.492401
2995000000.0,0.070743,-0.489746
3000000000.0,0.041195,-0.485577
