Freq (Hz),Real Part,Imaginary Part
2500000000.0,0.184534,-0.769284
2502500000.0,0.161837,-0.757785
2505000000.0,0.149753,-0.759802
2507500000.0,0.138342,-0.762143
2510000000.0,0.110769,-0.756789
2512500000.0,0.068606,-0.752447
2515000000.0,0.085922,-0.754122
2517500000.0,0.065773,-0.754051
2520000000.0,0.051056,-0.744954
2522500000.0,0.038224,-0.740522
2525000000.0,0.023004,-0.737824
2527500000.0,-0.000796,-0.735615
2530000000.0,-0.021818,-0.72757
2532500000.0,-0.035145,-0.718619
2535000000.0,-0.04431,-0.713833
2537500000.0,-0.061306,-0.6995
2540000000.0,-0.077741,-0.688151
2542500000.0,-0.099565,-0.684756
2545000000.0,-0.109058,-0.66765
2547500000.0,-0.12547,-0.658909
2550000000.0,-0.147437,-0.640679
2552500000.0,-0.163119,-0.633008
2555000000.0,-0.175085,-0.621727
2557500000.0,-0.188253,-0.602855
2560000000.0,-0.197602,-0.587971
2562500000.0,-0.218222,-0.581023
2565000000.0,-0.232696,-0.560446
2567500000.0,-0.230848,-0.544054
2570000000.0,-0.248469,-0.527952
2572500000.0,-0.268857,-0.504096
2575000000.0,-0.275214,-0.479802
2577500000.0,-0.308936,-0.438391
2580000000.0,-0.285882,-0.440242
2582500000.0,-0.298765,-0.411743
2585000000.0,-0.305137,-0.386891
2587500000.0,-0.304842,-0.36483
2590000000.0,-0.303853,-0.342448
2592500000.0,-0.305294,-0.317749
2595000000.0,-0.298257,-0.30591
2597500000.0,-0.298063,-0.278599
2600000000.0,-0.294277,-0.258887
2602500000.0,-0.288177,-0.237111
2605000000.0,-0.276272,-0.22794
2607500000.0,-0.267161,-0.202375
2610000000.0,-0.259054,-0.184381
2612500000.0,-0.247179,-0.174025
2615000000.0,-0.236436,-0.15636
2617500000.0,-0.22709,-0.139592
2620000000.0,-0.217611,-0.125026
2622500000.0,-0.205474,-0.11677
2625000000.0,-0.189857,-0.10805
2627500000.0,-0.176975,-0.099309
2630000000.0,-0.167886,-0.090115
2632500000.0,-0.155608,-0.08697
2635000000.0,-0.143655,-0.08361
2637500000.0,-0.131906,-0.074331
2640000000.0,-0.122867,-0.070837
2642500000.0,-0.11202,-0.064354
2645000000.0,-0.102336,-0.062276
2647500000.0,-0.093813,-0.058201
2650000000.0,-0.08474,-0.054674
2652500000.0,-0.076185,-0.051757
2655000000.0,-0.067775,-0.049508
2657500000.0,-0.058501,-0.048561
2660000000.0,-0.054051,-0.043402
2662500000.0,-0.045776,-0.044384
2665000000.0,-0.038835,-0.043111
2667500000.0,-0.031965,-0.041947
2670000000.0,-0.025958,-0.041306
2672500000.0,-0.020127,-0.039742
2675000000.0,-0.014168,-0.038511
2677500000.0,-0.008758,-0.037478
2680000000.0,-0.005144,-0.035421
2682500000.0,0.00047,-0.034133
2685000000.0,0.005545,-0.032471
2687500000.0,0.009432,-0.031063
2690000000.0,0.014868,-0.028818
2692500000.0,0.020007,-0.027074
2695000000.0,0.023915,-0.025074
2697500000.0,0.028503,-0.0227
2700000000.0,0.032733,-0.02021
2702500000.0,0.037415,-0.017666
2705000000.0,0.042242,-0.01504
2707500000.0,0.047384,-0.013234
2710000000.0,0.052145,-0.009134
2712500000.0,0.057711,-0.00588
2715000000.0,0.063674,-0.003421
2717500000.0,0.068833,-0.000663
2720000000.0,0.074755,0.004756
2722500000.0,0.080885,0.006052
2725000000.0,0.087344,0.009033
2727500000.0,0.093978,0.012613
2730000000.0,0.100945,0.016192
2732500000.0,0.107531,0.027726
2735000000.0,0.118369,0.019013
2737500000.0,0.125595,0.022227
2740000000.0,0.134675,0.023612
2742500000.0,0.1459,0.024922
2745000000.0,0.153725,0.025638
2747500000.0,0.163566,0.026914
2750000000.0,0.174265,0.027691
2752500000.0,0.184443,0.026916
2755000000.0,0.193833,0.028601
2757500000.0,0.206409,0.02293
2760000000.0,0.214484,0.009843
2762500000.0,0.227213,0.020155
2765000000.0,0.235175,0.013732
2767500000.0,0.247856,0.011444
2770000000.0,0.256686,0.004123
2772500000.0,0.266789,0.006547
2775000000.0,0.279045,-0.002775
2777500000.0,0.286124,-0.031571
2780000000.0,0.292149,-0.010217
2782500000.0,0.302603,-0.026686
2785000000.0,0.30975,-0.03032
2787500000.0,0.317764,-0.039932
2790000000.0,0.323541,-0.053637
2792500000.0,0.333415,-0.062736
2795000000.0,0.339251,-0.070382
2797500000.0,0.34261,-0.075854
2800000000.0,0.349544,-0.089878
2802500000.0,0.351144,-0.092376
2805000000.0,0.353851,-0.104976
2807500000.0,0.356884,-0.102156
2810000000.0,0.362604,-0.115632
2812500000.0,0.365085,-0.129475
2815000000.0,0.367274,-0.132099
2817500000.0,0.371443,-0.139116
2820000000.0,0.380825,-0.148709
2822500000.0,0.376925,-0.156469
2825000000.0,0.379885,-0.16627
2827500000.0,0.382894,-0.17665
2830000000.0,0.379651,-0.187866
2832500000.0,0.37691,-0.19683
2835000000.0,0.378266,-0.202292
2837500000.0,0.399875,-0.188454
2840000000.0,0.381895,-0.220557
2842500000.0,0.385394,-0.231904
2845000000.0,0.386839,-0.24147
2847500000.0,0.386368,-0.244889
2850000000.0,0.38699,-0.255209
2852500000.0,0.388726,-0.254988
2855000000.0,0.385094,-0.26866
2857500000.0,0.376277,-0.280815
2860000000.0,0.378372,-0.289665
2862500000.0,0.377368,-0.298802
2865000000.0,0.369725,-0.310111
2867500000.0,0.367881,-0.316627
2870000000.0,0.373943,-0.318561
2872500000.0,0.365257,-0.334618
2875000000.0,0.373717,-0.336693
2877500000.0,0.362367,-0.347815
2880000000.0,0.360582,-0.358569
2882500000.0,0.35714,-0.3719
2885000000.0,0.354653,-0.374733
2887500000.0,0.346744,-0.385289
2890000000.0,0.337036,-0.398801
2892500000.0,0.338261,-0.404362
2895000000.0,0.331943,-0.410435
2897500000.0,0.32887,-0.415569
2900000000.0,0.321345,-0.426688
2902500000.0,0.319438,-0.427929
2905000000.0,0.304389,-0.443184
2907500000.0,0.298232,-0.449228
2910000000.0,0.294591,-0.451908
2912500000.0,0.28524,-0.458849
2915000000.0,0.285704,-0.460784
2917500000.0,0.284092,-0.466483
2920000000.0,0.271324,-0.473742
2922500000.0,0.260412,-0.479457
2925000000.0,0.250771,-0.482545
2927500000.0,0.244007,-0.486592
2930000000.0,0.21996,-0.495696
2932500000.0,0.220237,-0.49257
2935000000.0,0.201153,-0.501368
2937500000.0,0.195533,-0.497412
2940000000.0,0.181001,-0.499084
2942500000.0,0.168878,-0.500601
2945000000.0,0.153622,-0.501951
2947500000.0,0.141857,-0.499521
2950000000.0,0.119144,-0.497338
2952500000.0,0.115152,-0.494898
2955000000.0,0.11057,-0.489935
2957500000.0,0.104918,-0.486035
2960000000.0,0.088284,-0.480645
2962500000.0,0.073082,-0.477562
2965000000.0,0.074511,-0.470152
2967500000.0,0.065605,-0.459726
2970000000.0,0.06061,-0.450623
2972500000.0,0.050795,-0.443486
2975000000.0,0.043711,-0.436185
2977500000.0,0.041285,-0.423389
2980000000.0,0.042653,-0.417978
2982500000.0,0.041427,-0.409481
2985000000.0,0.036511,-0.39996
2987500000.0,0.044171,-0.392859
2990000000.0,0.049652,-0.381468
2992500000.0,0.048639,-0.374146
2995000000.0,0.077499,-0.367909
2997500000.0,0.0505,-0.366177
3000000000.0,0.059207,-0.359314
