Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.675269,0.592898
2005000000.0,0.691049,0.57119
2010000000.0,0.682545,0.582364
2015000000.0,0.698462,0.573855
2020000000.0,0.735764,0.521896
2025000000.0,0.715073,0.552782
2030000000.0,0.728014,0.543288
2035000000.0,0.737881,0.529748
2040000000.0,0.745947,0.513063
2045000000.0,0.756068,0.513099
2050000000.0,0.763237,0.496788
2055000000.0,0.772673,0.494265
2060000000.0,0.786941,0.474631
2065000000.0,0.790423,0.458442
2070000000.0,0.807623,0.446726
2075000000.0,0.81282,0.431734
2080000000.0,0.819402,0.426332
2085000000.0,0.829975,0.410775
2090000000.0,0.839822,0.377019
2095000000.0,0.844618,0.374773
2100000000.0,0.854921,0.357716
2105000000.0,0.860522,0.341755
2110000000.0,0.860448,0.323844
2115000000.0,0.87452,0.285852
2120000000.0,0.879935,0.299258
2125000000.0,0.886699,0.273444
2130000000.0,0.888547,0.253443
2135000000.0,0.890106,0.226283
2140000000.0,0.890174,0.21739
2145000000.0,0.891809,0.199138
2150000000.0,0.893677,0.187528
2155000000.0,0.903945,0.165849
2160000000.0,0.90719,0.147637
2165000000.0,0.899059,0.123508
2170000000.0,0.899046,0.1259
2175000000.0,0.89443,0.087867
2180000000.0,0.899712,0.076422
2185000000.0,0.889482,0.060417
2190000000.0,0.886377,0.040008
2195000000.0,0.879831,0.036752
2200000000.0,0.887461,0.00607
2205000000.0,0.882232,-0.012226
2210000000.0,0.877034,-0.017753
2215000000.0,0.872145,-0.026945
2220000000.0,0.868505,-0.060141
2225000000.0,0.856397,-0.077326
2230000000.0,0.851342,-0.078639
2235000000.0,0.849588,-0.118797
2240000000.0,0.83636,-0.113871
2245000000.0,0.838619,-0.133689
2250000000.0,0.834176,-0.150592
2255000000.0,0.827496,-0.173235
2260000000.0,0.812364,-0.176775
2265000000.0,0.816541,-0.193769
2270000000.0,0.804536,-0.197739
2275000000.0,0.809077,-0.212325
2280000000.0,0.801985,-0.233805
2285000000.0,0.799794,-0.225614
