Freq (Hz),Real Part,Imaginary Part
2500000000.0,0.114885,-0.766469
2502500000.0,0.105,-0.766737
2505000000.0,0.094026,-0.75387
2507500000.0,0.074674,-0.747655
2510000000.0,0.06306,-0.7452
2512500000.0,0.045279,-0.741154
2515000000.0,0.025372,-0.734231
2517500000.0,0.044383,-0.730142
2520000000.0,-0.015836,-0.728245
2522500000.0,-0.039986,-0.723525
2525000000.0,-0.05109,-0.717511
2527500000.0,-0.068645,-0.706685
2530000000.0,-0.091121,-0.700181
2532500000.0,-0.105585,-0.683896
2535000000.0,-0.133228,-0.66636
2537500000.0,-0.143847,-0.654966
2540000000.0,-0.168363,-0.627425
2542500000.0,-0.176122,-0.616878
2545000000.0,-0.188421,-0.603531
2547500000.0,-0.198733,-0.58553
2550000000.0,-0.21989,-0.563571
2552500000.0,-0.238319,-0.548031
2555000000.0,-0.243253,-0.523273
2557500000.0,-0.258664,-0.502874
2560000000.0,-0.257457,-0.480668
2562500000.0,-0.26743,-0.462957
2565000000.0,-0.274585,-0.438595
2567500000.0,-0.28807,-0.415741
2570000000.0,-0.286854,-0.387884
2572500000.0,-0.292072,-0.368936
2575000000.0,-0.289406,-0.345624
2577500000.0,-0.286352,-0.319634
2580000000.0,-0.284342,-0.299229
2582500000.0,-0.27971,-0.277841
2585000000.0,-0.274561,-0.25173
2587500000.0,-0.269591,-0.235291
2590000000.0,-0.258383,-0.215593
2592500000.0,-0.250432,-0.202391
2595000000.0,-0.237475,-0.187784
2597500000.0,-0.230068,-0.165903
2600000000.0,-0.217651,-0.155455
2602500000.0,-0.221132,-0.119516
2605000000.0,-0.192401,-0.135777
2607500000.0,-0.181854,-0.121064
2610000000.0,-0.172032,-0.113205
2612500000.0,-0.159586,-0.105848
2615000000.0,-0.147924,-0.095836
2617500000.0,-0.137757,-0.088639
2620000000.0,-0.125448,-0.082885
2622500000.0,-0.117002,-0.078996
2625000000.0,-0.105886,-0.074617
2627500000.0,-0.096506,-0.071439
2630000000.0,-0.086194,-0.068865
2632500000.0,-0.076813,-0.06533
2635000000.0,-0.070328,-0.061888
2637500000.0,-0.061822,-0.059251
2640000000.0,-0.05328,-0.057963
2642500000.0,-0.045384,-0.056999
2645000000.0,-0.039535,-0.053622
2647500000.0,-0.033668,-0.0518
2650000000.0,-0.027029,-0.049792
2652500000.0,-0.021915,-0.048607
2655000000.0,-0.016479,-0.046991
2657500000.0,-0.009946,-0.04555
2660000000.0,-0.005858,-0.043308
2662500000.0,-0.001043,-0.042348
2665000000.0,0.003626,-0.040572
2667500000.0,0.008612,-0.038401
2670000000.0,0.012835,-0.036194
2672500000.0,0.017153,-0.034602
2675000000.0,0.021681,-0.03281
2677500000.0,0.025782,-0.030136
2680000000.0,0.030023,-0.027308
2682500000.0,0.033576,-0.025089
2685000000.0,0.038714,-0.02166
2687500000.0,0.042366,-0.019173
2690000000.0,0.04645,-0.01499
2692500000.0,0.051281,-0.011592
2695000000.0,0.05633,-0.010012
2697500000.0,0.061287,-0.005263
2700000000.0,0.066869,-0.00211
2702500000.0,0.071865,0.001763
2705000000.0,0.077381,0.006695
2707500000.0,0.083975,0.010026
2710000000.0,0.089756,0.012271
2712500000.0,0.097342,0.017326
2715000000.0,0.104858,0.021645
2717500000.0,0.113695,0.025208
2720000000.0,0.122199,0.029783
2722500000.0,0.12962,0.033484
2725000000.0,0.139609,0.035629
2727500000.0,0.146914,0.034331
2730000000.0,0.155247,0.038135
2732500000.0,0.16613,0.039243
2735000000.0,0.178389,0.028177
2737500000.0,0.189887,0.037904
2740000000.0,0.202035,0.039324
2742500000.0,0.21205,0.0342
2745000000.0,0.221221,0.035736
2747500000.0,0.23311,0.02979
2750000000.0,0.241901,0.032925
2752500000.0,0.255153,0.025188
2755000000.0,0.264427,0.02005
2757500000.0,0.274407,0.017352
2760000000.0,0.286613,0.011466
2762500000.0,0.297866,0.007337
2765000000.0,0.305429,0.003798
2767500000.0,0.310545,-0.009783
2770000000.0,0.320966,-0.009915
2772500000.0,0.330129,-0.018968
2775000000.0,0.335826,-0.031461
2777500000.0,0.346083,-0.038603
2780000000.0,0.353204,-0.03552
2782500000.0,0.361819,-0.054757
2785000000.0,0.365804,-0.058622
2787500000.0,0.373466,-0.072455
2790000000.0,0.383526,-0.081617
2792500000.0,0.385724,-0.084596
2795000000.0,0.38487,-0.097223
2797500000.0,0.388916,-0.106844
2800000000.0,0.391491,-0.115715
2802500000.0,0.396778,-0.126481
2805000000.0,0.398729,-0.135536
2807500000.0,0.394686,-0.145664
2810000000.0,0.395116,-0.161036
2812500000.0,0.408733,-0.149399
2815000000.0,0.398586,-0.182164
2817500000.0,0.407443,-0.185018
2820000000.0,0.408919,-0.19296
2822500000.0,0.406382,-0.197772
2825000000.0,0.407041,-0.206629
2827500000.0,0.402177,-0.220158
2830000000.0,0.406581,-0.220987
2832500000.0,0.40735,-0.233512
2835000000.0,0.405408,-0.241356
2837500000.0,0.404519,-0.249571
2840000000.0,0.40068,-0.259527
2842500000.0,0.399652,-0.264913
2845000000.0,0.408272,-0.270494
2847500000.0,0.397809,-0.288622
2850000000.0,0.3969,-0.301398
2852500000.0,0.401697,-0.300292
2855000000.0,0.405015,-0.307934
2857500000.0,0.394107,-0.321698
2860000000.0,0.383661,-0.323693
2862500000.0,0.394397,-0.333528
2865000000.0,0.387351,-0.344859
2867500000.0,0.390394,-0.348709
2870000000.0,0.383504,-0.359385
2872500000.0,0.379161,-0.365422
2875000000.0,0.371159,-0.381451
2877500000.0,0.373547,-0.388674
2880000000.0,0.343466,-0.416282
2882500000.0,0.333674,-0.420345
2885000000.0,0.345607,-0.418514
2887500000.0,0.350546,-0.421504
2890000000.0,0.332228,-0.430189
2892500000.0,0.323852,-0.4405
2895000000.0,0.329866,-0.441673
2897500000.0,0.323067,-0.444729
2900000000.0,0.278159,-0.469779
2902500000.0,0.303369,-0.453899
2905000000.0,0.294835,-0.459906
2907500000.0,0.283901,-0.460175
2910000000.0,0.278539,-0.463832
2912500000.0,0.278683,-0.465785
2915000000.0,0.266675,-0.466713
2917500000.0,0.272252,-0.459771
2920000000.0,0.265165,-0.460634
2922500000.0,0.264,-0.462401
2925000000.0,0.257799,-0.467592
2927500000.0,0.257056,-0.464278
2930000000.0,0.240238,-0.471153
2932500000.0,0.247427,-0.467468
2935000000.0,0.240897,-0.47283
2937500000.0,0.243572,-0.473862
2940000000.0,0.231965,-0.480304
2942500000.0,0.23456,-0.485318
2945000000.0,0.220524,-0.492204
2947500000.0,0.215378,-0.500564
2950000000.0,0.210857,-0.501844
2952500000.0,0.196364,-0.511259
2955000000.0,0.195166,-0.514727
2957500000.0,0.190608,-0.52188
2960000000.0,0.181433,-0.525935
2962500000.0,0.175362,-0.529823
2965000000.0,0.169959,-0.539286
