Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.673432,0.603962
2005000000.0,0.67729,0.605521
2010000000.0,0.692672,0.585903
2015000000.0,0.693702,0.591993
2020000000.0,0.708036,0.57228
2025000000.0,0.732082,0.553174
2030000000.0,0.72531,0.562694
2035000000.0,0.739864,0.549947
2040000000.0,0.741964,0.536421
2045000000.0,0.748782,0.537315
2050000000.0,0.762488,0.514395
2055000000.0,0.77201,0.510344
2060000000.0,0.784377,0.492738
2065000000.0,0.794433,0.475765
2070000000.0,0.803168,0.471452
2075000000.0,0.811225,0.452812
2080000000.0,0.820477,0.440045
2085000000.0,0.832778,0.420718
2090000000.0,0.841785,0.40646
2095000000.0,0.842503,0.397409
2100000000.0,0.851094,0.38166
2105000000.0,0.860303,0.365075
2110000000.0,0.866055,0.352519
2115000000.0,0.885871,0.310802
2120000000.0,0.880925,0.325148
2125000000.0,0.883449,0.303304
2130000000.0,0.888084,0.28404
2135000000.0,0.895652,0.251921
2140000000.0,0.899972,0.246605
2145000000.0,0.902341,0.239009
2150000000.0,0.900985,0.223875
2155000000.0,0.904154,0.202696
2160000000.0,0.910852,0.194305
2165000000.0,0.908558,0.153755
2170000000.0,0.913927,0.155252
2175000000.0,0.902707,0.135404
2180000000.0,0.913553,0.117206
2185000000.0,0.911855,0.095897
2190000000.0,0.909209,0.077998
2195000000.0,0.907837,0.083617
2200000000.0,0.915501,0.067268
2205000000.0,0.908603,0.04223
2210000000.0,0.910637,0.035173
2215000000.0,0.908074,0.020761
2220000000.0,0.902455,-0.007948
2225000000.0,0.896834,-0.028389
2230000000.0,0.899768,-0.037383
2235000000.0,0.900968,-0.05562
2240000000.0,0.888586,-0.066115
2245000000.0,0.87729,-0.072983
2250000000.0,0.887786,-0.101655
2255000000.0,0.894864,-0.12889
2260000000.0,0.869617,-0.113405
2265000000.0,0.880682,-0.149118
2270000000.0,0.876964,-0.161139
2275000000.0,0.876244,-0.165223
2280000000.0,0.873316,-0.188922
2285000000.0,0.87559,-0.198559
2290000000.0,0.861018,-0.211784
2295000000.0,0.873968,-0.204185
2300000000.0,0.836373,-0.302852
2305000000.0,0.85582,-0.257492
2310000000.0,0.813299,-0.341597
2315000000.0,0.831177,-0.315272
2320000000.0,0.819879,-0.336049
2325000000.0,0.826267,-0.336995
2330000000.0,0.820242,-0.365823
2335000000.0,0.808487,-0.37367
2340000000.0,0.80148,-0.398399
2345000000.0,0.791611,-0.413221
2350000000.0,0.818088,-0.369902
2355000000.0,0.773389,-0.464171
2360000000.0,0.74866,-0.480976
2365000000.0,0.74146,-0.488146
2370000000.0,0.722394,-0.506695
2375000000.0,0.708408,-0.524471
2380000000.0,0.6962,-0.545686
2385000000.0,0.686801,-0.550467
2390000000.0,0.663322,-0.573901
2395000000.0,0.642257,-0.583207
2400000000.0,0.625128,-0.602938
2405000000.0,0.589249,-0.618461
2410000000.0,0.588294,-0.623086
2415000000.0,0.57208,-0.623228
2420000000.0,0.546546,-0.646037
2425000000.0,0.519438,-0.654179
2430000000.0,0.494297,-0.670939
2435000000.0,0.471644,-0.674436
2440000000.0,0.471879,-0.677546
2445000000.0,0.451166,-0.683665
2450000000.0,0.402962,-0.701568
2455000000.0,0.335732,-0.721444
2460000000.0,0.363712,-0.711989
2465000000.0,0.342326,-0.721896
2470000000.0,0.321201,-0.726718
2475000000.0,0.29765,-0.731145
2480000000.0,0.270881,-0.73656
2485000000.0,0.242078,-0.735481
2490000000.0,0.211343,-0.742234
2495000000.0,0.179332,-0.734433
2500000000.0,0.14053,-0.724614
2505000000.0,0.112807,-0.728412
