Freq (Hz),Real Part,Imaginary Part
2500000000.0,0.037776,-0.708241
2502500000.0,0.012722,-0.70951
2505000000.0,0.006668,-0.699331
2507500000.0,-0.017981,-0.686421
2510000000.0,-0.032584,-0.676108
2512500000.0,-0.053386,-0.669161
2515000000.0,-0.064804,-0.661
2517500000.0,-0.085359,-0.647403
2520000000.0,-0.102193,-0.635916
2522500000.0,-0.130128,-0.627997
2525000000.0,-0.138995,-0.613489
2527500000.0,-0.153153,-0.600514
2530000000.0,-0.17293,-0.579687
2532500000.0,-0.17902,-0.566455
2535000000.0,-0.197079,-0.546886
2537500000.0,-0.206734,-0.524588
2540000000.0,-0.218396,-0.500161
2542500000.0,-0.23497,-0.474479
2545000000.0,-0.236369,-0.456849
2547500000.0,-0.248518,-0.429796
2550000000.0,-0.25001,-0.404673
2552500000.0,-0.257687,-0.389421
2555000000.0,-0.255617,-0.364582
2557500000.0,-0.258096,-0.340175
2560000000.0,-0.254029,-0.318104
2562500000.0,-0.255071,-0.298385
2565000000.0,-0.253862,-0.272339
2567500000.0,-0.250511,-0.258041
2570000000.0,-0.241747,-0.233828
2572500000.0,-0.23647,-0.21381
2575000000.0,-0.224572,-0.197019
2577500000.0,-0.216576,-0.181415
2580000000.0,-0.203198,-0.163817
2582500000.0,-0.192841,-0.154316
2585000000.0,-0.182722,-0.135553
2587500000.0,-0.170187,-0.127468
2590000000.0,-0.157018,-0.114326
2592500000.0,-0.1475,-0.104621
2595000000.0,-0.135018,-0.098392
2597500000.0,-0.122367,-0.089894
2600000000.0,-0.114029,-0.084429
2602500000.0,-0.101758,-0.08002
2605000000.0,-0.092522,-0.077226
2607500000.0,-0.081881,-0.073126
2610000000.0,-0.07237,-0.069602
2612500000.0,-0.063082,-0.066427
2615000000.0,-0.05569,-0.061748
2617500000.0,-0.047363,-0.059943
2620000000.0,-0.041633,-0.05672
2622500000.0,-0.033229,-0.05619
2625000000.0,-0.026487,-0.054218
2627500000.0,-0.02122,-0.053568
2630000000.0,-0.01453,-0.051399
2632500000.0,-0.008812,-0.049323
2635000000.0,-0.003417,-0.047835
2637500000.0,0.001659,-0.045583
2640000000.0,0.006707,-0.044016
2642500000.0,0.0104,-0.042356
2645000000.0,0.015699,-0.040043
2647500000.0,0.019243,-0.038022
2650000000.0,0.023067,-0.034943
2652500000.0,0.027995,-0.032776
2655000000.0,0.031423,-0.029949
2657500000.0,0.03582,-0.027409
2660000000.0,0.039456,-0.024045
2662500000.0,0.043118,-0.021145
2665000000.0,0.0466,-0.01763
2667500000.0,0.050668,-0.015118
2670000000.0,0.055457,-0.010746
2672500000.0,0.06075,-0.00693
2675000000.0,0.064319,-0.002711
2677500000.0,0.070312,0.001684
2680000000.0,0.075193,0.008529
2682500000.0,0.080038,0.011071
2685000000.0,0.086609,0.014445
2687500000.0,0.092186,0.017954
2690000000.0,0.099435,0.023863
2692500000.0,0.105744,0.02853
2695000000.0,0.113627,0.033416
2697500000.0,0.121783,0.036661
2700000000.0,0.130839,0.040047
2702500000.0,0.138888,0.045288
2705000000.0,0.149352,0.047567
2707500000.0,0.15904,0.053707
2710000000.0,0.168342,0.054919
2712500000.0,0.178916,0.056459
2715000000.0,0.189777,0.059162
2717500000.0,0.201923,0.063064
2720000000.0,0.213852,0.06514
2722500000.0,0.225236,0.05875
2725000000.0,0.235972,0.062623
2727500000.0,0.248944,0.061883
2730000000.0,0.26028,0.056659
2732500000.0,0.271817,0.053627
2735000000.0,0.287833,0.050329
2737500000.0,0.301106,0.037385
2740000000.0,0.315206,0.035638
2742500000.0,0.325769,0.030963
2745000000.0,0.335261,0.027699
2747500000.0,0.3441,0.033621
2750000000.0,0.357108,0.010483
2752500000.0,0.368498,0.000967
2755000000.0,0.36875,-0.037535
2757500000.0,0.384068,-0.019204
2760000000.0,0.389784,-0.023358
2762500000.0,0.400557,-0.036598
2765000000.0,0.406309,-0.044616
2767500000.0,0.413728,-0.06265
2770000000.0,0.42089,-0.0677
2772500000.0,0.422263,-0.077868
2775000000.0,0.424809,-0.093441
2777500000.0,0.428412,-0.107006
2780000000.0,0.436489,-0.117732
2782500000.0,0.441626,-0.128291
2785000000.0,0.43814,-0.139585
2787500000.0,0.448924,-0.151782
2790000000.0,0.446227,-0.164241
2792500000.0,0.444051,-0.175672
2795000000.0,0.447736,-0.183542
2797500000.0,0.447837,-0.195809
2800000000.0,0.441335,-0.205328
2802500000.0,0.436856,-0.218712
2805000000.0,0.442908,-0.226972
2807500000.0,0.426289,-0.23353
2810000000.0,0.433923,-0.240806
2812500000.0,0.434881,-0.249319
2815000000.0,0.443391,-0.244535
2817500000.0,0.437323,-0.26728
2820000000.0,0.437406,-0.276626
2822500000.0,0.436498,-0.281372
2825000000.0,0.43439,-0.286736
2827500000.0,0.420726,-0.303858
2830000000.0,0.427408,-0.30451
2832500000.0,0.427553,-0.309507
2835000000.0,0.422879,-0.32107
2837500000.0,0.409526,-0.333292
2840000000.0,0.407649,-0.341799
2842500000.0,0.406607,-0.350554
2845000000.0,0.414841,-0.358815
2847500000.0,0.402837,-0.355583
2850000000.0,0.411264,-0.365158
2852500000.0,0.405645,-0.369787
2855000000.0,0.391634,-0.384695
2857500000.0,0.384234,-0.393138
2860000000.0,0.374194,-0.408456
2862500000.0,0.382344,-0.399755
2865000000.0,0.36954,-0.418486
2867500000.0,0.368871,-0.420487
2870000000.0,0.363197,-0.42826
2872500000.0,0.3583,-0.438735
2875000000.0,0.355689,-0.446605
2877500000.0,0.349558,-0.449202
2880000000.0,0.335554,-0.45867
2882500000.0,0.332062,-0.466651
2885000000.0,0.318536,-0.478742
2887500000.0,0.313985,-0.477574
2890000000.0,0.300638,-0.488276
2892500000.0,0.306986,-0.482108
2895000000.0,0.285294,-0.493467
2897500000.0,0.304313,-0.486426
2900000000.0,0.283636,-0.4972
2902500000.0,0.273689,-0.497851
2905000000.0,0.261269,-0.500918
2907500000.0,0.256191,-0.500937
2910000000.0,0.246441,-0.502484
2912500000.0,0.239601,-0.505444
2915000000.0,0.247124,-0.499137
2917500000.0,0.242262,-0.500231
2920000000.0,0.238723,-0.500566
2922500000.0,0.227892,-0.502254
2925000000.0,0.224971,-0.501304
2927500000.0,0.212796,-0.511063
2930000000.0,0.209463,-0.508338
2932500000.0,0.198837,-0.512668
2935000000.0,0.19706,-0.514966
2937500000.0,0.201308,-0.51104
2940000000.0,0.187867,-0.515801
2942500000.0,0.176815,-0.516808
2945000000.0,0.157784,-0.520265
2947500000.0,0.142977,-0.52359
2950000000.0,0.130883,-0.527049
2952500000.0,0.125054,-0.525191
2955000000.0,0.116812,-0.519305
2957500000.0,0.104866,-0.521364
2960000000.0,0.110476,-0.513765
2962500000.0,0.093395,-0.513029
2965000000.0,0.080883,-0.502333
2967500000.0,0.071001,-0.503441
2970000000.0,0.060382,-0.495924
2972500000.0,0.063384,-0.488131
2975000000.0,0.053876,-0.481068
2977500000.0,0.04647,-0.477129
2980000000.0,0.047247,-0.472021
2982500000.0,0.05294,-0.461633
2985000000.0,0.042101,-0.447369
2987500000.0,0.050654,-0.443837
2990000000.0,0.049194,-0.43285
2992500000.0,0.048079,-0.42584
2995000000.0,0.051343,-0.416527
2997500000.0,0.052175,-0.413114
3000000000.0,0.059078,-0.411252
