Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.671817,0.613384
2005000000.0,0.681268,0.599106
2010000000.0,0.658478,0.644308
2015000000.0,0.68593,0.607508
2020000000.0,0.699204,0.591182
2025000000.0,0.727829,0.572703
2030000000.0,0.729532,0.564853
2035000000.0,0.734442,0.557117
2040000000.0,0.746469,0.538577
2045000000.0,0.748336,0.540033
2050000000.0,0.763536,0.519141
2055000000.0,0.764297,0.52304
2060000000.0,0.782265,0.500224
2065000000.0,0.790561,0.484942
2070000000.0,0.799698,0.483392
2075000000.0,0.811811,0.465896
2080000000.0,0.814619,0.459934
2085000000.0,0.825779,0.436944
2090000000.0,0.839798,0.419127
2095000000.0,0.846699,0.40868
2100000000.0,0.854248,0.388467
2105000000.0,0.858913,0.379782
2110000000.0,0.861351,0.360088
2115000000.0,0.879341,0.338769
2120000000.0,0.882652,0.335921
2125000000.0,0.876397,0.342608
2130000000.0,0.891128,0.291103
2135000000.0,0.891207,0.285456
2140000000.0,0.902812,0.259799
2145000000.0,0.901467,0.252054
2150000000.0,0.913695,0.152247
2155000000.0,0.908803,0.207833
2160000000.0,0.917825,0.203856
2165000000.0,0.917028,0.180799
2170000000.0,0.923205,0.178749
2175000000.0,0.91065,0.164164
2180000000.0,0.91866,0.138608
2185000000.0,0.919716,0.117857
2190000000.0,0.920547,0.085687
2195000000.0,0.916824,0.092141
2200000000.0,0.923964,0.075304
2205000000.0,0.918775,0.059207
2210000000.0,0.921171,0.046601
2215000000.0,0.921126,0.030938
2220000000.0,0.911873,0.014995
2225000000.0,0.910001,-0.010275
2230000000.0,0.910387,-0.024923
2235000000.0,0.911462,-0.039041
2240000000.0,0.901515,-0.052597
2245000000.0,0.896163,-0.065682
2250000000.0,0.902403,-0.090436
2255000000.0,0.90887,-0.111343
2260000000.0,0.878024,-0.10983
2265000000.0,0.883868,-0.142106
2270000000.0,0.89469,-0.138165
2275000000.0,0.894506,-0.13088
2280000000.0,0.887604,-0.179593
2285000000.0,0.886134,-0.168345
2290000000.0,0.87334,-0.192747
2295000000.0,0.877389,-0.215658
2300000000.0,0.857276,-0.290591
2305000000.0,0.871116,-0.251607
2310000000.0,0.866312,-0.266364
2315000000.0,0.853669,-0.289251
2320000000.0,0.852692,-0.313699
2325000000.0,0.869875,-0.279813
2330000000.0,0.842593,-0.345829
2335000000.0,0.840232,-0.345617
2340000000.0,0.83012,-0.386491
2345000000.0,0.820897,-0.39251
2350000000.0,0.808384,-0.425791
2355000000.0,0.805074,-0.429648
2360000000.0,0.79982,-0.43824
2365000000.0,0.778029,-0.46891
2370000000.0,0.766706,-0.493497
2375000000.0,0.755592,-0.508758
2380000000.0,0.740218,-0.52922
2385000000.0,0.726855,-0.535687
2390000000.0,0.708977,-0.551781
2395000000.0,0.688862,-0.569357
2400000000.0,0.679203,-0.588142
2405000000.0,0.657344,-0.601526
2410000000.0,0.642834,-0.61186
2415000000.0,0.630277,-0.616973
2420000000.0,0.612238,-0.639872
2425000000.0,0.584273,-0.651335
2430000000.0,0.573776,-0.65774
2435000000.0,0.549345,-0.6732
2440000000.0,0.555756,-0.661855
2445000000.0,0.515562,-0.690537
2450000000.0,0.497575,-0.694754
2455000000.0,0.541967,-0.676943
2460000000.0,0.445087,-0.72311
2465000000.0,0.422604,-0.742675
2470000000.0,0.416257,-0.738434
2475000000.0,0.396513,-0.754591
2480000000.0,0.371174,-0.767135
2485000000.0,0.334584,-0.786236
2490000000.0,0.318747,-0.783818
2495000000.0,0.300014,-0.785076
2500000000.0,0.248834,-0.799733
2505000000.0,0.228514,-0.795977
2510000000.0,0.209552,-0.807873
2515000000.0,0.161425,-0.795488
2520000000.0,0.141972,-0.803398
2525000000.0,0.115355,-0.797666
2530000000.0,0.077516,-0.791999
2535000000.0,0.002083,-0.788181
2540000000.0,0.008689,-0.780537
2545000000.0,-0.016801,-0.761107
2550000000.0,-0.063177,-0.750625
2555000000.0,-0.093606,-0.737632
2560000000.0,-0.194569,-0.693479
2565000000.0,-0.162598,-0.68977
2570000000.0,-0.200616,-0.658827
2575000000.0,-0.228267,-0.652245
2580000000.0,-0.254333,-0.610598
2585000000.0,-0.287689,-0.576237
2590000000.0,-0.318734,-0.535288
2595000000.0,-0.331767,-0.483891
2600000000.0,-0.3375,-0.453872
2605000000.0,-0.347845,-0.393199
2610000000.0,-0.350451,-0.353319
