Freq (Hz),Real Part,Imaginary Part
2500000000.0,0.134696,-0.759291
2502500000.0,0.115008,-0.759494
2505000000.0,0.101344,-0.752091
2507500000.0,0.098748,-0.739798
2510000000.0,0.073267,-0.739658
2512500000.0,0.053757,-0.728124
2515000000.0,0.041857,-0.72947
2517500000.0,0.015103,-0.723747
2520000000.0,0.008207,-0.723217
2522500000.0,-0.013545,-0.712062
2525000000.0,0.033999,-0.708305
2527500000.0,-0.050077,-0.704089
2530000000.0,-0.068934,-0.698497
2532500000.0,-0.067994,-0.685078
2535000000.0,-0.091838,-0.67484
2537500000.0,-0.116144,-0.658745
2540000000.0,-0.121365,-0.641877
2542500000.0,-0.133076,-0.634907
2545000000.0,-0.157239,-0.616392
2547500000.0,-0.181706,-0.597856
2550000000.0,-0.192708,-0.578609
2552500000.0,-0.201929,-0.569902
2555000000.0,-0.21829,-0.543568
2557500000.0,-0.226405,-0.532339
2560000000.0,-0.184437,-0.540532
2562500000.0,-0.251228,-0.492566
2565000000.0,-0.253487,-0.479779
2567500000.0,-0.268243,-0.452523
2570000000.0,-0.273933,-0.435682
2572500000.0,-0.27749,-0.41348
2575000000.0,-0.279811,-0.384081
2577500000.0,-0.282288,-0.366581
2580000000.0,-0.298755,-0.319975
2582500000.0,-0.284364,-0.316135
2585000000.0,-0.277152,-0.296557
2587500000.0,-0.279715,-0.269792
2590000000.0,-0.269476,-0.252191
2592500000.0,-0.267574,-0.229344
2595000000.0,-0.258011,-0.21226
2597500000.0,-0.244335,-0.197286
2600000000.0,-0.237724,-0.181504
2602500000.0,-0.226077,-0.168128
2605000000.0,-0.219789,-0.155346
2607500000.0,-0.2047,-0.143556
2610000000.0,-0.191612,-0.133151
2612500000.0,-0.17787,-0.120912
2615000000.0,-0.173897,-0.097423
2617500000.0,-0.157917,-0.098745
2620000000.0,-0.136838,-0.107938
2622500000.0,-0.134356,-0.085677
2625000000.0,-0.124286,-0.082014
2627500000.0,-0.112634,-0.078554
2630000000.0,-0.102393,-0.074992
2632500000.0,-0.092625,-0.070266
2635000000.0,-0.085336,-0.06677
2637500000.0,-0.076651,-0.061708
2640000000.0,-0.066037,-0.061675
2642500000.0,-0.059467,-0.05857
2645000000.0,-0.051859,-0.057132
2647500000.0,-0.044595,-0.054679
2650000000.0,-0.039102,-0.052873
2652500000.0,-0.032779,-0.051909
2655000000.0,-0.025698,-0.050355
2657500000.0,-0.019404,-0.048447
2660000000.0,-0.013715,-0.047743
2662500000.0,-0.009413,-0.046692
2665000000.0,-0.004223,-0.044761
2667500000.0,0.000941,-0.043047
2670000000.0,0.005173,-0.041577
2672500000.0,0.00944,-0.039493
2675000000.0,0.014414,-0.038662
2677500000.0,0.018653,-0.035823
2680000000.0,0.022977,-0.033675
2682500000.0,0.026258,-0.031592
2685000000.0,0.030996,-0.028414
2687500000.0,0.034787,-0.026325
2690000000.0,0.038086,-0.0242
2692500000.0,0.043117,-0.021811
2695000000.0,0.047128,-0.018468
2697500000.0,0.05171,-0.014944
2700000000.0,0.0562,-0.012011
2702500000.0,0.06052,-0.008225
2705000000.0,0.065866,-0.004883
2707500000.0,0.07098,-0.001682
2710000000.0,0.076379,0.002201
2712500000.0,0.082667,0.007843
2715000000.0,0.089105,0.010859
2717500000.0,0.09497,0.01422
2720000000.0,0.102901,0.01884
2722500000.0,0.1097,0.021183
2725000000.0,0.116462,0.025956
2727500000.0,0.125097,0.025965
2730000000.0,0.131295,0.0317
2732500000.0,0.140856,0.031574
2735000000.0,0.151178,0.034632
2737500000.0,0.161553,0.033723
2740000000.0,0.174264,0.026617
2742500000.0,0.182795,0.034571
2745000000.0,0.19377,0.038306
2747500000.0,0.203489,0.033304
2750000000.0,0.212636,0.036897
2752500000.0,0.223053,0.038971
2755000000.0,0.236348,0.030275
2757500000.0,0.24684,0.030013
2760000000.0,0.257972,0.024161
2762500000.0,0.26659,0.022904
2765000000.0,0.277222,0.013284
2767500000.0,0.289109,0.008045
2770000000.0,0.297322,0.004865
2772500000.0,0.306945,0.014978
2775000000.0,0.314383,-0.008398
2777500000.0,0.32442,-0.012187
2780000000.0,0.333798,-0.011504
2782500000.0,0.34261,-0.022685
2785000000.0,0.348784,-0.030317
2787500000.0,0.359035,-0.055578
2790000000.0,0.366862,-0.049885
2792500000.0,0.36791,-0.061329
2795000000.0,0.375431,-0.069858
2797500000.0,0.38113,-0.072887
2800000000.0,0.382114,-0.081829
2802500000.0,0.383671,-0.094878
2805000000.0,0.387547,-0.106729
2807500000.0,0.398888,-0.112685
2810000000.0,0.391665,-0.121817
2812500000.0,0.397338,-0.129715
2815000000.0,0.399175,-0.138874
2817500000.0,0.397151,-0.154313
2820000000.0,0.402979,-0.159536
2822500000.0,0.403014,-0.161431
2825000000.0,0.400672,-0.177498
2827500000.0,0.404977,-0.167814
2830000000.0,0.398686,-0.191948
2832500000.0,0.402822,-0.197378
2835000000.0,0.406202,-0.205988
2837500000.0,0.424864,-0.184562
2840000000.0,0.398988,-0.221283
2842500000.0,0.402104,-0.224674
2845000000.0,0.410311,-0.243721
2847500000.0,0.401648,-0.242893
2850000000.0,0.407447,-0.250536
2852500000.0,0.411843,-0.254483
2855000000.0,0.406004,-0.267193
2857500000.0,0.399824,-0.274604
2860000000.0,0.409322,-0.279937
2862500000.0,0.393652,-0.290423
2865000000.0,0.405593,-0.294557
2867500000.0,0.404375,-0.299183
2870000000.0,0.401519,-0.315817
2872500000.0,0.397759,-0.321946
2875000000.0,0.401984,-0.326578
2877500000.0,0.400624,-0.341272
2880000000.0,0.395361,-0.346815
2882500000.0,0.395221,-0.354299
2885000000.0,0.392372,-0.36374
2887500000.0,0.388553,-0.376156
2890000000.0,0.382691,-0.383632
2892500000.0,0.386507,-0.387888
2895000000.0,0.382647,-0.394482
2897500000.0,0.388916,-0.391467
2900000000.0,0.382408,-0.404888
2902500000.0,0.412133,-0.382207
2905000000.0,0.379878,-0.421015
2907500000.0,0.364092,-0.432276
2910000000.0,0.366413,-0.440907
2912500000.0,0.363662,-0.447275
2915000000.0,0.373071,-0.447635
2917500000.0,0.368052,-0.45557
2920000000.0,0.373281,-0.461537
2922500000.0,0.360347,-0.470513
2925000000.0,0.356038,-0.480428
2927500000.0,0.357615,-0.489439
2930000000.0,0.34209,-0.503117
2932500000.0,0.340948,-0.508117
2935000000.0,0.334429,-0.513301
