Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.666665,0.619434
2005000000.0,0.673526,0.60824
2010000000.0,0.689503,0.605159
2015000000.0,0.698909,0.594298
2020000000.0,0.700745,0.590944
2025000000.0,0.722762,0.575968
2030000000.0,0.729642,0.56493
2035000000.0,0.736702,0.557729
2040000000.0,0.745557,0.542942
2045000000.0,0.752341,0.540102
2050000000.0,0.763134,0.533589
2055000000.0,0.769572,0.526081
2060000000.0,0.777678,0.505146
2065000000.0,0.789976,0.486712
2070000000.0,0.80293,0.47773
2075000000.0,0.807042,0.47199
2080000000.0,0.815305,0.458409
2085000000.0,0.82782,0.434575
2090000000.0,0.84197,0.404641
2095000000.0,0.840058,0.413784
2100000000.0,0.848548,0.415268
2105000000.0,0.858638,0.377847
2110000000.0,0.862604,0.380744
2115000000.0,0.870787,0.347297
2120000000.0,0.876893,0.351913
2125000000.0,0.884897,0.295855
2130000000.0,0.882528,0.31055
2135000000.0,0.895142,0.274371
2140000000.0,0.89253,0.285162
2145000000.0,0.903613,0.25354
2150000000.0,0.900976,0.259775
2155000000.0,0.91278,0.212404
2160000000.0,0.913882,0.228494
2165000000.0,0.919287,0.189543
2170000000.0,0.909591,0.203318
2175000000.0,0.913991,0.075064
2180000000.0,0.920596,0.137105
2185000000.0,0.917761,0.124014
2190000000.0,0.922297,0.101742
2195000000.0,0.91818,0.107673
2200000000.0,0.920215,0.078395
2205000000.0,0.919963,0.06326
2210000000.0,0.923367,0.054525
2215000000.0,0.925362,0.035637
2220000000.0,0.916103,0.011101
2225000000.0,0.908643,-0.006375
2230000000.0,0.91491,-0.015968
2235000000.0,0.921262,-0.029862
2240000000.0,0.903795,-0.054857
2245000000.0,0.904892,-0.079112
2250000000.0,0.905821,-0.077549
2255000000.0,0.908343,-0.101895
2260000000.0,0.884952,-0.1042
2265000000.0,0.901585,-0.124657
2270000000.0,0.894585,-0.131165
2275000000.0,0.884776,-0.146371
2280000000.0,0.896608,-0.172284
2285000000.0,0.898063,-0.160475
2290000000.0,0.878356,-0.203685
2295000000.0,0.891022,-0.2026
2300000000.0,0.864777,-0.276845
2305000000.0,0.875259,-0.256129
2310000000.0,0.876248,-0.258482
2315000000.0,0.861006,-0.28819
2320000000.0,0.859209,-0.309383
2325000000.0,0.869231,-0.287828
2330000000.0,0.855649,-0.335994
2335000000.0,0.843571,-0.339533
2340000000.0,0.834024,-0.380847
2345000000.0,0.83003,-0.388601
2350000000.0,0.815029,-0.414836
2355000000.0,0.819253,-0.434535
2360000000.0,0.806153,-0.444801
2365000000.0,0.791506,-0.463666
2370000000.0,0.776299,-0.470712
2375000000.0,0.751147,-0.508661
2380000000.0,0.748402,-0.523678
2385000000.0,0.733556,-0.530685
2390000000.0,0.723854,-0.547165
2395000000.0,0.711457,-0.552073
2400000000.0,0.689488,-0.575306
2405000000.0,0.665272,-0.585784
2410000000.0,0.665437,-0.596861
2415000000.0,0.638804,-0.608978
2420000000.0,0.623865,-0.6311
2425000000.0,0.603424,-0.64347
2430000000.0,0.584394,-0.649921
2435000000.0,0.564425,-0.659387
2440000000.0,0.554742,-0.655974
2445000000.0,0.536286,-0.679965
2450000000.0,0.506296,-0.696587
2455000000.0,0.480668,-0.711629
2460000000.0,0.470679,-0.711207
2465000000.0,0.45209,-0.730286
2470000000.0,0.438536,-0.734539
2475000000.0,0.409769,-0.742748
2480000000.0,0.400143,-0.760456
2485000000.0,0.357876,-0.792214
2490000000.0,0.363431,-0.774814
2495000000.0,0.344544,-0.781228
2500000000.0,0.280403,-0.787508
2505000000.0,0.254022,-0.790173
2510000000.0,0.24058,-0.810581
2515000000.0,0.212935,-0.800432
2520000000.0,0.178603,-0.805297
2525000000.0,0.167751,-0.802997
2530000000.0,0.124562,-0.806647
2535000000.0,0.053408,-0.807219
2540000000.0,0.059094,-0.805567
2545000000.0,0.036029,-0.787419
2550000000.0,-0.010475,-0.784027
2555000000.0,-0.037648,-0.774281
2560000000.0,-0.088944,-0.744487
2565000000.0,-0.100822,-0.743687
2570000000.0,-0.142856,-0.722158
2575000000.0,-0.172674,-0.71294
2580000000.0,-0.203614,-0.681338
2585000000.0,-0.232814,-0.653295
2590000000.0,-0.26749,-0.625608
2595000000.0,-0.295355,-0.592316
2600000000.0,-0.309708,-0.55611
2605000000.0,-0.336987,-0.5007
2610000000.0,-0.35024,-0.468603
2615000000.0,-0.361236,-0.420835
2620000000.0,-0.367786,-0.371093
2625000000.0,-0.34837,-0.343049
2630000000.0,-0.35182,-0.287398
2635000000.0,-0.344195,-0.250826
2640000000.0,-0.326469,-0.20814
2645000000.0,-0.306862,-0.180409
2650000000.0,-0.287727,-0.149827
2655000000.0,-0.259042,-0.120138
2660000000.0,-0.24102,-0.101621
2665000000.0,-0.21616,-0.08348
2670000000.0,-0.195732,-0.070203
2675000000.0,-0.174989,-0.058328
2680000000.0,-0.152576,-0.047843
2685000000.0,-0.132923,-0.041826
2690000000.0,-0.115178,-0.035906
2695000000.0,-0.09823,-0.03363
2700000000.0,-0.081921,-0.031876
2705000000.0,-0.067331,-0.02827
2710000000.0,-0.054389,-0.0276
2715000000.0,-0.04157,-0.027661
2720000000.0,-0.030503,-0.025412
2725000000.0,-0.020486,-0.024863
2730000000.0,-0.009999,-0.023508
2735000000.0,-0.000481,-0.022031
2740000000.0,0.008706,-0.019562
2745000000.0,0.018365,-0.01698
2750000000.0,0.02702,-0.014121
2755000000.0,0.036578,-0.010919
2760000000.0,0.046649,-0.007434
2765000000.0,0.057911,-0.005293
2770000000.0,0.069592,-0.001814
2775000000.0,0.080927,0.002164
2780000000.0,0.094713,0.001945
2785000000.0,0.110148,0.006928
2790000000.0,0.125075,0.001961
2795000000.0,0.136892,0.00597
2800000000.0,0.152083,-0.001911
2805000000.0,0.166633,-0.004757
2810000000.0,0.178764,-0.00343
2815000000.0,0.192075,-0.020326
2820000000.0,0.207023,-0.021566
2825000000.0,0.217123,-0.029845
2830000000.0,0.231304,-0.027631
2835000000.0,0.24111,-0.04819
2840000000.0,0.252383,-0.049352
2845000000.0,0.264622,-0.061598
2850000000.0,0.277054,-0.06292
2855000000.0,0.279498,-0.087423
2860000000.0,0.293285,-0.085799
2865000000.0,0.29859,-0.101659
2870000000.0,0.312467,-0.109
2875000000.0,0.316214,-0.126801
2880000000.0,0.324037,-0.138854
2885000000.0,0.329778,-0.149565
2890000000.0,0.349399,-0.14266
2895000000.0,0.346014,-0.178343
2900000000.0,0.351763,-0.194544
2905000000.0,0.355685,-0.20566
2910000000.0,0.359821,-0.229109
2915000000.0,0.362077,-0.243345
2920000000.0,0.363641,-0.260413
2925000000.0,0.372365,-0.270455
2930000000.0,0.372207,-0.297006
2935000000.0,0.371539,-0.31442
2940000000.0,0.383639,-0.324961
2945000000.0,0.382775,-0.34141
2950000000.0,0.359968,-0.37966
2955000000.0,0.36336,-0.393727
2960000000.0,0.361692,-0.410462
2965000000.0,0.358568,-0.420843
2970000000.0,0.337118,-0.457023
2975000000.0,0.331823,-0.469964
2980000000.0,0.305047,-0.506206
