Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.716289,0.573812
2005000000.0,0.733859,0.56032
2010000000.0,0.732022,0.557879
2015000000.0,0.743764,0.541438
2020000000.0,0.752918,0.532883
2025000000.0,0.766211,0.516852
2030000000.0,0.767568,0.517535
2035000000.0,0.782619,0.492135
2040000000.0,0.786655,0.482014
2045000000.0,0.793838,0.474628
2050000000.0,0.802697,0.46257
2055000000.0,0.81088,0.446229
2060000000.0,0.842806,0.391018
2065000000.0,0.830279,0.421996
2070000000.0,0.826809,0.423937
2075000000.0,0.841469,0.392279
2080000000.0,0.846137,0.388414
2085000000.0,0.859034,0.371978
2090000000.0,0.854356,0.361382
2095000000.0,0.869281,0.333133
2100000000.0,0.881036,0.30907
2105000000.0,0.884802,0.295266
2110000000.0,0.887337,0.285077
2115000000.0,0.89499,0.279228
2120000000.0,0.898415,0.255859
2125000000.0,0.902709,0.244833
2130000000.0,0.898338,0.238061
2135000000.0,0.90745,0.199497
2140000000.0,0.90563,0.181851
2145000000.0,0.912299,0.16357
2150000000.0,0.91366,0.162176
2155000000.0,0.915157,0.147646
2160000000.0,0.917,0.134362
2165000000.0,0.921485,0.111824
2170000000.0,0.920123,0.095083
2175000000.0,0.921837,0.081362
2180000000.0,0.919385,0.046417
2185000000.0,0.915518,0.043783
2190000000.0,0.919311,0.038297
2195000000.0,0.922127,0.01858
2200000000.0,0.920249,0.00635
2205000000.0,0.916675,-0.030225
2210000000.0,0.925144,-0.027331
2215000000.0,0.910411,-0.063402
2220000000.0,0.912118,-0.060402
2225000000.0,0.905752,-0.081354
2230000000.0,0.903241,-0.095303
2235000000.0,0.906464,-0.12519
2240000000.0,0.893051,-0.130647
2245000000.0,0.887412,-0.157235
2250000000.0,0.886765,-0.156917
2255000000.0,0.879478,-0.185332
2260000000.0,0.899147,-0.186278
2265000000.0,0.879181,-0.212867
2270000000.0,0.887742,-0.211824
2275000000.0,0.885427,-0.238224
2280000000.0,0.862443,-0.259712
2285000000.0,0.864499,-0.262538
2290000000.0,0.86256,-0.265237
2295000000.0,0.850784,-0.288812
2300000000.0,0.845963,-0.326746
2305000000.0,0.852856,-0.3441
