Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.70119,0.572453
2005000000.0,0.709502,0.559253
2010000000.0,0.715503,0.554446
2015000000.0,0.734138,0.536307
2020000000.0,0.745092,0.519696
2025000000.0,0.751867,0.511007
2030000000.0,0.762699,0.495082
2035000000.0,0.773179,0.489148
2040000000.0,0.778959,0.467608
2045000000.0,0.790163,0.457781
2050000000.0,0.80073,0.443238
2055000000.0,0.808985,0.429416
2060000000.0,0.809722,0.425057
2065000000.0,0.820127,0.402185
2070000000.0,0.827864,0.384099
2075000000.0,0.83263,0.363015
2080000000.0,0.840076,0.348929
2085000000.0,0.847605,0.332613
2090000000.0,0.854904,0.304296
2095000000.0,0.859256,0.283231
2100000000.0,0.859957,0.276905
2105000000.0,0.868482,0.25087
2110000000.0,0.874102,0.225966
2115000000.0,0.876375,0.207485
2120000000.0,0.879573,0.165855
2125000000.0,0.882318,0.159891
2130000000.0,0.880041,0.148652
2135000000.0,0.881688,0.137855
2140000000.0,0.875267,0.114115
2145000000.0,0.881625,0.10378
2150000000.0,0.873928,0.085882
2155000000.0,0.875073,0.063831
2160000000.0,0.872326,0.050729
2165000000.0,0.869516,0.026446
2170000000.0,0.86975,0.003953
2175000000.0,0.863252,-0.022608
2180000000.0,0.857802,-0.049179
2185000000.0,0.845677,-0.064268
2190000000.0,0.849518,-0.077319
2195000000.0,0.837301,-0.112007
2200000000.0,0.82938,-0.132958
2205000000.0,0.825782,-0.148904
2210000000.0,0.815506,-0.155267
2215000000.0,0.813144,-0.182168
2220000000.0,0.800976,-0.205307
2225000000.0,0.798993,-0.182403
2230000000.0,0.768167,-0.262964
2235000000.0,0.759687,-0.274241
2240000000.0,0.729591,-0.325821
2245000000.0,0.723112,-0.310236
2250000000.0,0.697824,-0.335673
2255000000.0,0.686124,-0.359941
2260000000.0,0.664131,-0.383019
2265000000.0,0.625363,-0.401388
2270000000.0,0.586418,-0.410165
2275000000.0,0.554622,-0.427018
2280000000.0,0.520325,-0.437688
2285000000.0,0.48917,-0.434639
2290000000.0,0.450183,-0.440174
2295000000.0,0.411259,-0.432712
2300000000.0,0.371092,-0.425888
2305000000.0,0.342501,-0.409202
2310000000.0,0.305046,-0.395297
2315000000.0,0.272552,-0.374753
2320000000.0,0.25447,-0.346433
2325000000.0,0.239,-0.319663
2330000000.0,0.223445,-0.292258
2335000000.0,0.21348,-0.263379
2340000000.0,0.207129,-0.236853
2345000000.0,0.207799,-0.211459
2350000000.0,0.209892,-0.190802
2355000000.0,0.205392,-0.175369
2360000000.0,0.221751,-0.14484
2365000000.0,0.22883,-0.131342
2370000000.0,0.237699,-0.116242
2375000000.0,0.248219,-0.105003
2380000000.0,0.256738,-0.09539
2385000000.0,0.272944,-0.076116
2390000000.0,0.2821,-0.086451
2395000000.0,0.296886,-0.075264
2400000000.0,0.309984,-0.073155
2405000000.0,0.318777,-0.071952
2410000000.0,0.328773,-0.077075
2415000000.0,0.34317,-0.08116
2420000000.0,0.351192,-0.091085
2425000000.0,0.3595,-0.0966
2430000000.0,0.369207,-0.100085
2435000000.0,0.375452,-0.113583
2440000000.0,0.376038,-0.126424
2445000000.0,0.376614,-0.141444
2450000000.0,0.376662,-0.150306
2455000000.0,0.374792,-0.167128
2460000000.0,0.37177,-0.174568
2465000000.0,0.361673,-0.1938
2470000000.0,0.353714,-0.203881
2475000000.0,0.342346,-0.2135
2480000000.0,0.322495,-0.222259
2485000000.0,0.305904,-0.226239
2490000000.0,0.283638,-0.238504
2495000000.0,0.271406,-0.232348
