Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.654072,0.643718
2005000000.0,0.648347,0.66357
2010000000.0,0.658804,0.656126
2015000000.0,0.669307,0.640674
2020000000.0,0.686797,0.620071
2025000000.0,0.686938,0.618783
2030000000.0,0.695422,0.616665
2035000000.0,0.705861,0.610686
2040000000.0,0.714952,0.594178
2045000000.0,0.728859,0.589944
2050000000.0,0.732596,0.586361
2055000000.0,0.745016,0.577828
2060000000.0,0.753134,0.559903
2065000000.0,0.759877,0.558034
2070000000.0,0.79555,0.496429
2075000000.0,0.785321,0.535434
2080000000.0,0.785573,0.523307
2085000000.0,0.804013,0.503441
2090000000.0,0.815061,0.488402
2095000000.0,0.831892,0.469406
2100000000.0,0.835121,0.462012
2105000000.0,0.847124,0.449652
2110000000.0,0.846617,0.441948
2115000000.0,0.868116,0.413763
2120000000.0,0.880568,0.367345
2125000000.0,0.878283,0.37997
2130000000.0,0.88342,0.37696
2135000000.0,0.888086,0.367557
2140000000.0,0.88989,0.359182
2145000000.0,0.891879,0.347538
2150000000.0,0.902255,0.33605
2155000000.0,0.906165,0.321596
2160000000.0,0.904621,0.301655
2165000000.0,0.913944,0.282621
2170000000.0,0.912572,0.274408
2175000000.0,0.921753,0.258812
2180000000.0,0.926431,0.233254
2185000000.0,0.933966,0.222986
2190000000.0,0.936018,0.20911
2195000000.0,0.930921,0.193169
2200000000.0,0.936611,0.166064
2205000000.0,0.9404,0.157114
2210000000.0,0.935643,0.15433
2215000000.0,0.933886,0.137198
2220000000.0,0.946228,0.10609
2225000000.0,0.946292,0.097117
2230000000.0,0.943315,0.107761
2235000000.0,0.947404,0.079126
2240000000.0,0.94533,0.067453
2245000000.0,0.937805,0.062059
2250000000.0,0.937537,0.035805
2255000000.0,0.943926,0.019486
2260000000.0,0.94258,0.005167
2265000000.0,0.941106,-0.014721
2270000000.0,0.941798,-0.022419
2275000000.0,0.938938,-0.036471
2280000000.0,0.938389,-0.059968
2285000000.0,0.941579,-0.05593
2290000000.0,0.942335,-0.082558
2295000000.0,0.937988,-0.104599
2300000000.0,0.933343,-0.105956
2305000000.0,0.942045,-0.121614
2310000000.0,0.930964,-0.140716
2315000000.0,0.927483,-0.152742
2320000000.0,0.928392,-0.178097
2325000000.0,0.927085,-0.18712
2330000000.0,0.918807,-0.210192
2335000000.0,0.935941,-0.13739
2340000000.0,0.919365,-0.230329
2345000000.0,0.877308,-0.319871
2350000000.0,0.915229,-0.253394
2355000000.0,0.911281,-0.268073
2360000000.0,0.906941,-0.276583
2365000000.0,0.901089,-0.300441
2370000000.0,0.890437,-0.327846
2375000000.0,0.887135,-0.331286
2380000000.0,0.870165,-0.358674
2385000000.0,0.871464,-0.357714
2390000000.0,0.856144,-0.393719
2395000000.0,0.856186,-0.395327
2400000000.0,0.850252,-0.41755
2405000000.0,0.839925,-0.426002
2410000000.0,0.832531,-0.44938
2415000000.0,0.819996,-0.453546
2420000000.0,0.812736,-0.479576
2425000000.0,0.801939,-0.484101
2430000000.0,0.789753,-0.503198
2435000000.0,0.788232,-0.508336
2440000000.0,0.779206,-0.522526
2445000000.0,0.759896,-0.529143
2450000000.0,0.745886,-0.550592
2455000000.0,0.743103,-0.570159
2460000000.0,0.726364,-0.577236
2465000000.0,0.720925,-0.594939
2470000000.0,0.709439,-0.59216
2475000000.0,0.719377,-0.58241
2480000000.0,0.676062,-0.637706
2485000000.0,0.673999,-0.646409
2490000000.0,0.635714,-0.675108
2495000000.0,0.643465,-0.666989
2500000000.0,0.633225,-0.675331
2505000000.0,0.626078,-0.683174
2510000000.0,0.621863,-0.681241
2515000000.0,0.624043,-0.6901
2520000000.0,0.661851,-0.650358
2525000000.0,0.525886,-0.759541
2530000000.0,0.579567,-0.724389
2535000000.0,0.554507,-0.735265
2540000000.0,0.525697,-0.757741
2545000000.0,0.521995,-0.761307
2550000000.0,0.508958,-0.75564
2555000000.0,0.510012,-0.764487
2560000000.0,0.487103,-0.76809
2565000000.0,0.482999,-0.787525
2570000000.0,0.455357,-0.789666
2575000000.0,0.432167,-0.803704
2580000000.0,0.418924,-0.809626
2585000000.0,0.417826,-0.820049
2590000000.0,0.400298,-0.82169
2595000000.0,0.38463,-0.833988
2600000000.0,0.374043,-0.833486
2605000000.0,0.358324,-0.855249
2610000000.0,0.355915,-0.855174
2615000000.0,0.341745,-0.86694
2620000000.0,0.300915,-0.880222
2625000000.0,0.299707,-0.891876
2630000000.0,0.30621,-0.894365
2635000000.0,0.265718,-0.900499
2640000000.0,0.246234,-0.907901
2645000000.0,0.244666,-0.918445
2650000000.0,0.235196,-0.928373
2655000000.0,0.197706,-0.933281
2660000000.0,0.173482,-0.931211
2665000000.0,0.146818,-0.936464
2670000000.0,0.125138,-0.93196
2675000000.0,0.090278,-0.934234
2680000000.0,0.05929,-0.929683
2685000000.0,0.033507,-0.929258
2690000000.0,0.013814,-0.934932
2695000000.0,-0.012739,-0.931174
2700000000.0,-0.043959,-0.918632
2705000000.0,-0.06871,-0.924406
2710000000.0,-0.055727,-0.927222
2715000000.0,-0.104407,-0.909481
