Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.654813,0.636528
2005000000.0,0.665677,0.617056
2010000000.0,0.674555,0.609384
2015000000.0,0.686229,0.596616
2020000000.0,0.698765,0.590423
2025000000.0,0.710992,0.582055
2030000000.0,0.714286,0.580353
2035000000.0,0.723597,0.570151
2040000000.0,0.734443,0.557838
2045000000.0,0.751559,0.544798
2050000000.0,0.756124,0.545178
2055000000.0,0.771504,0.526682
2060000000.0,0.779443,0.508151
2065000000.0,0.784433,0.510183
2070000000.0,0.79086,0.497275
2075000000.0,0.803489,0.486705
2080000000.0,0.807134,0.475877
2085000000.0,0.828144,0.45153
2090000000.0,0.837399,0.425565
2095000000.0,0.836179,0.4406
2100000000.0,0.852916,0.399568
2105000000.0,0.860597,0.404124
2110000000.0,0.868429,0.372337
2115000000.0,0.881545,0.35338
2120000000.0,0.891013,0.307624
2125000000.0,0.894611,0.321498
2130000000.0,0.899786,0.300469
2135000000.0,0.899224,0.299168
2140000000.0,0.895717,0.305732
2145000000.0,0.907744,0.272786
2150000000.0,0.904966,0.269556
2155000000.0,0.9041,0.313002
2160000000.0,0.915818,0.233319
2165000000.0,0.910812,0.277926
2170000000.0,0.923473,0.197426
2175000000.0,0.927294,0.165784
2180000000.0,0.929981,0.14708
2185000000.0,0.926469,0.129706
2190000000.0,0.929507,0.130224
2195000000.0,0.928074,0.098099
2200000000.0,0.929013,0.078131
2205000000.0,0.928232,0.037269
2210000000.0,0.932977,0.06173
2215000000.0,0.920818,0.033804
2220000000.0,0.931198,0.017911
2225000000.0,0.923922,0.002658
2230000000.0,0.925677,-0.00066
2235000000.0,0.925624,-0.023077
2240000000.0,0.919088,-0.041174
2245000000.0,0.928539,-0.052519
2250000000.0,0.910231,-0.057902
2255000000.0,0.917955,-0.089667
2260000000.0,0.933266,-0.106469
2265000000.0,0.914339,-0.118053
2270000000.0,0.900403,-0.135509
2275000000.0,0.8979,-0.159721
2280000000.0,0.896449,-0.162739
2285000000.0,0.896003,-0.187801
2290000000.0,0.896666,-0.197615
2295000000.0,0.890713,-0.203135
2300000000.0,0.884052,-0.227565
2305000000.0,0.875923,-0.246305
2310000000.0,0.871757,-0.262499
2315000000.0,0.866717,-0.287133
2320000000.0,0.858302,-0.307988
2325000000.0,0.858857,-0.323633
