Freq (Hz),Real Part,Imaginary Part
1600000000.0,-0.306937,0.91927
1607000000.0,-0.244067,0.942796
1614000000.0,-0.282811,0.937692
1621000000.0,-0.252029,0.935509
1628000000.0,-0.226577,0.946556
1635000000.0,-0.223953,0.947572
1642000000.0,-0.19985,0.953899
1649000000.0,-0.175583,0.959517
1656000000.0,-0.149585,0.971234
1663000000.0,-0.1347,0.964112
1670000000.0,-0.119437,0.966195
1677000000.0,-0.080839,0.980821
1684000000.0,-0.102953,0.967335
1691000000.0,-0.048683,0.969284
1698000000.0,-0.033589,0.967991
1705000000.0,-0.002727,0.981056
1712000000.0,0.013908,0.977857
1719000000.0,0.040902,0.968138
1726000000.0,0.033408,0.967212
1733000000.0,0.081058,0.964545
1740000000.0,0.087617,0.967337
1747000000.0,0.11217,0.958523
1754000000.0,0.136912,0.95326
1761000000.0,0.13826,0.964562
1768000000.0,0.168421,0.951076
1775000000.0,0.206656,0.942728
1782000000.0,0.206169,0.939802
1789000000.0,0.234883,0.935203
1796000000.0,0.246898,0.929884
1803000000.0,0.267618,0.932246
1810000000.0,0.281545,0.907815
1817000000.0,0.305931,0.907805
1824000000.0,0.337083,0.891411
1831000000.0,0.359479,0.88876
1838000000.0,0.401074,0.873768
1845000000.0,0.390545,0.871273
1852000000.0,0.408719,0.864563
1859000000.0,0.42105,0.854641
1866000000.0,0.425825,0.845849
1873000000.0,0.460959,0.834279
1880000000.0,0.477446,0.815669
1887000000.0,0.48872,0.801413
1894000000.0,0.49698,0.793021
1901000000.0,0.521609,0.783824
1908000000.0,0.529912,0.778406
1915000000.0,0.542776,0.758196
1922000000.0,0.562175,0.741124
1929000000.0,0.553278,0.750387
1936000000.0,0.579964,0.730042
1943000000.0,0.596282,0.709754
1950000000.0,0.604124,0.700976
1957000000.0,0.625271,0.678763
1964000000.0,0.623712,0.680296
1971000000.0,0.639593,0.671363
1978000000.0,0.664357,0.645167
1985000000.0,0.661379,0.653096
1992000000.0,0.676131,0.631868
1999000000.0,0.71212,0.60357
2006000000.0,0.708461,0.608067
2013000000.0,0.709055,0.600758
2020000000.0,0.736479,0.585571
2027000000.0,0.747813,0.567935
2034000000.0,0.76304,0.54295
2041000000.0,0.765195,0.547489
2048000000.0,0.784928,0.524858
2055000000.0,0.795215,0.507639
2062000000.0,0.806637,0.501548
2069000000.0,0.822357,0.468428
2076000000.0,0.826471,0.458854
2083000000.0,0.839665,0.433728
2090000000.0,0.851645,0.413408
2097000000.0,0.868918,0.39622
2104000000.0,0.875099,0.362354
2111000000.0,0.886094,0.346592
2118000000.0,0.888319,0.328626
2125000000.0,0.89774,0.302548
2132000000.0,0.933314,0.184333
2139000000.0,0.903548,0.265856
2146000000.0,0.918834,0.227307
2153000000.0,0.914992,0.241735
2160000000.0,0.920831,0.211205
2167000000.0,0.923449,0.181037
2174000000.0,0.9241,0.178246
2181000000.0,0.934843,0.153956
2188000000.0,0.934054,0.11944
2195000000.0,0.935636,0.133585
2202000000.0,0.934455,0.079173
2209000000.0,0.925186,0.06457
2216000000.0,0.938963,0.050204
2223000000.0,0.933843,0.018619
2230000000.0,0.933174,-0.005456
2237000000.0,0.943997,-0.009607
2244000000.0,0.938043,-0.033005
2251000000.0,0.923602,-0.058961
2258000000.0,0.926203,-0.087021
2265000000.0,0.935479,-0.088034
2272000000.0,0.934097,-0.122175
2279000000.0,0.91707,-0.16935
2286000000.0,0.923473,-0.221401
2293000000.0,0.929514,-0.167815
2300000000.0,0.913423,-0.196559
2307000000.0,0.923839,-0.217204
2314000000.0,0.902432,-0.262275
2321000000.0,0.90402,-0.271247
2328000000.0,0.902884,-0.294499
2335000000.0,0.884009,-0.335828
2342000000.0,0.89716,-0.339817
2349000000.0,0.882589,-0.367143
2356000000.0,0.872675,-0.375056
2363000000.0,0.868262,-0.398786
2370000000.0,0.843169,-0.446255
2377000000.0,0.843058,-0.459459
2384000000.0,0.829149,-0.490857
2391000000.0,0.802639,-0.52027
2398000000.0,0.797274,-0.52229
2405000000.0,0.76173,-0.556996
2412000000.0,0.744447,-0.572535
2419000000.0,0.73416,-0.57575
2426000000.0,0.709409,-0.611211
2433000000.0,0.701598,-0.60762
2440000000.0,0.655636,-0.642464
2447000000.0,0.649427,-0.647974
2454000000.0,0.619562,-0.663639
2461000000.0,0.600843,-0.676409
2468000000.0,0.58155,-0.674131
2475000000.0,0.556495,-0.690625
2482000000.0,0.527703,-0.69703
2489000000.0,0.499779,-0.711455
2496000000.0,0.511857,-0.695849
2503000000.0,0.486755,-0.702394
2510000000.0,0.476539,-0.709116
2517000000.0,0.449612,-0.720388
2524000000.0,0.449208,-0.734774
2531000000.0,0.42523,-0.733947
2538000000.0,0.428052,-0.731476
2545000000.0,0.394266,-0.756315
2552000000.0,0.378721,-0.774134
2559000000.0,0.370298,-0.763111
2566000000.0,0.353619,-0.778437
2573000000.0,0.355675,-0.789091
2580000000.0,0.310606,-0.806519
2587000000.0,0.296683,-0.814043
2594000000.0,0.284143,-0.81689
2601000000.0,0.251691,-0.83614
2608000000.0,0.240587,-0.848358
2615000000.0,0.203731,-0.842612
2622000000.0,0.176021,-0.845929
2629000000.0,0.170162,-0.865111
2636000000.0,0.138596,-0.861342
2643000000.0,0.119386,-0.870304
2650000000.0,0.091965,-0.871035
2657000000.0,0.03718,-0.873069
2664000000.0,0.022826,-0.880353
2671000000.0,-0.015184,-0.893418
2678000000.0,0.020916,-0.896062
2685000000.0,-0.066719,-0.887034
2692000000.0,-0.081745,-0.901061
2699000000.0,-0.110432,-0.88263
2706000000.0,-0.160592,-0.874693
2713000000.0,-0.18139,-0.880581
2720000000.0,-0.226252,-0.855367
2727000000.0,-0.2265,-0.847874
