Freq (Hz),Real Part,Imaginary Part
1600000000.0,-0.278773,0.919142
1607000000.0,-0.246147,0.924456
1614000000.0,-0.253178,0.934421
1621000000.0,-0.219031,0.92935
1628000000.0,-0.208162,0.936238
1635000000.0,-0.181604,0.94342
1642000000.0,-0.16553,0.949295
1649000000.0,-0.138267,0.951727
1656000000.0,-0.112424,0.962135
1663000000.0,-0.090755,0.956781
1670000000.0,-0.081777,0.95613
1677000000.0,-0.033253,0.96614
1684000000.0,-0.030246,0.958651
1691000000.0,-0.067546,0.951266
1698000000.0,0.012955,0.953751
1705000000.0,0.033777,0.96226
1712000000.0,0.05805,0.956426
1719000000.0,0.072693,0.953726
1726000000.0,0.081485,0.93982
1733000000.0,0.12046,0.944836
1740000000.0,0.136161,0.940958
1747000000.0,0.154472,0.931588
1754000000.0,0.183365,0.926472
1761000000.0,0.197861,0.934889
1768000000.0,0.221038,0.92481
1775000000.0,0.243622,0.911786
1782000000.0,0.233044,0.919306
1789000000.0,0.289664,0.894006
1796000000.0,0.295627,0.892692
1803000000.0,0.314892,0.894131
1810000000.0,0.3382,0.873722
1817000000.0,0.35758,0.870274
1824000000.0,0.33981,0.863451
1831000000.0,0.402962,0.846109
1838000000.0,0.45736,0.821872
1845000000.0,0.450149,0.814576
1852000000.0,0.469841,0.806492
1859000000.0,0.471283,0.799481
1866000000.0,0.488633,0.779474
1873000000.0,0.517745,0.759133
1880000000.0,0.532674,0.748411
1887000000.0,0.541287,0.73454
1894000000.0,0.5588,0.722611
1901000000.0,0.579823,0.702964
1908000000.0,0.588305,0.690958
1915000000.0,0.589303,0.68599
1922000000.0,0.609301,0.65819
1929000000.0,0.615302,0.662394
1936000000.0,0.635032,0.624388
1943000000.0,0.633774,0.625889
1950000000.0,0.650357,0.59804
1957000000.0,0.673558,0.569834
1964000000.0,0.692414,0.536633
1971000000.0,0.677924,0.555653
1978000000.0,0.714463,0.498571
1985000000.0,0.713385,0.503519
1992000000.0,0.721074,0.486525
1999000000.0,0.737821,0.443634
2006000000.0,0.739955,0.439341
2013000000.0,0.74064,0.421651
2020000000.0,0.75333,0.396623
2027000000.0,0.748574,0.396927
2034000000.0,0.773493,0.328136
2041000000.0,0.767206,0.338916
2048000000.0,0.769661,0.314402
2055000000.0,0.779013,0.282582
2062000000.0,0.775601,0.267315
2069000000.0,0.780149,0.232021
2076000000.0,0.777169,0.215162
2083000000.0,0.774524,0.195821
2090000000.0,0.775297,0.171829
2097000000.0,0.777922,0.154729
2104000000.0,0.771803,0.112132
2111000000.0,0.770829,0.105276
2118000000.0,0.763145,0.080977
2125000000.0,0.752335,0.050214
2132000000.0,0.743638,0.035638
2139000000.0,0.734115,0.016038
2146000000.0,0.728402,-0.011373
2153000000.0,0.711042,-0.017975
2160000000.0,0.697758,-0.046297
2167000000.0,0.682939,-0.063738
2174000000.0,0.667671,-0.07567
2181000000.0,0.655874,-0.090135
2188000000.0,0.641061,-0.110513
2195000000.0,0.620821,-0.112424
2202000000.0,0.599144,-0.128036
2209000000.0,0.57662,-0.132707
2216000000.0,0.566178,-0.141423
2223000000.0,0.542931,-0.152749
2230000000.0,0.529376,-0.141357
2237000000.0,0.513388,-0.157855
2244000000.0,0.500312,-0.148891
2251000000.0,0.489314,-0.147851
2258000000.0,0.475359,-0.149708
2265000000.0,0.467959,-0.135597
2272000000.0,0.457131,-0.136612
2279000000.0,0.447127,-0.145851
2286000000.0,0.442911,-0.137443
2293000000.0,0.438386,-0.138885
2300000000.0,0.430627,-0.12394
2307000000.0,0.429926,-0.12736
2314000000.0,0.418929,-0.125313
2321000000.0,0.417866,-0.122199
2328000000.0,0.411324,-0.127382
2335000000.0,0.405711,-0.12448
2342000000.0,0.412813,-0.11313
2349000000.0,0.402134,-0.119707
2356000000.0,0.402762,-0.105745
2363000000.0,0.402581,-0.107851
2370000000.0,0.397149,-0.115043
2377000000.0,0.397616,-0.109408
2384000000.0,0.394544,-0.110061
2391000000.0,0.392772,-0.107571
2398000000.0,0.39902,-0.097868
2405000000.0,0.388405,-0.106639
2412000000.0,0.3912,-0.100613
2419000000.0,0.390728,-0.09463
2426000000.0,0.391909,-0.099138
2433000000.0,0.399529,-0.079578
2440000000.0,0.400915,-0.087183
2447000000.0,0.409659,-0.084891
2454000000.0,0.412983,-0.083018
2461000000.0,0.419092,-0.085594
2468000000.0,0.428313,-0.076838
2475000000.0,0.446562,-0.079398
2482000000.0,0.4538,-0.087382
2489000000.0,0.467199,-0.081277
2496000000.0,0.476338,-0.094646
2503000000.0,0.483805,-0.114412
2510000000.0,0.49998,-0.109808
2517000000.0,0.504583,-0.142671
2524000000.0,0.510391,-0.14258
2531000000.0,0.517725,-0.153666
2538000000.0,0.528146,-0.169917
2545000000.0,0.518839,-0.207574
2552000000.0,0.525026,-0.222435
2559000000.0,0.530096,-0.219724
2566000000.0,0.527213,-0.239618
2573000000.0,0.526748,-0.256266
2580000000.0,0.524038,-0.28686
2587000000.0,0.521223,-0.30092
2594000000.0,0.516249,-0.307132
2601000000.0,0.510411,-0.337065
2608000000.0,0.503486,-0.353773
2615000000.0,0.488407,-0.363781
2622000000.0,0.475521,-0.376352
2629000000.0,0.466892,-0.406438
2636000000.0,0.453835,-0.412637
2643000000.0,0.439567,-0.419185
2650000000.0,0.423886,-0.412923
2657000000.0,0.379136,-0.461728
2664000000.0,0.386119,-0.455107
2671000000.0,0.381255,-0.465323
2678000000.0,0.359001,-0.473482
2685000000.0,0.337016,-0.475577
2692000000.0,0.329832,-0.492752
2699000000.0,0.322076,-0.469189
2706000000.0,0.323351,-0.458162
2713000000.0,0.287799,-0.477011
2720000000.0,0.280672,-0.47094
2727000000.0,0.278008,-0.459232
2734000000.0,0.240492,-0.46679
2741000000.0,0.262425,-0.453271
2748000000.0,0.245137,-0.458455
2755000000.0,0.257153,-0.448172
2762000000.0,0.242827,-0.448089
2769000000.0,0.257105,-0.443292
2776000000.0,0.252333,-0.44219
2783000000.0,0.226236,-0.462067
2790000000.0,0.238521,-0.45333
2797000000.0,0.231485,-0.471093
2804000000.0,0.234207,-0.468039
2811000000.0,0.240883,-0.471268
2818000000.0,0.228981,-0.482857
2825000000.0,0.224788,-0.4917
2832000000.0,0.217908,-0.496987
2839000000.0,0.2135,-0.501498
2846000000.0,0.194606,-0.509043
2853000000.0,0.189456,-0.524874
2860000000.0,0.185951,-0.530805
2867000000.0,0.173376,-0.531138
2874000000.0,0.159955,-0.540637
2881000000.0,0.148337,-0.545212
2888000000.0,0.132384,-0.54829
2895000000.0,0.129642,-0.554801
2902000000.0,0.112992,-0.551237
2909000000.0,0.107289,-0.549027
2916000000.0,0.10381,-0.544787
2923000000.0,0.106947,-0.552508
2930000000.0,0.085919,-0.550329
2937000000.0,0.064837,-0.548675
2944000000.0,0.05764,-0.55533
2951000000.0,0.084406,-0.551605
2958000000.0,0.046071,-0.557103
2965000000.0,0.03008,-0.563494
2972000000.0,0.019816,-0.558131
2979000000.0,0.026103,-0.562899
2986000000.0,0.002542,-0.560856
2993000000.0,0.005022,-0.558484
3000000000.0,-0.009115,-0.561949
