Freq (Hz),Real Part,Imaginary Part
1600000000.0,-0.26,0.917242
1607000000.0,-0.242844,0.917891
1614000000.0,-0.232049,0.925533
1621000000.0,-0.205394,0.923785
1628000000.0,-0.172374,0.937628
1635000000.0,-0.157195,0.937716
1642000000.0,-0.160498,0.936795
1649000000.0,-0.12325,0.942375
1656000000.0,-0.088435,0.953114
1663000000.0,-0.06939,0.945708
1670000000.0,-0.070052,0.950703
1677000000.0,-0.026239,0.963627
1684000000.0,-0.011904,0.94704
1691000000.0,0.000736,0.950378
1698000000.0,0.037398,0.944882
1705000000.0,0.065311,0.95297
1712000000.0,0.084538,0.942189
1719000000.0,0.104319,0.937661
1726000000.0,0.11102,0.927652
1733000000.0,0.141716,0.93087
1740000000.0,0.154443,0.924137
1747000000.0,0.186265,0.913629
1754000000.0,0.204069,0.91182
1761000000.0,0.214107,0.920171
1768000000.0,0.246617,0.902127
1775000000.0,0.275496,0.8884
1782000000.0,0.277586,0.886417
1789000000.0,0.310085,0.873919
1796000000.0,0.322116,0.867665
1803000000.0,0.348525,0.865538
1810000000.0,0.35628,0.843502
1817000000.0,0.38581,0.839825
1824000000.0,0.411712,0.823001
1831000000.0,0.433788,0.816519
1838000000.0,0.480456,0.789339
1845000000.0,0.467036,0.779498
1852000000.0,0.497123,0.764399
1859000000.0,0.501503,0.761312
1866000000.0,0.519242,0.742377
1873000000.0,0.585498,0.682526
1880000000.0,0.561689,0.706723
1887000000.0,0.582279,0.691702
1894000000.0,0.58733,0.67023
1901000000.0,0.612293,0.64793
1908000000.0,0.62769,0.626973
1915000000.0,0.638399,0.609876
1922000000.0,0.654426,0.574563
1929000000.0,0.650923,0.569922
1936000000.0,0.674527,0.525346
1943000000.0,0.687534,0.503735
1950000000.0,0.689725,0.474848
1957000000.0,0.714722,0.427021
1964000000.0,0.705997,0.415418
1971000000.0,0.72787,0.327183
1978000000.0,0.708101,0.350439
1985000000.0,0.701342,0.332697
1992000000.0,0.696742,0.289502
1999000000.0,0.696305,0.252661
2006000000.0,0.673734,0.249018
2013000000.0,0.656327,0.223573
2020000000.0,0.642264,0.193054
2027000000.0,0.619198,0.185617
2034000000.0,0.598346,0.158746
2041000000.0,0.572607,0.161639
2048000000.0,0.551938,0.156968
2055000000.0,0.525175,0.169595
2062000000.0,0.515277,0.168617
2069000000.0,0.499568,0.171733
2076000000.0,0.488418,0.183158
2083000000.0,0.472994,0.226164
2090000000.0,0.483552,0.212901
2097000000.0,0.490297,0.229702
2104000000.0,0.507933,0.220045
2111000000.0,0.522557,0.232226
2118000000.0,0.534176,0.237756
2125000000.0,0.549946,0.231688
2132000000.0,0.570657,0.221171
2139000000.0,0.583154,0.216046
2146000000.0,0.607115,0.193119
2153000000.0,0.609974,0.185431
2160000000.0,0.622679,0.157045
2167000000.0,0.629046,0.128983
2174000000.0,0.629289,0.125119
2181000000.0,0.642108,0.098029
2188000000.0,0.635296,0.0649
2195000000.0,0.625534,0.0559
2202000000.0,0.616388,0.026378
2209000000.0,0.602067,0.013373
2216000000.0,0.598233,-0.005813
2223000000.0,0.581789,-0.035814
2230000000.0,0.565285,-0.035384
2237000000.0,0.555069,-0.060165
2244000000.0,0.53514,-0.071552
2251000000.0,0.512506,-0.073372
2258000000.0,0.500426,-0.083439
2265000000.0,0.481109,-0.085334
2272000000.0,0.465405,-0.092533
2279000000.0,0.439724,-0.102806
2286000000.0,0.428986,-0.090716
2293000000.0,0.404141,-0.091337
2300000000.0,0.388992,-0.077817
2307000000.0,0.37469,-0.069985
2314000000.0,0.354467,-0.063061
2321000000.0,0.339725,-0.036584
2328000000.0,0.326397,-0.018133
2335000000.0,0.31586,-0.000891
2342000000.0,0.31179,0.04326
2349000000.0,0.314333,0.062612
2356000000.0,0.32343,0.112543
2363000000.0,0.33429,0.144217
2370000000.0,0.366757,0.16365
2377000000.0,0.399991,0.199074
2384000000.0,0.442877,0.209009
2391000000.0,0.488154,0.214559
2398000000.0,0.535249,0.224966
2405000000.0,0.58923,0.188638
2412000000.0,0.626824,0.17432
2419000000.0,0.660843,0.158616
2426000000.0,0.694095,0.11136
2433000000.0,0.718707,0.082746
2440000000.0,0.736986,0.038111
2447000000.0,0.746374,0.007776
2454000000.0,0.748005,-0.030217
2461000000.0,0.75978,-0.07437
2468000000.0,0.745161,-0.106813
2475000000.0,0.756174,-0.124453
2482000000.0,0.742189,-0.176412
2489000000.0,0.738456,-0.174192
2496000000.0,0.733442,-0.20302
2503000000.0,0.710722,-0.243966
2510000000.0,0.704651,-0.267984
2517000000.0,0.698106,-0.283773
2524000000.0,0.68843,-0.298888
2531000000.0,0.672875,-0.317176
2538000000.0,0.671469,-0.321872
2545000000.0,0.644313,-0.36442
2552000000.0,0.639356,-0.375516
2559000000.0,0.637948,-0.358012
2566000000.0,0.610015,-0.410859
2573000000.0,0.609236,-0.413156
2580000000.0,0.595912,-0.438282
2587000000.0,0.597572,-0.442579
2594000000.0,0.552502,-0.473188
2601000000.0,0.555983,-0.468589
2608000000.0,0.534486,-0.499931
2615000000.0,0.518738,-0.499111
2622000000.0,0.464468,-0.52892
2629000000.0,0.489668,-0.510027
2636000000.0,0.448797,-0.545619
2643000000.0,0.426315,-0.534928
2650000000.0,0.408796,-0.531299
2657000000.0,0.356221,-0.551521
2664000000.0,0.35768,-0.551588
2671000000.0,0.343069,-0.554558
2678000000.0,0.327913,-0.548479
2685000000.0,0.303672,-0.549175
2692000000.0,0.311194,-0.55088
2699000000.0,0.293765,-0.529269
2706000000.0,0.269194,-0.53185
2713000000.0,0.276012,-0.529205
2720000000.0,0.270072,-0.521166
2727000000.0,0.265515,-0.508807
2734000000.0,0.257004,-0.505674
2741000000.0,0.255431,-0.505042
2748000000.0,0.250173,-0.51164
2755000000.0,0.262025,-0.504024
2762000000.0,0.243185,-0.512523
2769000000.0,0.255867,-0.508551
2776000000.0,0.254786,-0.511594
2783000000.0,0.227914,-0.530069
2790000000.0,0.224757,-0.530746
2797000000.0,0.218186,-0.55341
2804000000.0,0.22627,-0.544385
2811000000.0,0.218308,-0.554371
2818000000.0,0.198589,-0.561965
2825000000.0,0.175324,-0.573387
2832000000.0,0.1868,-0.57364
2839000000.0,0.160636,-0.577311
2846000000.0,0.142805,-0.586715
2853000000.0,0.152783,-0.586059
2860000000.0,0.142858,-0.583313
2867000000.0,0.136631,-0.584627
2874000000.0,0.109897,-0.587798
2881000000.0,0.107407,-0.590644
2888000000.0,0.088502,-0.58864
2895000000.0,0.069882,-0.590183
2902000000.0,0.062637,-0.589223
2909000000.0,0.042647,-0.585504
2916000000.0,0.051635,-0.582535
2923000000.0,0.050496,-0.58049
2930000000.0,0.028987,-0.580815
2937000000.0,0.015102,-0.582445
2944000000.0,-0.008803,-0.57505
2951000000.0,-0.004754,-0.580486
2958000000.0,-0.009759,-0.578333
2965000000.0,-0.027535,-0.585154
2972000000.0,0.018147,-0.586036
2979000000.0,-0.039444,-0.579192
2986000000.0,-0.057459,-0.571388
2993000000.0,-0.05438,-0.574283
3000000000.0,-0.064691,-0.579658
