Freq (Hz),Real Part,Imaginary Part
1600000000.0,-0.307098,0.914657
1607000000.0,-0.285575,0.922758
1614000000.0,-0.285885,0.919546
1621000000.0,-0.243741,0.933817
1628000000.0,-0.231156,0.936299
1635000000.0,-0.223104,0.94001
1642000000.0,-0.189458,0.943174
1649000000.0,-0.180567,0.953837
1656000000.0,-0.158896,0.960465
1663000000.0,-0.134128,0.956596
1670000000.0,-0.114215,0.958513
1677000000.0,-0.081827,0.963401
1684000000.0,-0.077074,0.966607
1691000000.0,-0.053803,0.963424
1698000000.0,-0.030603,0.965999
1705000000.0,-0.011267,0.973183
1712000000.0,0.003337,0.969707
1719000000.0,0.035399,0.963197
1726000000.0,0.047081,0.962821
1733000000.0,0.073006,0.959908
1740000000.0,0.096769,0.968817
1747000000.0,0.107301,0.952386
1754000000.0,0.165565,0.952083
1761000000.0,0.131725,0.943838
1768000000.0,0.177902,0.946114
1775000000.0,0.207205,0.941065
1782000000.0,0.206831,0.941899
1789000000.0,0.249535,0.926284
1796000000.0,0.254295,0.926815
1803000000.0,0.262617,0.930692
1810000000.0,0.258493,0.917923
1817000000.0,0.296447,0.915426
1824000000.0,0.324995,0.891628
1831000000.0,0.370209,0.887976
1838000000.0,0.351478,0.889348
1845000000.0,0.394117,0.88274
1852000000.0,0.41477,0.85736
1859000000.0,0.428532,0.848984
1866000000.0,0.448565,0.838041
1873000000.0,0.45661,0.827556
1880000000.0,0.475447,0.811645
1887000000.0,0.511221,0.791321
1894000000.0,0.500422,0.792749
1901000000.0,0.518711,0.772892
1908000000.0,0.538274,0.765153
1915000000.0,0.549685,0.747508
1922000000.0,0.558956,0.735099
1929000000.0,0.561633,0.729443
1936000000.0,0.585504,0.706625
1943000000.0,0.604687,0.687257
1950000000.0,0.610492,0.683928
1957000000.0,0.613148,0.676037
1964000000.0,0.633848,0.659813
1971000000.0,0.63993,0.646376
1978000000.0,0.657341,0.632465
1985000000.0,0.661319,0.628996
1992000000.0,0.678967,0.614091
1999000000.0,0.695813,0.60038
2006000000.0,0.69775,0.600814
2013000000.0,0.724413,0.568472
2020000000.0,0.72864,0.567385
2027000000.0,0.744846,0.552211
2034000000.0,0.760487,0.527695
2041000000.0,0.770014,0.526772
2048000000.0,0.780306,0.510314
2055000000.0,0.802039,0.478524
2062000000.0,0.807368,0.462799
2069000000.0,0.81355,0.457657
2076000000.0,0.821268,0.440423
2083000000.0,0.833073,0.403492
2090000000.0,0.846097,0.386086
2097000000.0,0.84812,0.369637
2104000000.0,0.860278,0.363115
2111000000.0,0.870749,0.320179
2118000000.0,0.884534,0.308277
2125000000.0,0.893925,0.285565
2132000000.0,0.896951,0.262315
2139000000.0,0.895756,0.244772
2146000000.0,0.899281,0.20773
2153000000.0,0.904399,0.205294
2160000000.0,0.90946,0.18547
2167000000.0,0.908945,0.158127
2174000000.0,0.913936,0.150508
2181000000.0,0.91574,0.121546
2188000000.0,0.920914,0.102148
2195000000.0,0.916621,0.075078
2202000000.0,0.919118,0.053613
2209000000.0,0.914282,0.045813
2216000000.0,0.914485,0.00798
2223000000.0,0.914389,-0.018209
2230000000.0,0.918148,-0.01347
2237000000.0,0.910308,-0.061658
2244000000.0,0.913382,-0.075407
2251000000.0,0.912214,-0.080648
2258000000.0,0.907638,-0.120101
2265000000.0,0.89582,-0.177029
2272000000.0,0.894173,-0.114966
2279000000.0,0.888254,-0.173148
2286000000.0,0.889981,-0.187783
2293000000.0,0.882549,-0.219248
2300000000.0,0.877891,-0.251191
2307000000.0,0.874959,-0.256769
2314000000.0,0.860604,-0.290553
2321000000.0,0.865611,-0.303629
2328000000.0,0.859058,-0.326969
2335000000.0,0.842544,-0.357636
2342000000.0,0.835454,-0.376409
2349000000.0,0.827007,-0.408515
2356000000.0,0.810796,-0.443155
2363000000.0,0.805962,-0.459199
2370000000.0,0.781452,-0.483614
2377000000.0,0.771241,-0.503863
2384000000.0,0.742641,-0.533879
2391000000.0,0.714758,-0.561112
2398000000.0,0.707261,-0.556679
2405000000.0,0.665675,-0.608898
2412000000.0,0.668772,-0.603509
2419000000.0,0.640832,-0.617327
2426000000.0,0.600891,-0.645585
2433000000.0,0.601224,-0.626271
2440000000.0,0.562195,-0.648492
2447000000.0,0.529787,-0.66288
2454000000.0,0.516507,-0.659231
2461000000.0,0.48212,-0.672172
2468000000.0,0.455134,-0.678812
2475000000.0,0.438442,-0.682792
2482000000.0,0.42818,-0.669217
2489000000.0,0.400658,-0.68249
2496000000.0,0.384117,-0.685654
2503000000.0,0.345969,-0.693272
2510000000.0,0.326779,-0.695096
2517000000.0,0.254323,-0.713435
2524000000.0,0.295928,-0.691706
2531000000.0,0.287038,-0.692645
2538000000.0,0.266883,-0.694227
2545000000.0,0.249208,-0.701016
2552000000.0,0.204141,-0.71326
2559000000.0,0.197665,-0.710509
2566000000.0,0.1699,-0.702699
2573000000.0,0.166783,-0.708414
2580000000.0,0.127207,-0.706649
2587000000.0,0.126534,-0.706128
2594000000.0,0.095772,-0.703397
2601000000.0,0.063073,-0.706744
