Freq (Hz),Real Part,Imaginary Part
1600000000.0,-0.281796,0.893418
1607000000.0,-0.260385,0.896694
1614000000.0,-0.244232,0.899773
1621000000.0,-0.214325,0.898621
1628000000.0,-0.208184,0.907959
1635000000.0,-0.19109,0.913251
1642000000.0,-0.16381,0.916952
1649000000.0,-0.149629,0.920866
1656000000.0,-0.123928,0.928227
1663000000.0,-0.095298,0.92046
1670000000.0,-0.087385,0.924895
1677000000.0,-0.045313,0.926869
1684000000.0,-0.050243,0.928126
1691000000.0,-0.031404,0.924659
1698000000.0,0.00806,0.924448
1705000000.0,0.020305,0.92154
1712000000.0,0.02762,0.916413
1719000000.0,0.059167,0.911027
1726000000.0,0.077509,0.912311
1733000000.0,0.103195,0.907564
1740000000.0,0.115645,0.912939
1747000000.0,0.130518,0.892672
1754000000.0,0.156271,0.890741
1761000000.0,0.166814,0.878529
1768000000.0,0.203177,0.878471
1775000000.0,0.220837,0.874646
1782000000.0,0.228511,0.869231
1789000000.0,0.272031,0.846831
1796000000.0,0.264059,0.850621
1803000000.0,0.273864,0.850652
1810000000.0,0.310951,0.822418
1817000000.0,0.308424,0.829542
1824000000.0,0.330734,0.804153
1831000000.0,0.349026,0.804121
1838000000.0,0.366645,0.790172
1845000000.0,0.389383,0.783848
1852000000.0,0.397151,0.758879
1859000000.0,0.412054,0.748791
1866000000.0,0.433862,0.727619
1873000000.0,0.438814,0.72494
1880000000.0,0.453869,0.707857
1887000000.0,0.482142,0.679166
1894000000.0,0.47321,0.681956
1901000000.0,0.490674,0.6644
1908000000.0,0.497425,0.656448
1915000000.0,0.503716,0.639796
1922000000.0,0.516189,0.624277
1929000000.0,0.521407,0.622376
1936000000.0,0.52722,0.599889
1943000000.0,0.542869,0.581353
1950000000.0,0.542223,0.569313
1957000000.0,0.558522,0.553531
1964000000.0,0.559012,0.548303
1971000000.0,0.559661,0.540195
1978000000.0,0.575065,0.515868
1985000000.0,0.578127,0.516255
1992000000.0,0.577516,0.510168
1999000000.0,0.602113,0.487403
2006000000.0,0.599042,0.484181
2013000000.0,0.618674,0.460163
2020000000.0,0.607089,0.467534
2027000000.0,0.624715,0.436443
2034000000.0,0.631388,0.419889
2041000000.0,0.630535,0.425824
2048000000.0,0.65451,0.379917
2055000000.0,0.643711,0.39219
2062000000.0,0.641325,0.38418
2069000000.0,0.654125,0.357696
2076000000.0,0.653284,0.354945
2083000000.0,0.651474,0.336951
2090000000.0,0.663512,0.310453
2097000000.0,0.660902,0.299891
2104000000.0,0.664063,0.307518
2111000000.0,0.671215,0.268988
2118000000.0,0.689831,0.217443
2125000000.0,0.682999,0.240149
2132000000.0,0.674562,0.228156
2139000000.0,0.669348,0.230466
2146000000.0,0.670958,0.19494
2153000000.0,0.672374,0.190939
2160000000.0,0.66877,0.186688
2167000000.0,0.665261,0.178315
2174000000.0,0.662677,0.162465
2181000000.0,0.659243,0.155134
2188000000.0,0.664405,0.143587
2195000000.0,0.665089,0.13609
2202000000.0,0.657389,0.137728
2209000000.0,0.658457,0.137804
2216000000.0,0.659593,0.103548
2223000000.0,0.658056,0.095472
2230000000.0,0.661215,0.10771
2237000000.0,0.663244,0.076495
2244000000.0,0.658824,0.07602
2251000000.0,0.651366,0.072818
2258000000.0,0.660291,0.060003
2265000000.0,0.664852,0.016674
2272000000.0,0.662785,0.039587
2279000000.0,0.660577,0.034107
2286000000.0,0.662924,0.019143
2293000000.0,0.656948,0.020152
2300000000.0,0.666729,0.001179
2307000000.0,0.668491,0.004538
2314000000.0,0.667339,-0.022499
2321000000.0,0.672537,-0.027172
2328000000.0,0.676675,-0.03194
2335000000.0,0.674305,-0.055425
2342000000.0,0.676254,-0.061826
2349000000.0,0.673599,-0.089819
2356000000.0,0.682807,-0.102342
2363000000.0,0.68216,-0.096528
