Freq (Hz),Real Part,Imaginary Part
1600000000.0,-0.289971,0.910917
1607000000.0,-0.276165,0.917073
1614000000.0,-0.241257,0.930223
1621000000.0,-0.231447,0.926867
1628000000.0,-0.217337,0.934321
1635000000.0,-0.201071,0.935309
1642000000.0,-0.157949,0.941661
1649000000.0,-0.162316,0.945133
1656000000.0,-0.130803,0.95637
1663000000.0,-0.116792,0.949938
1670000000.0,-0.094547,0.950102
1677000000.0,-0.053441,0.950627
1684000000.0,-0.123868,0.951869
1691000000.0,-0.037877,0.955806
1698000000.0,-0.001369,0.957986
1705000000.0,0.011125,0.96412
1712000000.0,0.036971,0.953345
1719000000.0,0.068361,0.955361
1726000000.0,0.082177,0.958774
1733000000.0,0.114169,0.943999
1740000000.0,0.126415,0.954942
1747000000.0,0.148016,0.932885
1754000000.0,0.181921,0.932382
1761000000.0,0.17715,0.922183
1768000000.0,0.209583,0.931435
1775000000.0,0.236617,0.920967
1782000000.0,0.250722,0.914893
1789000000.0,0.304388,0.898495
1796000000.0,0.306237,0.893525
1803000000.0,0.308544,0.900596
1810000000.0,0.348996,0.86886
1817000000.0,0.357465,0.877575
1824000000.0,0.381104,0.851056
1831000000.0,0.404398,0.848775
1838000000.0,0.42891,0.833238
1845000000.0,0.447518,0.82541
1852000000.0,0.465056,0.803214
1859000000.0,0.473556,0.796932
1866000000.0,0.499528,0.775577
1873000000.0,0.516986,0.760788
1880000000.0,0.533577,0.743462
1887000000.0,0.55926,0.719097
1894000000.0,0.553539,0.710349
1901000000.0,0.583427,0.689719
1908000000.0,0.596849,0.67564
1915000000.0,0.596905,0.661387
1922000000.0,0.618596,0.63759
1929000000.0,0.633268,0.620365
1936000000.0,0.641172,0.590388
1943000000.0,0.654921,0.566649
1950000000.0,0.665424,0.554975
1957000000.0,0.675609,0.51718
1964000000.0,0.680693,0.510737
1971000000.0,0.692778,0.484429
1978000000.0,0.703455,0.453661
1985000000.0,0.699672,0.448168
1992000000.0,0.701119,0.431341
1999000000.0,0.720192,0.390164
2006000000.0,0.712409,0.381876
2013000000.0,0.722263,0.337257
2020000000.0,0.71172,0.338304
2027000000.0,0.716942,0.303689
2034000000.0,0.718271,0.265586
2041000000.0,0.706181,0.260855
2048000000.0,0.699104,0.239619
2055000000.0,0.691988,0.207389
2062000000.0,0.671975,0.21348
2069000000.0,0.669554,0.17896
2076000000.0,0.652786,0.172916
2083000000.0,0.638148,0.150624
2090000000.0,0.634605,0.126824
2097000000.0,0.619303,0.127656
2104000000.0,0.611432,0.130985
2111000000.0,0.597044,0.107513
