Freq (Hz),Real Part,Imaginary Part
1600000000.0,-0.330566,0.909196
1607000000.0,-0.319478,0.914981
1614000000.0,-0.308288,0.917277
1621000000.0,-0.272638,0.925653
1628000000.0,-0.267322,0.933342
1635000000.0,-0.243666,0.94023
1642000000.0,-0.205916,0.954092
1649000000.0,-0.217378,0.950862
1656000000.0,-0.18577,0.966382
1663000000.0,-0.152585,0.965279
1670000000.0,-0.148941,0.962887
1677000000.0,-0.122827,0.966444
1684000000.0,-0.109654,0.974839
1691000000.0,-0.085221,0.969712
1698000000.0,-0.055804,0.976717
1705000000.0,-0.056319,0.977987
1712000000.0,-0.020239,0.972284
1719000000.0,0.00621,0.972487
1726000000.0,0.01956,0.976079
1733000000.0,0.046471,0.969871
1740000000.0,0.059738,0.982516
1747000000.0,0.082732,0.96272
1754000000.0,0.116646,0.965968
1761000000.0,0.10832,0.957339
1768000000.0,0.142686,0.961703
1775000000.0,0.185427,0.958489
1782000000.0,0.174424,0.95957
1789000000.0,0.225838,0.94601
1796000000.0,0.230675,0.944954
1803000000.0,0.246,0.950421
1810000000.0,0.277974,0.930171
1817000000.0,0.315124,0.925729
1824000000.0,0.306545,0.909721
1831000000.0,0.345846,0.90726
1838000000.0,0.355909,0.899695
1845000000.0,0.374187,0.888924
1852000000.0,0.383733,0.887038
1859000000.0,0.402599,0.874023
1866000000.0,0.431486,0.860638
1873000000.0,0.438628,0.849767
1880000000.0,0.463226,0.83465
1887000000.0,0.475416,0.819129
1894000000.0,0.516566,0.790935
1901000000.0,0.509784,0.79322
1908000000.0,0.510159,0.796325
1915000000.0,0.521322,0.778916
1922000000.0,0.547224,0.759567
1929000000.0,0.55243,0.762998
1936000000.0,0.562713,0.733243
1943000000.0,0.5781,0.728685
1950000000.0,0.59618,0.714768
1957000000.0,0.607904,0.696482
1964000000.0,0.608862,0.69556
1971000000.0,0.613304,0.68881
1978000000.0,0.663574,0.648313
1985000000.0,0.645498,0.663099
1992000000.0,0.641666,0.675571
1999000000.0,0.6772,0.637598
2006000000.0,0.702702,0.615011
2013000000.0,0.721238,0.60617
2020000000.0,0.695811,0.631428
2027000000.0,0.729429,0.596207
2034000000.0,0.742461,0.57852
2041000000.0,0.753997,0.568756
2048000000.0,0.752433,0.572713
2055000000.0,0.78369,0.526433
2062000000.0,0.793799,0.51919
2069000000.0,0.802069,0.499265
2076000000.0,0.80272,0.510414
2083000000.0,0.823133,0.458434
2090000000.0,0.847839,0.429132
2097000000.0,0.85152,0.416602
2104000000.0,0.858456,0.415598
2111000000.0,0.876658,0.372186
2118000000.0,0.88522,0.352195
2125000000.0,0.893707,0.334948
2132000000.0,0.901918,0.318882
2139000000.0,0.899821,0.316619
2146000000.0,0.917696,0.252607
