Freq (Hz),Real Part,Imaginary Part
1600000000.0,-0.30579,0.910508
1607000000.0,-0.290475,0.909154
1614000000.0,-0.277688,0.914144
1621000000.0,-0.240265,0.917518
1628000000.0,-0.220867,0.926421
1635000000.0,-0.216048,0.931538
1642000000.0,-0.178931,0.938032
1649000000.0,-0.168693,0.945195
1656000000.0,-0.142813,0.955572
1663000000.0,-0.106415,0.947789
1670000000.0,-0.105239,0.948384
1677000000.0,-0.074205,0.949743
1684000000.0,-0.063452,0.955221
1691000000.0,-0.052501,0.95162
1698000000.0,0.02076,0.95968
1705000000.0,-0.000817,0.955233
1712000000.0,-0.000254,0.950008
1719000000.0,0.039371,0.950002
1726000000.0,0.038639,0.957869
1733000000.0,0.093167,0.948675
1740000000.0,0.095878,0.954126
1747000000.0,0.119769,0.941721
1754000000.0,0.138162,0.941046
1761000000.0,0.156524,0.920183
1768000000.0,0.185858,0.933536
1775000000.0,0.218968,0.920505
1782000000.0,0.225701,0.922117
1789000000.0,0.278718,0.902723
1796000000.0,0.281033,0.898904
1803000000.0,0.297069,0.896548
1810000000.0,0.319341,0.87888
1817000000.0,0.336811,0.881014
1824000000.0,0.358149,0.854941
1831000000.0,0.375466,0.860795
1838000000.0,0.387815,0.84667
1845000000.0,0.426778,0.827186
1852000000.0,0.44378,0.812573
1859000000.0,0.446815,0.804581
1866000000.0,0.475513,0.788481
1873000000.0,0.477348,0.77601
1880000000.0,0.502888,0.756902
1887000000.0,0.526757,0.730967
1894000000.0,0.515687,0.732307
1901000000.0,0.546011,0.707704
1908000000.0,0.557394,0.690455
1915000000.0,0.561163,0.683387
1922000000.0,0.579284,0.654759
1929000000.0,0.576207,0.64813
1936000000.0,0.591389,0.623495
1943000000.0,0.607612,0.611842
1950000000.0,0.620654,0.590815
1957000000.0,0.625655,0.573971
1964000000.0,0.632812,0.563437
1971000000.0,0.641004,0.552546
1978000000.0,0.658036,0.515872
1985000000.0,0.652103,0.525872
1992000000.0,0.665238,0.506838
1999000000.0,0.679633,0.48115
2006000000.0,0.683796,0.475221
2013000000.0,0.70435,0.442897
2020000000.0,0.688885,0.451778
2027000000.0,0.709817,0.417538
2034000000.0,0.720307,0.388261
2041000000.0,0.719817,0.384409
2048000000.0,0.719496,0.366273
2055000000.0,0.732597,0.332907
2062000000.0,0.73119,0.319704
2069000000.0,0.733349,0.305746
2076000000.0,0.732548,0.290582
2083000000.0,0.733672,0.257417
2090000000.0,0.741149,0.227824
2097000000.0,0.737329,0.207889
2104000000.0,0.733263,0.209354
2111000000.0,0.735733,0.176762
2118000000.0,0.73709,0.149055
2125000000.0,0.736426,0.133264
2132000000.0,0.724338,0.114873
2139000000.0,0.720919,0.11012
2146000000.0,0.70732,0.065613
2153000000.0,0.705404,0.058935
2160000000.0,0.693626,0.045211
2167000000.0,0.68736,0.035282
2174000000.0,0.676217,0.019933
2181000000.0,0.664756,0.000918
2188000000.0,0.655344,-0.012656
2195000000.0,0.642409,-0.022703
2202000000.0,0.630722,-0.036005
2209000000.0,0.618688,-0.049697
2216000000.0,0.60547,-0.052683
2223000000.0,0.589569,-0.067288
2230000000.0,0.585552,-0.062112
2237000000.0,0.568089,-0.080607
2244000000.0,0.556583,-0.077465
2251000000.0,0.548068,-0.067468
2258000000.0,0.53305,-0.08538
2265000000.0,0.522595,-0.108944
2272000000.0,0.515036,-0.089933
2279000000.0,0.503274,-0.0871
2286000000.0,0.498495,-0.082944
2293000000.0,0.482955,-0.092202
2300000000.0,0.481447,-0.091613
2307000000.0,0.478467,-0.080004
2314000000.0,0.471541,-0.08581
2321000000.0,0.469324,-0.080109
2328000000.0,0.466797,-0.082422
2335000000.0,0.459955,-0.080815
2342000000.0,0.460427,-0.072673
2349000000.0,0.455901,-0.077701
2356000000.0,0.45567,-0.072898
2363000000.0,0.463145,-0.066557
2370000000.0,0.460157,-0.071366
2377000000.0,0.464742,-0.065021
2384000000.0,0.464444,-0.066177
2391000000.0,0.46844,-0.065983
2398000000.0,0.474952,-0.055879
2405000000.0,0.474682,-0.066072
2412000000.0,0.48906,-0.064259
2419000000.0,0.492153,-0.069435
2426000000.0,0.499197,-0.076158
2433000000.0,0.508777,-0.071164
2440000000.0,0.515424,-0.083373
2447000000.0,0.521371,-0.097819
2454000000.0,0.524503,-0.095802
2461000000.0,0.525233,-0.100268
2468000000.0,0.533097,-0.122973
2475000000.0,0.538182,-0.135387
2482000000.0,0.536804,-0.175064
2489000000.0,0.539703,-0.15277
2496000000.0,0.546886,-0.158592
2503000000.0,0.537146,-0.177975
2510000000.0,0.539205,-0.192053
2517000000.0,0.511429,-0.246211
2524000000.0,0.534555,-0.216419
2531000000.0,0.533812,-0.218806
2538000000.0,0.532728,-0.226621
2545000000.0,0.531195,-0.244941
2552000000.0,0.521735,-0.259892
2559000000.0,0.517827,-0.264392
2566000000.0,0.522266,-0.269946
2573000000.0,0.510454,-0.294197
2580000000.0,0.51529,-0.289958
2587000000.0,0.515955,-0.309907
2594000000.0,0.513602,-0.303373
2601000000.0,0.496905,-0.333605
2608000000.0,0.501997,-0.341745
2615000000.0,0.496242,-0.340467
2622000000.0,0.489414,-0.362396
2629000000.0,0.47594,-0.369607
2636000000.0,0.485158,-0.372594
2643000000.0,0.473703,-0.390338
2650000000.0,0.455841,-0.401458
2657000000.0,0.457856,-0.411582
2664000000.0,0.459644,-0.422672
2671000000.0,0.43985,-0.44664
2678000000.0,0.442799,-0.445383
2685000000.0,0.416121,-0.469618
2692000000.0,0.427226,-0.459987
2699000000.0,0.414129,-0.482009
2706000000.0,0.400312,-0.488836
2713000000.0,0.368779,-0.50761
2720000000.0,0.372535,-0.512977
2727000000.0,0.367236,-0.521185
2734000000.0,0.349611,-0.525074
2741000000.0,0.337986,-0.53311
2748000000.0,0.318724,-0.538616
2755000000.0,0.317728,-0.53635
2762000000.0,0.293621,-0.545626
2769000000.0,0.28373,-0.54923
2776000000.0,0.259454,-0.55473
2783000000.0,0.261445,-0.559447
2790000000.0,0.252471,-0.560764
2797000000.0,0.239357,-0.567454
2804000000.0,0.23335,-0.56659
2811000000.0,0.215437,-0.571514
2818000000.0,0.213144,-0.57154
2825000000.0,0.193523,-0.579385
2832000000.0,0.195344,-0.579656
2839000000.0,0.186271,-0.579993
2846000000.0,0.158642,-0.574534
2853000000.0,0.139975,-0.576931
2860000000.0,0.149304,-0.565948
2867000000.0,0.149479,-0.569913
2874000000.0,0.128701,-0.573741
2881000000.0,0.109884,-0.579281
2888000000.0,0.099315,-0.578322
2895000000.0,0.092084,-0.573645
2902000000.0,0.086214,-0.576257
2909000000.0,0.076303,-0.578325
2916000000.0,0.070908,-0.572154
2923000000.0,0.069312,-0.577297
2930000000.0,0.052607,-0.571495
2937000000.0,0.037166,-0.57229
2944000000.0,0.029943,-0.572734
2951000000.0,0.014178,-0.5708
2958000000.0,0.008423,-0.571382
2965000000.0,-0.007549,-0.574314
2972000000.0,-0.016882,-0.566003
2979000000.0,-0.018193,-0.565562
2986000000.0,-0.036536,-0.572767
2993000000.0,-0.03233,-0.568092
3000000000.0,-0.044032,-0.570218
