Freq (Hz),Real Part,Imaginary Part
1600000000.0,-0.198655,0.91325
1607000000.0,-0.162052,0.918972
1614000000.0,-0.169596,0.912403
1621000000.0,-0.143697,0.926447
1628000000.0,-0.111527,0.928363
1635000000.0,-0.105578,0.930335
1642000000.0,-0.06815,0.932165
1649000000.0,-0.054959,0.935765
1656000000.0,-0.044557,0.939534
1663000000.0,-0.008294,0.941286
1670000000.0,0.003721,0.933397
1677000000.0,0.029039,0.935428
1684000000.0,0.063811,0.930717
1691000000.0,0.032027,0.942635
1698000000.0,0.090629,0.922701
1705000000.0,0.122176,0.920743
1712000000.0,0.131264,0.924766
1719000000.0,0.16064,0.917522
1726000000.0,0.17686,0.914982
1733000000.0,0.209365,0.910935
1740000000.0,0.222031,0.904951
1747000000.0,0.233589,0.901866
1754000000.0,0.268869,0.891383
1761000000.0,0.294733,0.869472
1768000000.0,0.312158,0.875577
1775000000.0,0.331256,0.860503
1782000000.0,0.347495,0.853852
1789000000.0,0.378325,0.847903
1796000000.0,0.397125,0.827638
1803000000.0,0.40679,0.816473
1810000000.0,0.444673,0.796549
1817000000.0,0.456609,0.78834
1824000000.0,0.466935,0.757383
1831000000.0,0.475489,0.763526
1838000000.0,0.50098,0.744021
1845000000.0,0.51896,0.727771
1852000000.0,0.533689,0.705745
1859000000.0,0.529988,0.703121
1866000000.0,0.557146,0.678775
1873000000.0,0.555786,0.662658
1880000000.0,0.57239,0.647325
1887000000.0,0.590643,0.616083
1894000000.0,0.601867,0.609981
1901000000.0,0.603616,0.599537
1908000000.0,0.626114,0.577904
1915000000.0,0.622485,0.568689
1922000000.0,0.643096,0.536326
1929000000.0,0.644512,0.517577
1936000000.0,0.648709,0.518858
1943000000.0,0.661111,0.492888
1950000000.0,0.679744,0.453636
1957000000.0,0.674998,0.463653
1964000000.0,0.6836,0.444507
1971000000.0,0.690577,0.432179
1978000000.0,0.697492,0.418143
1985000000.0,0.707727,0.394955
1992000000.0,0.704768,0.38592
1999000000.0,0.726794,0.358133
2006000000.0,0.733486,0.336902
2013000000.0,0.73839,0.314461
2020000000.0,0.742546,0.297267
2027000000.0,0.74267,0.278584
2034000000.0,0.753647,0.258566
2041000000.0,0.753224,0.225899
2048000000.0,0.752669,0.217654
2055000000.0,0.752929,0.189172
2062000000.0,0.751203,0.162214
2069000000.0,0.746434,0.149218
