Freq (Hz),Real Part,Imaginary Part
1600000000.0,-0.279985,0.923946
1607000000.0,-0.258646,0.929807
1614000000.0,-0.249123,0.938361
1621000000.0,-0.227371,0.943988
1628000000.0,-0.205138,0.942624
1635000000.0,-0.180896,0.944694
1642000000.0,-0.168285,0.94203
1649000000.0,-0.155993,0.952772
1656000000.0,-0.119348,0.962083
1663000000.0,-0.103961,0.957246
1670000000.0,-0.080797,0.956843
1677000000.0,-0.056249,0.958421
1684000000.0,-0.035372,0.95431
1691000000.0,-0.010461,0.95449
1698000000.0,0.001761,0.956112
1705000000.0,0.02434,0.9576
1712000000.0,0.057332,0.95798
1719000000.0,0.068212,0.954657
1726000000.0,0.086415,0.945215
1733000000.0,0.111726,0.948231
1740000000.0,0.131819,0.940651
1747000000.0,0.139442,0.939371
1754000000.0,0.176947,0.936834
1761000000.0,0.203185,0.927282
1768000000.0,0.221946,0.921541
1775000000.0,0.240199,0.918541
1782000000.0,0.278122,0.89769
1789000000.0,0.307541,0.897874
1796000000.0,0.298668,0.895009
1803000000.0,0.331951,0.883559
1810000000.0,0.342194,0.883297
1817000000.0,0.355055,0.866933
1824000000.0,0.402948,0.832753
1831000000.0,0.419136,0.839601
1838000000.0,0.425368,0.830084
1845000000.0,0.453819,0.814716
1852000000.0,0.471576,0.797828
1859000000.0,0.490549,0.78039
1866000000.0,0.510966,0.776574
1873000000.0,0.511698,0.766592
1880000000.0,0.553668,0.725235
1887000000.0,0.560571,0.721852
1894000000.0,0.569325,0.696143
1901000000.0,0.586927,0.673443
1908000000.0,0.59744,0.662777
1915000000.0,0.615836,0.627556
1922000000.0,0.629624,0.606805
1929000000.0,0.635724,0.572451
1936000000.0,0.64492,0.562626
1943000000.0,0.662011,0.532777
1950000000.0,0.66501,0.515291
1957000000.0,0.659975,0.49585
1964000000.0,0.675967,0.459396
1971000000.0,0.676941,0.429211
1978000000.0,0.679087,0.40468
1985000000.0,0.671378,0.392231
1992000000.0,0.671539,0.359424
1999000000.0,0.664536,0.336646
2006000000.0,0.656545,0.319599
2013000000.0,0.647706,0.290216
2020000000.0,0.630249,0.283936
2027000000.0,0.623076,0.263144
2034000000.0,0.609112,0.254575
2041000000.0,0.591054,0.254052
2048000000.0,0.584951,0.235436
2055000000.0,0.568521,0.234991
2062000000.0,0.564182,0.232438
2069000000.0,0.559797,0.224913
2076000000.0,0.542428,0.232542
2083000000.0,0.544186,0.232608
2090000000.0,0.545909,0.237152
2097000000.0,0.539302,0.253722
2104000000.0,0.546806,0.244172
2111000000.0,0.557885,0.249776
2118000000.0,0.564312,0.245519
2125000000.0,0.582421,0.235315
2132000000.0,0.600669,0.211478
2139000000.0,0.591016,0.235945
2146000000.0,0.612431,0.202767
2153000000.0,0.615006,0.212444
2160000000.0,0.631814,0.197827
2167000000.0,0.628687,0.167912
2174000000.0,0.625509,0.193903
2181000000.0,0.639813,0.130962
2188000000.0,0.638298,0.134225
2195000000.0,0.650652,0.111026
2202000000.0,0.637547,0.133723
2209000000.0,0.639392,0.055372
2216000000.0,0.62729,0.052143
2223000000.0,0.623196,0.028511
2230000000.0,0.616448,0.015771
2237000000.0,0.60173,0.01003
2244000000.0,0.598391,-0.010577
2251000000.0,0.579288,-0.012465
2258000000.0,0.570338,-0.039941
2265000000.0,0.562173,-0.039358
2272000000.0,0.550664,-0.049842
2279000000.0,0.538569,-0.058738
2286000000.0,0.531365,-0.066762
2293000000.0,0.518397,-0.06111
2300000000.0,0.514615,-0.083593
2307000000.0,0.503363,-0.064985
2314000000.0,0.486774,-0.087992
2321000000.0,0.478602,-0.054551
2328000000.0,0.464291,-0.076569
2335000000.0,0.449496,-0.077543
2342000000.0,0.442076,-0.069489
2349000000.0,0.43469,-0.063509
2356000000.0,0.420023,-0.05531
2363000000.0,0.41787,-0.034942
2370000000.0,0.414349,-0.013839
2377000000.0,0.415391,-0.003753
2384000000.0,0.424679,0.024735
2391000000.0,0.436852,0.02815
2398000000.0,0.456778,0.048728
2405000000.0,0.475569,0.056071
2412000000.0,0.502983,0.063804
2419000000.0,0.535886,0.058105
2426000000.0,0.563811,0.055193
2433000000.0,0.593759,0.041959
2440000000.0,0.620336,0.014153
2447000000.0,0.641474,-0.007303
2454000000.0,0.660632,-0.021881
2461000000.0,0.671867,-0.066538
2468000000.0,0.679021,-0.082851
2475000000.0,0.684876,-0.115428
2482000000.0,0.687254,-0.155852
2489000000.0,0.678517,-0.176794
2496000000.0,0.68166,-0.201039
2503000000.0,0.677602,-0.223957
2510000000.0,0.651837,-0.258782
2517000000.0,0.661953,-0.249105
2524000000.0,0.635261,-0.290999
2531000000.0,0.627888,-0.315282
2538000000.0,0.609758,-0.34152
2545000000.0,0.598105,-0.350799
2552000000.0,0.572737,-0.382116
2559000000.0,0.561287,-0.3937
2566000000.0,0.550022,-0.395535
2573000000.0,0.549086,-0.391523
2580000000.0,0.515999,-0.4131
2587000000.0,0.488103,-0.443922
2594000000.0,0.47788,-0.438124
2601000000.0,0.451422,-0.436727
2608000000.0,0.445144,-0.436301
2615000000.0,0.417168,-0.445752
2622000000.0,0.397897,-0.447371
2629000000.0,0.384796,-0.441549
2636000000.0,0.370016,-0.441541
2643000000.0,0.365163,-0.435107
2650000000.0,0.343275,-0.436065
2657000000.0,0.324394,-0.444901
2664000000.0,0.333297,-0.423715
2671000000.0,0.326194,-0.418239
2678000000.0,0.319707,-0.418429
2685000000.0,0.314169,-0.411078
2692000000.0,0.319312,-0.412785
2699000000.0,0.326847,-0.402427
2706000000.0,0.338261,-0.40453
2713000000.0,0.337154,-0.398304
2720000000.0,0.3276,-0.416284
2727000000.0,0.336257,-0.411381
2734000000.0,0.336705,-0.415088
2741000000.0,0.340508,-0.427027
2748000000.0,0.34944,-0.429429
2755000000.0,0.358942,-0.422925
2762000000.0,0.343537,-0.447689
2769000000.0,0.342648,-0.469611
2776000000.0,0.336288,-0.476932
2783000000.0,0.326957,-0.483853
2790000000.0,0.30935,-0.515991
2797000000.0,0.325063,-0.522215
2804000000.0,0.312838,-0.532669
2811000000.0,0.312407,-0.537072
2818000000.0,0.290364,-0.551758
2825000000.0,0.275016,-0.570034
2832000000.0,0.281189,-0.570232
2839000000.0,0.269317,-0.583096
2846000000.0,0.251607,-0.583469
2853000000.0,0.228223,-0.599302
2860000000.0,0.220908,-0.609513
2867000000.0,0.189762,-0.608502
2874000000.0,0.195614,-0.607622
2881000000.0,0.170908,-0.61434
2888000000.0,0.183499,-0.609321
2895000000.0,0.074889,-0.63618
2902000000.0,0.115502,-0.617404
2909000000.0,0.10801,-0.618253
2916000000.0,0.104836,-0.614237
2923000000.0,0.097364,-0.61794
2930000000.0,0.074079,-0.618437
2937000000.0,0.049491,-0.620216
2944000000.0,0.027768,-0.611953
2951000000.0,0.034142,-0.611618
2958000000.0,0.026777,-0.61282
2965000000.0,0.010639,-0.61653
2972000000.0,0.002985,-0.612232
2979000000.0,-0.012423,-0.607595
2986000000.0,-0.034985,-0.600055
2993000000.0,-0.039793,-0.604555
3000000000.0,-0.04337,-0.597853
