Freq (Hz),Real Part,Imaginary Part
1600000000.0,-0.312873,0.91712
1607000000.0,-0.301257,0.922744
1614000000.0,-0.299007,0.92944
1621000000.0,-0.255553,0.940129
1628000000.0,-0.239809,0.947181
1635000000.0,-0.228596,0.950162
1642000000.0,-0.208282,0.954294
1649000000.0,-0.180206,0.963099
1656000000.0,-0.162207,0.971351
1663000000.0,-0.142199,0.964312
1670000000.0,-0.141152,0.963628
1677000000.0,-0.090639,0.979793
1684000000.0,-0.084521,0.973367
1691000000.0,-0.068885,0.976041
1698000000.0,-0.03983,0.967061
1705000000.0,-0.01313,0.985326
1712000000.0,0.008465,0.975897
1719000000.0,0.022218,0.976973
1726000000.0,0.028159,0.968379
1733000000.0,0.063785,0.96752
1740000000.0,0.078782,0.967069
1747000000.0,0.1074,0.961492
1754000000.0,0.127751,0.96227
1761000000.0,0.134026,0.967858
1768000000.0,0.16567,0.961665
1775000000.0,0.190463,0.945164
1782000000.0,0.193204,0.942654
1789000000.0,0.230803,0.934303
1796000000.0,0.235294,0.936181
1803000000.0,0.259121,0.929823
1810000000.0,0.286766,0.910761
1817000000.0,0.301301,0.910272
1824000000.0,0.335009,0.88964
1831000000.0,0.350034,0.898107
1838000000.0,0.472682,0.845774
1845000000.0,0.380955,0.87427
1852000000.0,0.407189,0.863113
1859000000.0,0.408591,0.859158
1866000000.0,0.421245,0.846992
1873000000.0,0.458126,0.833775
1880000000.0,0.467063,0.820525
1887000000.0,0.483859,0.814542
1894000000.0,0.497131,0.802637
1901000000.0,0.516348,0.786743
1908000000.0,0.526154,0.778361
1915000000.0,0.532188,0.765243
1922000000.0,0.540773,0.753576
1929000000.0,0.545382,0.742558
1936000000.0,0.575434,0.723946
1943000000.0,0.580541,0.72298
1950000000.0,0.589191,0.703306
1957000000.0,0.609136,0.689486
1964000000.0,0.628961,0.676508
1971000000.0,0.63333,0.680246
1978000000.0,0.647142,0.659934
1985000000.0,0.658361,0.654242
1992000000.0,0.67235,0.634889
1999000000.0,0.699846,0.614559
2006000000.0,0.69807,0.619167
2013000000.0,0.716256,0.606845
2020000000.0,0.72249,0.59036
2027000000.0,0.729131,0.591618
2034000000.0,0.756467,0.550871
2041000000.0,0.761204,0.557057
2048000000.0,0.77561,0.532929
2055000000.0,0.787246,0.519579
2062000000.0,0.805791,0.506528
