Freq (Hz),Real Part,Imaginary Part
1600000000.0,-0.272812,0.923101
1607000000.0,-0.247069,0.926421
1614000000.0,-0.251868,0.938873
1621000000.0,-0.21049,0.934916
1628000000.0,-0.194684,0.941713
1635000000.0,-0.178181,0.942919
1642000000.0,-0.164274,0.94832
1649000000.0,-0.134947,0.955473
1656000000.0,-0.108393,0.961338
1663000000.0,-0.091051,0.957183
1670000000.0,-0.085585,0.955851
1677000000.0,-0.035056,0.959703
1684000000.0,-0.034411,0.961122
1691000000.0,-0.014348,0.960153
1698000000.0,0.01972,0.951714
1705000000.0,0.04072,0.96052
1712000000.0,0.069915,0.957739
1719000000.0,0.096664,0.952094
1726000000.0,0.09163,0.943475
1733000000.0,0.138472,0.94038
1740000000.0,0.156509,0.941708
1747000000.0,0.168757,0.929572
1754000000.0,0.192973,0.925868
1761000000.0,0.205598,0.938071
1768000000.0,0.232767,0.924784
1775000000.0,0.276424,0.905375
1782000000.0,0.272081,0.91188
1789000000.0,0.311841,0.886358
1796000000.0,0.321393,0.882048
1803000000.0,0.348828,0.881325
1810000000.0,0.357976,0.859513
1817000000.0,0.393257,0.851089
1824000000.0,0.412239,0.827539
1831000000.0,0.433377,0.832183
1838000000.0,0.486474,0.801672
1845000000.0,0.473284,0.785949
1852000000.0,0.50052,0.778209
1859000000.0,0.508656,0.770065
1866000000.0,0.517092,0.754905
1873000000.0,0.556611,0.728504
1880000000.0,0.565188,0.713927
1887000000.0,0.583377,0.69049
1894000000.0,0.591825,0.674252
1901000000.0,0.6223,0.645778
1908000000.0,0.633924,0.627577
1915000000.0,0.637797,0.597446
1922000000.0,0.651543,0.566034
1929000000.0,0.660115,0.554773
1936000000.0,0.67882,0.511636
1943000000.0,0.682076,0.486791
1950000000.0,0.688771,0.457048
1957000000.0,0.698229,0.423063
1964000000.0,0.69408,0.390761
1971000000.0,0.692183,0.361136
1978000000.0,0.69047,0.324243
1985000000.0,0.676824,0.301923
1992000000.0,0.658748,0.268053
1999000000.0,0.646652,0.232463
2006000000.0,0.623047,0.224216
2013000000.0,0.598383,0.202095
2020000000.0,0.575787,0.190163
2027000000.0,0.543893,0.18772
2034000000.0,0.523847,0.176113
2041000000.0,0.497848,0.196829
2048000000.0,0.481584,0.20723
2055000000.0,0.468552,0.21696
2062000000.0,0.462315,0.233131
2069000000.0,0.461137,0.242224
2076000000.0,0.465961,0.26039
2083000000.0,0.473997,0.269535
2090000000.0,0.491482,0.278802
2097000000.0,0.507365,0.29196
2104000000.0,0.530612,0.277584
2111000000.0,0.527747,0.320749
2118000000.0,0.566322,0.271382
2125000000.0,0.587369,0.249253
2132000000.0,0.600485,0.234257
2139000000.0,0.610568,0.214573
2146000000.0,0.630552,0.187833
2153000000.0,0.629339,0.182607
2160000000.0,0.636732,0.150522
2167000000.0,0.633983,0.113053
2174000000.0,0.629903,0.102139
2181000000.0,0.628866,0.074988
2188000000.0,0.620324,0.048292
2195000000.0,0.604608,0.028334
2202000000.0,0.590609,0.011281
2209000000.0,0.575668,0.001726
2216000000.0,0.560715,-0.018077
2223000000.0,0.535686,-0.034302
2230000000.0,0.514635,-0.028478
2237000000.0,0.498163,-0.0523
2244000000.0,0.473764,-0.046762
2251000000.0,0.44941,-0.038767
2258000000.0,0.438905,-0.041904
2265000000.0,0.42061,-0.027644
2272000000.0,0.406476,-0.024177
2279000000.0,0.393592,-0.021021
2286000000.0,0.392517,0.00884
2293000000.0,0.382774,0.009206
2300000000.0,0.379995,0.020619
2307000000.0,0.37932,0.029672
2314000000.0,0.373833,0.026523
2321000000.0,0.365294,0.049156
2328000000.0,0.358753,0.059481
2335000000.0,0.353454,0.06889
2342000000.0,0.351685,0.107141
2349000000.0,0.353197,0.140377
2356000000.0,0.375032,0.160737
2363000000.0,0.383185,0.212514
2370000000.0,0.422145,0.223259
2377000000.0,0.471757,0.252528
2384000000.0,0.51278,0.264859
2391000000.0,0.573869,0.25241
2398000000.0,0.61481,0.257502
2405000000.0,0.661019,0.213952
2412000000.0,0.695423,0.181561
2419000000.0,0.719284,0.149613
2426000000.0,0.75587,0.10254
2433000000.0,0.766245,0.055049
2440000000.0,0.784805,0.029745
2447000000.0,0.792122,-0.008414
2454000000.0,0.791766,-0.055771
2461000000.0,0.786682,-0.112422
2468000000.0,0.779778,-0.123083
2475000000.0,0.778108,-0.148019
2482000000.0,0.768089,-0.184115
2489000000.0,0.746872,-0.202455
2496000000.0,0.742864,-0.225987
2503000000.0,0.710193,-0.260666
2510000000.0,0.709385,-0.280676
2517000000.0,0.709656,-0.293842
2524000000.0,0.688208,-0.323699
2531000000.0,0.669236,-0.323954
2538000000.0,0.67032,-0.332536
2545000000.0,0.645994,-0.364922
2552000000.0,0.627058,-0.397191
2559000000.0,0.622437,-0.383746
2566000000.0,0.602664,-0.40501
2573000000.0,0.587796,-0.420179
2580000000.0,0.578506,-0.44634
2587000000.0,0.567339,-0.450547
2594000000.0,0.541861,-0.45576
2601000000.0,0.526077,-0.475412
2608000000.0,0.514189,-0.484957
2615000000.0,0.485819,-0.486537
2622000000.0,0.464183,-0.490922
2629000000.0,0.452302,-0.506604
2636000000.0,0.44099,-0.499592
2643000000.0,0.422524,-0.501541
2650000000.0,0.402585,-0.481861
2657000000.0,0.375763,-0.501217
2664000000.0,0.367371,-0.499742
2671000000.0,0.380802,-0.499474
2678000000.0,0.355632,-0.502242
2685000000.0,0.342942,-0.502474
2692000000.0,0.350743,-0.511133
2699000000.0,0.349092,-0.487835
2706000000.0,0.339207,-0.495519
2713000000.0,0.347314,-0.49486
2720000000.0,0.327077,-0.507326
2727000000.0,0.33736,-0.502948
2734000000.0,0.336455,-0.50176
2741000000.0,0.326277,-0.510598
2748000000.0,0.31642,-0.5276
2755000000.0,0.324727,-0.518997
2762000000.0,0.313506,-0.53019
2769000000.0,0.307847,-0.540488
2776000000.0,0.302999,-0.540461
2783000000.0,0.272502,-0.562335
2790000000.0,0.273304,-0.566672
2797000000.0,0.245805,-0.597634
2804000000.0,0.245258,-0.588479
2811000000.0,0.232497,-0.592439
2818000000.0,0.238908,-0.596382
2825000000.0,0.199804,-0.610582
2832000000.0,0.191486,-0.612823
2839000000.0,0.184702,-0.612242
2846000000.0,0.157824,-0.61369
2853000000.0,0.16086,-0.620858
2860000000.0,0.140535,-0.613967
2867000000.0,0.137462,-0.610333
2874000000.0,0.12695,-0.613962
2881000000.0,0.114526,-0.618677
2888000000.0,0.08602,-0.618175
2895000000.0,0.076722,-0.622483
2902000000.0,0.078885,-0.611342
2909000000.0,0.051546,-0.611433
2916000000.0,0.042226,-0.607499
2923000000.0,0.058567,-0.611959
2930000000.0,0.030708,-0.602872
