Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.934423,-0.013831
2204000000.0,0.927625,-0.021612
2208000000.0,0.934476,-0.039614
2212000000.0,0.934267,-0.070017
2216000000.0,0.923512,-0.064997
2220000000.0,0.924432,-0.078541
2224000000.0,0.92874,-0.099792
2228000000.0,0.91676,-0.119976
2232000000.0,0.921091,-0.110668
2236000000.0,0.917263,-0.143248
2240000000.0,0.914157,-0.15438
2244000000.0,0.907614,-0.154737
2248000000.0,0.914535,-0.162976
2252000000.0,0.907595,-0.180093
2256000000.0,0.904503,-0.195012
2260000000.0,0.893814,-0.21482
2264000000.0,0.903123,-0.217933
2268000000.0,0.89868,-0.233877
2272000000.0,0.88641,-0.280519
2276000000.0,0.894993,-0.253106
2280000000.0,0.882461,-0.28074
2284000000.0,0.877066,-0.287167
2288000000.0,0.873282,-0.301342
2292000000.0,0.854524,-0.341002
2296000000.0,0.863248,-0.320558
2300000000.0,0.860199,-0.333729
2304000000.0,0.847652,-0.375808
2308000000.0,0.851083,-0.350188
2312000000.0,0.840309,-0.394202
2316000000.0,0.825679,-0.423415
2320000000.0,0.821823,-0.436203
2324000000.0,0.81187,-0.445594
2328000000.0,0.831306,-0.422504
2332000000.0,0.794646,-0.485318
2336000000.0,0.799963,-0.477891
2340000000.0,0.787045,-0.482607
2344000000.0,0.770936,-0.504301
2348000000.0,0.754487,-0.542213
2352000000.0,0.749263,-0.550726
2356000000.0,0.743248,-0.541082
2360000000.0,0.738522,-0.561196
2364000000.0,0.704113,-0.596688
2368000000.0,0.689754,-0.609071
2372000000.0,0.690369,-0.598553
2376000000.0,0.669331,-0.612217
2380000000.0,0.655198,-0.614383
2384000000.0,0.636909,-0.637996
2388000000.0,0.626621,-0.634723
2392000000.0,0.618009,-0.647217
2396000000.0,0.597526,-0.665242
2400000000.0,0.569865,-0.689399
2404000000.0,0.575496,-0.674279
2408000000.0,0.557487,-0.683705
2412000000.0,0.533436,-0.688762
2416000000.0,0.521633,-0.701585
2420000000.0,0.513955,-0.701201
2424000000.0,0.499855,-0.710651
2428000000.0,0.481009,-0.725886
2432000000.0,0.460514,-0.728246
2436000000.0,0.445009,-0.720582
2440000000.0,0.427568,-0.73521
2444000000.0,0.409147,-0.742473
2448000000.0,0.389007,-0.759761
2452000000.0,0.361395,-0.746864
2456000000.0,0.356402,-0.762359
2460000000.0,0.329271,-0.768062
2464000000.0,0.313975,-0.782742
2468000000.0,0.30438,-0.776759
2472000000.0,0.284447,-0.786634
2476000000.0,0.25482,-0.799022
2480000000.0,0.26211,-0.794512
2484000000.0,0.206204,-0.79437
2488000000.0,0.208499,-0.794808
2492000000.0,0.18347,-0.812215
2496000000.0,0.140195,-0.815883
2500000000.0,0.121551,-0.81174
2504000000.0,0.116558,-0.804576
2508000000.0,0.087952,-0.803509
2512000000.0,0.055781,-0.80657
2516000000.0,0.046009,-0.797001
2520000000.0,0.02336,-0.801717
2524000000.0,-0.014688,-0.776447
2528000000.0,-0.030199,-0.779971
2532000000.0,-0.068702,-0.766759
2536000000.0,-0.097582,-0.760611
2540000000.0,-0.114319,-0.742603
2544000000.0,-0.144573,-0.726738
2548000000.0,-0.188728,-0.710361
2552000000.0,-0.188797,-0.702565
2556000000.0,-0.209792,-0.680636
2560000000.0,-0.238533,-0.662213
2564000000.0,-0.272241,-0.633513
2568000000.0,-0.294381,-0.605631
2572000000.0,-0.304089,-0.584659
2576000000.0,-0.338361,-0.551564
2580000000.0,-0.343965,-0.522807
2584000000.0,-0.375957,-0.482738
2588000000.0,-0.369496,-0.4556
2592000000.0,-0.381019,-0.412135
2596000000.0,-0.387013,-0.394409
2600000000.0,-0.394162,-0.336849
2604000000.0,-0.384255,-0.305764
2608000000.0,-0.388543,-0.25737
2612000000.0,-0.365667,-0.231226
2616000000.0,-0.351827,-0.202302
2620000000.0,-0.343848,-0.167001
2624000000.0,-0.318238,-0.143147
2628000000.0,-0.296469,-0.121825
2632000000.0,-0.282297,-0.101336
2636000000.0,-0.25488,-0.091824
2640000000.0,-0.234497,-0.067389
2644000000.0,-0.212125,-0.060797
2648000000.0,-0.193147,-0.046949
2652000000.0,-0.173349,-0.039173
2656000000.0,-0.153101,-0.033467
2660000000.0,-0.137201,-0.028847
2664000000.0,-0.120344,-0.026623
2668000000.0,-0.105164,-0.022338
2672000000.0,-0.089628,-0.020481
2676000000.0,-0.075491,-0.020898
2680000000.0,-0.063831,-0.020638
2684000000.0,-0.05269,-0.019352
2688000000.0,-0.041611,-0.01918
2692000000.0,-0.030531,-0.018604
2696000000.0,-0.02176,-0.017631
2700000000.0,-0.011486,-0.01735
2704000000.0,-0.003281,-0.016366
2708000000.0,0.005966,-0.015323
2712000000.0,0.014745,-0.013247
2716000000.0,0.023943,-0.012358
2720000000.0,0.033454,-0.010738
2724000000.0,0.042906,-0.008482
2728000000.0,0.05254,-0.008295
2732000000.0,0.062279,-0.005157
2736000000.0,0.073834,-0.00417
2740000000.0,0.084242,-0.00304
2744000000.0,0.094497,-0.002321
2748000000.0,0.107141,-0.004001
2752000000.0,0.120433,-0.004592
2756000000.0,0.133084,-0.005418
2760000000.0,0.146712,-0.00606
2764000000.0,0.160461,-0.0079
2768000000.0,0.170637,-0.019805
2772000000.0,0.186682,-0.019551
2776000000.0,0.197403,-0.030719
2780000000.0,0.209862,-0.03433
2784000000.0,0.22117,-0.046628
2788000000.0,0.232024,-0.049943
2792000000.0,0.240376,-0.057173
2796000000.0,0.246553,-0.073861
2800000000.0,0.257534,-0.079275
2804000000.0,0.261023,-0.096653
2808000000.0,0.269177,-0.103337
2812000000.0,0.272571,-0.113669
2816000000.0,0.280848,-0.125044
2820000000.0,0.284983,-0.136954
2824000000.0,0.29284,-0.145049
2828000000.0,0.293872,-0.15429
2832000000.0,0.291489,-0.174099
2836000000.0,0.309192,-0.171054
2840000000.0,0.294004,-0.199284
2844000000.0,0.311104,-0.199743
2848000000.0,0.305181,-0.213876
2852000000.0,0.302688,-0.230223
2856000000.0,0.311157,-0.232328
2860000000.0,0.304949,-0.247204
2864000000.0,0.30993,-0.260651
2868000000.0,0.304418,-0.277271
2872000000.0,0.304659,-0.286063
2876000000.0,0.310201,-0.296169
2880000000.0,0.307396,-0.305594
2884000000.0,0.308519,-0.31716
2888000000.0,0.304603,-0.333022
2892000000.0,0.300079,-0.344711
2896000000.0,0.302555,-0.358161
2900000000.0,0.291945,-0.372673
2904000000.0,0.292516,-0.376825
2908000000.0,0.283886,-0.385886
2912000000.0,0.285541,-0.406008
2916000000.0,0.279138,-0.413837
2920000000.0,0.265412,-0.436556
2924000000.0,0.262106,-0.443887
2928000000.0,0.24304,-0.457716
2932000000.0,0.238114,-0.473291
2936000000.0,0.22887,-0.474964
2940000000.0,0.217116,-0.490375
2944000000.0,0.203369,-0.500096
2948000000.0,0.181627,-0.507951
2952000000.0,0.167559,-0.517192
2956000000.0,0.154978,-0.52998
2960000000.0,0.128874,-0.527735
2964000000.0,0.120284,-0.533562
2968000000.0,0.104837,-0.535991
2972000000.0,0.070699,-0.535423
2976000000.0,0.065883,-0.537711
2980000000.0,0.037971,-0.527059
2984000000.0,0.027201,-0.528427
2988000000.0,0.004902,-0.527527
2992000000.0,-0.012891,-0.520929
2996000000.0,-0.03288,-0.505519
3000000000.0,-0.04611,-0.494731
