Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.946053,0.078488
2204000000.0,0.949624,0.050902
2208000000.0,0.9557,0.053813
2212000000.0,0.96901,0.057403
2216000000.0,0.945905,0.033215
2220000000.0,0.956117,0.022625
2224000000.0,0.952227,-0.012335
2228000000.0,0.946883,0.005707
2232000000.0,0.952794,-0.012675
2236000000.0,0.937884,-0.016578
2240000000.0,0.952205,-0.061224
2244000000.0,0.947727,-0.039839
2248000000.0,0.947286,-0.069298
2252000000.0,0.946489,-0.067609
2256000000.0,0.949313,-0.094207
2260000000.0,0.921313,-0.094718
2264000000.0,0.9427,-0.111395
2268000000.0,0.951329,-0.103717
2272000000.0,0.936085,-0.162731
2276000000.0,0.947144,-0.138462
2280000000.0,0.933942,-0.172522
2284000000.0,0.934752,-0.168366
2288000000.0,0.928717,-0.195882
2292000000.0,0.926845,-0.216138
2296000000.0,0.932729,-0.201292
2300000000.0,0.930779,-0.228414
2304000000.0,0.922405,-0.267331
2308000000.0,0.919377,-0.258801
2312000000.0,0.919263,-0.273276
2316000000.0,0.904502,-0.306464
2320000000.0,0.911569,-0.303244
2324000000.0,0.903465,-0.325606
2328000000.0,0.912406,-0.308023
2332000000.0,0.890891,-0.363196
2336000000.0,0.891147,-0.355519
2340000000.0,0.891,-0.345137
2344000000.0,0.879166,-0.362338
2348000000.0,0.870802,-0.414405
2352000000.0,0.873408,-0.411249
2356000000.0,0.852687,-0.417696
2360000000.0,0.852558,-0.436217
2364000000.0,0.831876,-0.470449
2368000000.0,0.824388,-0.475824
2372000000.0,0.833754,-0.458141
2376000000.0,0.817269,-0.472788
2380000000.0,0.80928,-0.480674
2384000000.0,0.80052,-0.497653
2388000000.0,0.787949,-0.507614
2392000000.0,0.792043,-0.497696
2396000000.0,0.771197,-0.5307
2400000000.0,0.743894,-0.569323
2404000000.0,0.767863,-0.543383
2408000000.0,0.752261,-0.546979
2412000000.0,0.734998,-0.553378
2416000000.0,0.722886,-0.563974
2420000000.0,0.712178,-0.591246
2424000000.0,0.707952,-0.585697
2428000000.0,0.698109,-0.594968
2432000000.0,0.676663,-0.614052
2436000000.0,0.680163,-0.600925
2440000000.0,0.678627,-0.612489
2444000000.0,0.653419,-0.637594
2448000000.0,0.650924,-0.639876
2452000000.0,0.615439,-0.653139
2456000000.0,0.644417,-0.630823
2460000000.0,0.626232,-0.649048
2464000000.0,0.613468,-0.678001
2468000000.0,0.616252,-0.664618
2472000000.0,0.599216,-0.683569
2476000000.0,0.570821,-0.700413
2480000000.0,0.601028,-0.693446
2484000000.0,0.573947,-0.701812
2488000000.0,0.571263,-0.715454
2492000000.0,0.568195,-0.714012
2496000000.0,0.546833,-0.748274
2500000000.0,0.546683,-0.722838
2504000000.0,0.552466,-0.733736
2508000000.0,0.523227,-0.761533
2512000000.0,0.50155,-0.77494
2516000000.0,0.497276,-0.779438
2520000000.0,0.497906,-0.785259
2524000000.0,0.482361,-0.772992
2528000000.0,0.467545,-0.786848
2532000000.0,0.444929,-0.802874
2536000000.0,0.438842,-0.817945
2540000000.0,0.428847,-0.810449
2544000000.0,0.403188,-0.823732
2548000000.0,0.384968,-0.833486
2552000000.0,0.405544,-0.827984
2556000000.0,0.392116,-0.837004
2560000000.0,0.369516,-0.843429
2564000000.0,0.350161,-0.843367
2568000000.0,0.341663,-0.849668
2572000000.0,0.320934,-0.858076
2576000000.0,0.317295,-0.863289
2580000000.0,0.297151,-0.865645
2584000000.0,0.277242,-0.873333
2588000000.0,0.283715,-0.876265
2592000000.0,0.263978,-0.87353
2596000000.0,0.255868,-0.883115
2600000000.0,0.250437,-0.886053
2604000000.0,0.235421,-0.895294
2608000000.0,0.194623,-0.904067
2612000000.0,0.199051,-0.899771
2616000000.0,0.172357,-0.902539
2620000000.0,0.166706,-0.918787
2624000000.0,0.160964,-0.915311
2628000000.0,0.139143,-0.926427
2632000000.0,0.109902,-0.937946
2636000000.0,0.100489,-0.918634
2640000000.0,0.080819,-0.922536
2644000000.0,0.089551,-0.933836
2648000000.0,0.062677,-0.929449
2652000000.0,0.038403,-0.933958
2656000000.0,0.025722,-0.935957
2660000000.0,0.012863,-0.928393
2664000000.0,-0.031187,-0.930043
2668000000.0,-0.055122,-0.912445
2672000000.0,-0.049692,-0.920146
2676000000.0,-0.049733,-0.904218
2680000000.0,-0.077147,-0.918209
2684000000.0,-0.106263,-0.899945
2688000000.0,-0.139868,-0.894997
2692000000.0,-0.160108,-0.915199
2696000000.0,-0.183533,-0.892713
2700000000.0,-0.172353,-0.887208
2704000000.0,-0.209877,-0.882575
