Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.942131,0.074076
2204000000.0,0.950074,0.061075
2208000000.0,0.952988,0.052485
2212000000.0,0.924571,0.032254
2216000000.0,0.951914,0.019312
2220000000.0,0.953455,0.004903
2224000000.0,0.947604,0.002206
2228000000.0,0.956045,-0.017831
2232000000.0,0.948781,-0.037226
2236000000.0,0.941229,-0.052599
2240000000.0,0.948786,-0.05209
2244000000.0,0.952021,-0.057606
2248000000.0,0.955286,-0.07967
2252000000.0,0.948363,-0.076762
2256000000.0,0.946043,-0.090385
2260000000.0,0.928027,-0.120339
2264000000.0,0.938866,-0.132787
2268000000.0,0.947449,-0.121743
2272000000.0,0.942949,-0.129391
2276000000.0,0.942446,-0.163414
2280000000.0,0.93689,-0.166337
2284000000.0,0.92128,-0.183894
2288000000.0,0.932306,-0.183792
2292000000.0,0.93645,-0.198464
2296000000.0,0.926427,-0.218949
2300000000.0,0.932637,-0.246679
2304000000.0,0.930093,-0.23365
2308000000.0,0.925352,-0.27511
2312000000.0,0.919703,-0.276639
2316000000.0,0.919556,-0.27586
2320000000.0,0.915707,-0.29594
2324000000.0,0.919064,-0.296815
2328000000.0,0.896302,-0.339165
2332000000.0,0.891107,-0.347603
2336000000.0,0.908459,-0.326067
2340000000.0,0.882861,-0.374925
2344000000.0,0.894456,-0.365593
2348000000.0,0.875606,-0.383103
2352000000.0,0.868256,-0.413729
2356000000.0,0.863429,-0.410641
2360000000.0,0.858762,-0.429278
2364000000.0,0.839905,-0.440107
2368000000.0,0.834804,-0.456308
2372000000.0,0.83108,-0.470301
2376000000.0,0.825131,-0.471578
2380000000.0,0.803108,-0.501472
2384000000.0,0.814638,-0.485046
2388000000.0,0.785761,-0.508202
2392000000.0,0.766285,-0.550593
2396000000.0,0.773124,-0.526599
2400000000.0,0.777867,-0.523875
2404000000.0,0.752824,-0.550417
2408000000.0,0.746303,-0.554692
2412000000.0,0.72449,-0.567494
2416000000.0,0.729579,-0.571548
2420000000.0,0.708816,-0.581867
2424000000.0,0.708041,-0.587603
2428000000.0,0.700802,-0.603152
2432000000.0,0.689943,-0.599384
2436000000.0,0.672148,-0.603559
2440000000.0,0.678495,-0.609236
2444000000.0,0.652364,-0.636599
2448000000.0,0.660287,-0.632082
2452000000.0,0.633342,-0.634561
2456000000.0,0.621797,-0.666226
2460000000.0,0.622548,-0.656041
2464000000.0,0.628983,-0.660919
2468000000.0,0.612656,-0.673996
2472000000.0,0.602785,-0.681843
2476000000.0,0.610555,-0.679582
2480000000.0,0.579156,-0.695144
2484000000.0,0.575211,-0.707905
2488000000.0,0.558871,-0.724809
2492000000.0,0.573038,-0.728487
2496000000.0,0.550511,-0.728465
2500000000.0,0.526465,-0.746046
2504000000.0,0.531006,-0.751965
2508000000.0,0.518772,-0.750793
2512000000.0,0.515952,-0.773604
2516000000.0,0.500237,-0.780655
2520000000.0,0.50011,-0.774315
2524000000.0,0.470878,-0.790773
2528000000.0,0.47256,-0.795595
2532000000.0,0.441156,-0.811089
2536000000.0,0.450239,-0.788824
2540000000.0,0.44532,-0.807563
2544000000.0,0.412178,-0.821067
2548000000.0,0.388467,-0.823642
2552000000.0,0.390837,-0.836784
2556000000.0,0.380923,-0.831308
2560000000.0,0.360682,-0.840742
2564000000.0,0.378599,-0.831071
2568000000.0,0.342242,-0.844277
2572000000.0,0.324605,-0.846185
2576000000.0,0.314691,-0.860759
2580000000.0,0.285693,-0.871454
2584000000.0,0.271695,-0.879711
2588000000.0,0.278755,-0.869397
