Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.928306,-0.033302
2204000000.0,0.929465,-0.049425
2208000000.0,0.924145,-0.082697
2212000000.0,0.901638,-0.070015
2216000000.0,0.916479,-0.088903
2220000000.0,0.92094,-0.099286
2224000000.0,0.908027,-0.131257
2228000000.0,0.912532,-0.14061
2232000000.0,0.903754,-0.175328
2236000000.0,0.918576,-0.158936
2240000000.0,0.897384,-0.187195
2244000000.0,0.906088,-0.168576
2248000000.0,0.903033,-0.216371
2252000000.0,0.896598,-0.188753
2256000000.0,0.889514,-0.229006
2260000000.0,0.86837,-0.213776
2264000000.0,0.874354,-0.264522
2268000000.0,0.889581,-0.233029
2272000000.0,0.871015,-0.276714
2276000000.0,0.879295,-0.290307
2280000000.0,0.867188,-0.298652
2284000000.0,0.849203,-0.315607
2288000000.0,0.860266,-0.320273
2292000000.0,0.857508,-0.330308
2296000000.0,0.874143,-0.316152
2300000000.0,0.836298,-0.378233
2304000000.0,0.839573,-0.379918
2308000000.0,0.837405,-0.415547
2312000000.0,0.823472,-0.415912
2316000000.0,0.817823,-0.417507
2320000000.0,0.808205,-0.447063
2324000000.0,0.808869,-0.45944
2328000000.0,0.781146,-0.487842
2332000000.0,0.773575,-0.506975
2336000000.0,0.785499,-0.477411
2340000000.0,0.73969,-0.533411
2344000000.0,0.746779,-0.537685
2348000000.0,0.732533,-0.55365
2352000000.0,0.718389,-0.576481
2356000000.0,0.704498,-0.57865
2360000000.0,0.69431,-0.601771
2364000000.0,0.67569,-0.597475
2368000000.0,0.655002,-0.618274
2372000000.0,0.641404,-0.630813
2376000000.0,0.642491,-0.633959
2380000000.0,0.614234,-0.645232
2384000000.0,0.607279,-0.654566
2388000000.0,0.58361,-0.655632
2392000000.0,0.557912,-0.68258
2396000000.0,0.541832,-0.688277
2400000000.0,0.534475,-0.693984
2404000000.0,0.517436,-0.708402
2408000000.0,0.491729,-0.709172
2412000000.0,0.469485,-0.713929
2416000000.0,0.46111,-0.714999
2420000000.0,0.447849,-0.720626
2424000000.0,0.41746,-0.744109
2428000000.0,0.414461,-0.739679
2432000000.0,0.391205,-0.73962
2436000000.0,0.361444,-0.745512
2440000000.0,0.352146,-0.750127
2444000000.0,0.317272,-0.762391
2448000000.0,0.277813,-0.77818
2452000000.0,0.278279,-0.770628
2456000000.0,0.253475,-0.777699
2460000000.0,0.243784,-0.770124
