Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.936008,0.079977
2204000000.0,0.943791,0.09458
2208000000.0,0.942457,0.083243
2212000000.0,0.959108,0.043056
2216000000.0,0.945782,0.046915
2220000000.0,0.951675,0.040093
2224000000.0,0.945112,0.035464
2228000000.0,0.954487,0.021215
2232000000.0,0.948699,-0.016553
2236000000.0,0.957081,0.002443
2240000000.0,0.94533,-0.02684
2244000000.0,0.945759,-0.033325
2248000000.0,0.946529,-0.057921
2252000000.0,0.947482,-0.067542
2256000000.0,0.946678,-0.062196
2260000000.0,0.944863,-0.112812
2264000000.0,0.93806,-0.102894
2268000000.0,0.943871,-0.114082
2272000000.0,0.944944,-0.115253
2276000000.0,0.945262,-0.13239
2280000000.0,0.942336,-0.132427
2284000000.0,0.939179,-0.154541
2288000000.0,0.934764,-0.178708
2292000000.0,0.93206,-0.173962
2296000000.0,0.912883,-0.254005
2300000000.0,0.933969,-0.203508
2304000000.0,0.933383,-0.210481
2308000000.0,0.943843,-0.235076
2312000000.0,0.931658,-0.240701
2316000000.0,0.921817,-0.25625
2320000000.0,0.919356,-0.264063
2324000000.0,0.911662,-0.285032
2328000000.0,0.908806,-0.309645
2332000000.0,0.919835,-0.306616
2336000000.0,0.902087,-0.31724
2340000000.0,0.888488,-0.342705
2344000000.0,0.895463,-0.344013
2348000000.0,0.884515,-0.37286
2352000000.0,0.874447,-0.37944
2356000000.0,0.889224,-0.392083
2360000000.0,0.861881,-0.413657
2364000000.0,0.870163,-0.399797
2368000000.0,0.851679,-0.430922
2372000000.0,0.842558,-0.446038
2376000000.0,0.84004,-0.435145
2380000000.0,0.82668,-0.460063
2384000000.0,0.822668,-0.475126
2388000000.0,0.821556,-0.466083
2392000000.0,0.800718,-0.503458
2396000000.0,0.792469,-0.502301
2400000000.0,0.783614,-0.512041
2404000000.0,0.772372,-0.53994
2408000000.0,0.747341,-0.54515
2412000000.0,0.753473,-0.533505
2416000000.0,0.74846,-0.545959
2420000000.0,0.734378,-0.571739
2424000000.0,0.723364,-0.588195
2428000000.0,0.735577,-0.565751
2432000000.0,0.724271,-0.567663
2436000000.0,0.70622,-0.585721
2440000000.0,0.693477,-0.608207
2444000000.0,0.685041,-0.590073
2448000000.0,0.687055,-0.614471
2452000000.0,0.678475,-0.626977
2456000000.0,0.648872,-0.645543
2460000000.0,0.647536,-0.637919
2464000000.0,0.653907,-0.639794
2468000000.0,0.636445,-0.655149
2472000000.0,0.623547,-0.67608
2476000000.0,0.60828,-0.689184
2480000000.0,0.62244,-0.674358
2484000000.0,0.612932,-0.684119
2488000000.0,0.581046,-0.703386
2492000000.0,0.596424,-0.706222
2496000000.0,0.582688,-0.722942
2500000000.0,0.55685,-0.751711
2504000000.0,0.557183,-0.743872
2508000000.0,0.557719,-0.735491
2512000000.0,0.54516,-0.754916
2516000000.0,0.517312,-0.763231
2520000000.0,0.508595,-0.777878
2524000000.0,0.504829,-0.776922
2528000000.0,0.491819,-0.777121
2532000000.0,0.48536,-0.778462
2536000000.0,0.455653,-0.813694
2540000000.0,0.459617,-0.800404
2544000000.0,0.452961,-0.807502
2548000000.0,0.436606,-0.825324
2552000000.0,0.42114,-0.811869
2556000000.0,0.397601,-0.836377
2560000000.0,0.422083,-0.818341
2564000000.0,0.371293,-0.83245
2568000000.0,0.374287,-0.835965
2572000000.0,0.361753,-0.830568
2576000000.0,0.350441,-0.848606
2580000000.0,0.334739,-0.861876
2584000000.0,0.299583,-0.861793
2588000000.0,0.302541,-0.861876
2592000000.0,0.295102,-0.857241
2596000000.0,0.279761,-0.863206
2600000000.0,0.274581,-0.875757
2604000000.0,0.252437,-0.876754
2608000000.0,0.239772,-0.881583
2612000000.0,0.234277,-0.890685
2616000000.0,0.220008,-0.888473
2620000000.0,0.180958,-0.905459
2624000000.0,0.182157,-0.906908
2628000000.0,0.185627,-0.905873
2632000000.0,0.14603,-0.917233
2636000000.0,0.135356,-0.915772
2640000000.0,0.138725,-0.912641
2644000000.0,0.121482,-0.936661
2648000000.0,0.079422,-0.928298
2652000000.0,0.073993,-0.921791
2656000000.0,0.065316,-0.9286
2660000000.0,0.036882,-0.916797
2664000000.0,0.005405,-0.92606
2668000000.0,0.003009,-0.931942
2672000000.0,-0.013103,-0.918287
2676000000.0,-0.01301,-0.922847
2680000000.0,-0.047918,-0.901507
2684000000.0,-0.066989,-0.922234
2688000000.0,-0.09433,-0.899809
2692000000.0,-0.104934,-0.895052
2696000000.0,-0.124464,-0.895065
2700000000.0,-0.137044,-0.883783
2704000000.0,-0.151112,-0.882157
2708000000.0,-0.183877,-0.872437
2712000000.0,-0.203783,-0.873108
2716000000.0,-0.201337,-0.886386
2720000000.0,-0.238206,-0.858972
2724000000.0,-0.243203,-0.854987
2728000000.0,-0.245798,-0.853817
2732000000.0,-0.274131,-0.843486
2736000000.0,-0.30456,-0.818152
2740000000.0,-0.306809,-0.821978
2744000000.0,-0.321208,-0.816538
2748000000.0,-0.326521,-0.796074
2752000000.0,-0.329204,-0.7994
2756000000.0,-0.344962,-0.785272
2760000000.0,-0.370876,-0.777075
2764000000.0,-0.372326,-0.751814
2768000000.0,-0.371154,-0.762092
2772000000.0,-0.381261,-0.735645
2776000000.0,-0.419511,-0.71957
2780000000.0,-0.427646,-0.719631
2784000000.0,-0.447728,-0.704609
2788000000.0,-0.45103,-0.698146
2792000000.0,-0.475679,-0.67759
2796000000.0,-0.473067,-0.682573
2800000000.0,-0.497192,-0.657659
2804000000.0,-0.491568,-0.650329
2808000000.0,-0.527136,-0.638039
2812000000.0,-0.541075,-0.634766
2816000000.0,-0.54611,-0.615225
2820000000.0,-0.537451,-0.613514
2824000000.0,-0.571852,-0.590532
2828000000.0,-0.577479,-0.579695
2832000000.0,-0.586439,-0.572991
2836000000.0,-0.60079,-0.56895
2840000000.0,-0.61937,-0.525227
2844000000.0,-0.626755,-0.511471
2848000000.0,-0.640987,-0.501722
2852000000.0,-0.640431,-0.494903
2856000000.0,-0.666136,-0.460376
2860000000.0,-0.686709,-0.45097
2864000000.0,-0.678811,-0.429743
