Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.917003,-0.034034
2204000000.0,0.926865,-0.033913
2208000000.0,0.921967,-0.038757
2212000000.0,0.921419,-0.058739
2216000000.0,0.922084,-0.058611
2220000000.0,0.917733,-0.086244
2224000000.0,0.914088,-0.083697
2228000000.0,0.92421,-0.085811
2232000000.0,0.908736,-0.135638
2236000000.0,0.911647,-0.12055
2240000000.0,0.912104,-0.143488
2244000000.0,0.901158,-0.170307
2248000000.0,0.902046,-0.176729
2252000000.0,0.895104,-0.190819
2256000000.0,0.892069,-0.19531
2260000000.0,0.884293,-0.215231
2264000000.0,0.885971,-0.22894
2268000000.0,0.875762,-0.253269
2272000000.0,0.880696,-0.255349
2276000000.0,0.875668,-0.266948
2280000000.0,0.873009,-0.27635
2284000000.0,0.869661,-0.286581
2288000000.0,0.867965,-0.288471
2292000000.0,0.85486,-0.314784
2296000000.0,0.850723,-0.354938
2300000000.0,0.855354,-0.347937
2304000000.0,0.846662,-0.361366
2308000000.0,0.842201,-0.390312
2312000000.0,0.831692,-0.391611
2316000000.0,0.824073,-0.413325
2320000000.0,0.814338,-0.424988
2324000000.0,0.829561,-0.408051
2328000000.0,0.788648,-0.475917
2332000000.0,0.798074,-0.471459
2336000000.0,0.78348,-0.482101
2340000000.0,0.766139,-0.496587
2344000000.0,0.768625,-0.507024
2348000000.0,0.756111,-0.53047
2352000000.0,0.740289,-0.536726
2356000000.0,0.721277,-0.555878
2360000000.0,0.700744,-0.581224
2364000000.0,0.701359,-0.574023
2368000000.0,0.671363,-0.600183
2372000000.0,0.666048,-0.605875
2376000000.0,0.655696,-0.61199
2380000000.0,0.623304,-0.63654
2384000000.0,0.626156,-0.629081
2388000000.0,0.614649,-0.628216
2392000000.0,0.580641,-0.663423
2396000000.0,0.575726,-0.662919
2400000000.0,0.551844,-0.685026
2404000000.0,0.536636,-0.694863
2408000000.0,0.523977,-0.689474
2412000000.0,0.489552,-0.701885
2416000000.0,0.48632,-0.7046
2420000000.0,0.473698,-0.710046
2424000000.0,0.434865,-0.741052
2428000000.0,0.425164,-0.726642
2432000000.0,0.404967,-0.741371
2436000000.0,0.399344,-0.729802
2440000000.0,0.366455,-0.751428
2444000000.0,0.341814,-0.754342
2448000000.0,0.34632,-0.762255
2452000000.0,0.32265,-0.756464
2456000000.0,0.266669,-0.7786
2460000000.0,0.260661,-0.769489
2464000000.0,0.250591,-0.772572
2468000000.0,0.227519,-0.776494
2472000000.0,0.194446,-0.785899
2476000000.0,0.175452,-0.803624
2480000000.0,0.14686,-0.78581
2484000000.0,0.139929,-0.787686
2488000000.0,0.089015,-0.773617
2492000000.0,0.073604,-0.77636
2496000000.0,0.056417,-0.776136
2500000000.0,0.003705,-0.774964
2504000000.0,-0.025101,-0.756881
2508000000.0,-0.060572,-0.741821
2512000000.0,-0.070501,-0.733799
2516000000.0,-0.103876,-0.720636
2520000000.0,-0.143623,-0.696667
2524000000.0,-0.166,-0.679403
2528000000.0,-0.187877,-0.658294
2532000000.0,-0.227005,-0.627087
2536000000.0,-0.24724,-0.60054
2540000000.0,-0.266437,-0.572585
2544000000.0,-0.273733,-0.546873
2548000000.0,-0.301501,-0.513878
2552000000.0,-0.318626,-0.456378
2556000000.0,-0.328112,-0.422504
2560000000.0,-0.321418,-0.389258
2564000000.0,-0.335319,-0.341718
2568000000.0,-0.322632,-0.309941
2572000000.0,-0.316923,-0.261164
2576000000.0,-0.307365,-0.232753
2580000000.0,-0.293402,-0.196326
2584000000.0,-0.274429,-0.166811
2588000000.0,-0.253994,-0.143713
2592000000.0,-0.228961,-0.125634
2596000000.0,-0.211568,-0.098861
2600000000.0,-0.185816,-0.09187
2604000000.0,-0.165135,-0.076253
2608000000.0,-0.144499,-0.070044
2612000000.0,-0.1257,-0.061288
2616000000.0,-0.10887,-0.054495
2620000000.0,-0.092975,-0.050365
2624000000.0,-0.077411,-0.047903
2628000000.0,-0.062332,-0.046909
2632000000.0,-0.050678,-0.043735
2636000000.0,-0.03897,-0.041008
2640000000.0,-0.028582,-0.040071
2644000000.0,-0.018116,-0.038669
2648000000.0,-0.009733,-0.037058
2652000000.0,-0.00173,-0.035009
2656000000.0,0.007165,-0.032795
2660000000.0,0.014325,-0.030378
2664000000.0,0.022047,-0.027378
2668000000.0,0.029685,-0.024218
2672000000.0,0.036963,-0.02071
2676000000.0,0.045456,-0.015702
2680000000.0,0.052847,-0.011286
2684000000.0,0.061901,-0.006907
2688000000.0,0.070725,-0.001637
2692000000.0,0.081825,0.001545
2696000000.0,0.092451,0.006336
2700000000.0,0.104124,0.011673
2704000000.0,0.117599,0.01729
2708000000.0,0.128774,0.020082
2712000000.0,0.144927,0.019582
2716000000.0,0.161409,0.024537
2720000000.0,0.177792,0.02348
2724000000.0,0.1966,0.023402
2728000000.0,0.210248,0.02229
2732000000.0,0.229573,0.017302
2736000000.0,0.244551,0.006062
2740000000.0,0.259859,0.001209
2744000000.0,0.280283,-0.001473
2748000000.0,0.290848,-0.016763
2752000000.0,0.304554,-0.023004
2756000000.0,0.320865,-0.036179
2760000000.0,0.328946,-0.067012
2764000000.0,0.33944,-0.06654
2768000000.0,0.349043,-0.081499
2772000000.0,0.363419,-0.08699
2776000000.0,0.366428,-0.111284
2780000000.0,0.371187,-0.126581
2784000000.0,0.371109,-0.145535
2788000000.0,0.371738,-0.162818
2792000000.0,0.385112,-0.16207
2796000000.0,0.387067,-0.1863
2800000000.0,0.375806,-0.209175
2804000000.0,0.379925,-0.208375
2808000000.0,0.375589,-0.230728
2812000000.0,0.378669,-0.242269
2816000000.0,0.377031,-0.260521
2820000000.0,0.376658,-0.266288
2824000000.0,0.371643,-0.279069
2828000000.0,0.367341,-0.29835
2832000000.0,0.362129,-0.308799
2836000000.0,0.370059,-0.332301
2840000000.0,0.34505,-0.341116
2844000000.0,0.355027,-0.3456
2848000000.0,0.347272,-0.348093
2852000000.0,0.331435,-0.363394
2856000000.0,0.327341,-0.377507
2860000000.0,0.322391,-0.39469
2864000000.0,0.310305,-0.398933
2868000000.0,0.301088,-0.407532
2872000000.0,0.289691,-0.417163
2876000000.0,0.276165,-0.425024
2880000000.0,0.287012,-0.416473
2884000000.0,0.255804,-0.424522
2888000000.0,0.245036,-0.433679
2892000000.0,0.236592,-0.436115
2896000000.0,0.238882,-0.435321
2900000000.0,0.216221,-0.442834
2904000000.0,0.21386,-0.437776
2908000000.0,0.225588,-0.438612
2912000000.0,0.201947,-0.444741
2916000000.0,0.212735,-0.446187
2920000000.0,0.204444,-0.447656
2924000000.0,0.217115,-0.448342
2928000000.0,0.190381,-0.466832
2932000000.0,0.196134,-0.467604
2936000000.0,0.189357,-0.474306
2940000000.0,0.193659,-0.483978
2944000000.0,0.16401,-0.499782
2948000000.0,0.167393,-0.501661
2952000000.0,0.146824,-0.508362
2956000000.0,0.137217,-0.516602
2960000000.0,0.11572,-0.516615
2964000000.0,0.100781,-0.51922
2968000000.0,0.06908,-0.518486
2972000000.0,0.052283,-0.515692
2976000000.0,0.040466,-0.508715
2980000000.0,0.030667,-0.493772
2984000000.0,0.022466,-0.48826
2988000000.0,0.021084,-0.474489
2992000000.0,0.008955,-0.461381
2996000000.0,0.002156,-0.443745
3000000000.0,-0.006462,-0.430051
