Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.927181,-0.017161
2204000000.0,0.923661,-0.054125
2208000000.0,0.92529,-0.051361
2212000000.0,0.938284,-0.087743
2216000000.0,0.922692,-0.091676
2220000000.0,0.917462,-0.080572
2224000000.0,0.919405,-0.108621
2228000000.0,0.91577,-0.140543
2232000000.0,0.912042,-0.126993
2236000000.0,0.896344,-0.140963
2240000000.0,0.916133,-0.157891
2244000000.0,0.900186,-0.17992
2248000000.0,0.897069,-0.198417
2252000000.0,0.896457,-0.19439
2256000000.0,0.894109,-0.216035
2260000000.0,0.886439,-0.269583
2264000000.0,0.882297,-0.227637
2268000000.0,0.882954,-0.25278
2272000000.0,0.884412,-0.262857
2276000000.0,0.87268,-0.294085
2280000000.0,0.865471,-0.295457
2284000000.0,0.867062,-0.30037
2288000000.0,0.860135,-0.317572
2292000000.0,0.856354,-0.336115
2296000000.0,0.867789,-0.3344
2300000000.0,0.843143,-0.37277
2304000000.0,0.834065,-0.392702
2308000000.0,0.815522,-0.393579
2312000000.0,0.829583,-0.401455
2316000000.0,0.829456,-0.403769
2320000000.0,0.810596,-0.447217
2324000000.0,0.802267,-0.462939
2328000000.0,0.798421,-0.455742
2332000000.0,0.8028,-0.463214
2336000000.0,0.779515,-0.494919
2340000000.0,0.771838,-0.50216
2344000000.0,0.758471,-0.517181
2348000000.0,0.756846,-0.517109
2352000000.0,0.727949,-0.560478
2356000000.0,0.731095,-0.555478
2360000000.0,0.707266,-0.576889
2364000000.0,0.690763,-0.584997
2368000000.0,0.680671,-0.602209
2372000000.0,0.658836,-0.620197
2376000000.0,0.647467,-0.631672
2380000000.0,0.6462,-0.624347
2384000000.0,0.613575,-0.655549
2388000000.0,0.59748,-0.665459
2392000000.0,0.598588,-0.665131
2396000000.0,0.573966,-0.676524
2400000000.0,0.550301,-0.697733
2404000000.0,0.528149,-0.694668
2408000000.0,0.524463,-0.700799
2412000000.0,0.51093,-0.701318
2416000000.0,0.483853,-0.723967
2420000000.0,0.476514,-0.7199
2424000000.0,0.467987,-0.729894
2428000000.0,0.452663,-0.723005
2432000000.0,0.421573,-0.743877
2436000000.0,0.386582,-0.754089
2440000000.0,0.378479,-0.749199
2444000000.0,0.377058,-0.747921
2448000000.0,0.344741,-0.772422
2452000000.0,0.331999,-0.759719
2456000000.0,0.311637,-0.77997
2460000000.0,0.28878,-0.777108
2464000000.0,0.255245,-0.79584
2468000000.0,0.24391,-0.790534
2472000000.0,0.223826,-0.796165
2476000000.0,0.20855,-0.77906
2480000000.0,0.172022,-0.805797
2484000000.0,0.154405,-0.796322
2488000000.0,0.143012,-0.798862
2492000000.0,0.093722,-0.799092
2496000000.0,0.076804,-0.799242
2500000000.0,0.040958,-0.80327
2504000000.0,0.0141,-0.793024
2508000000.0,-0.019564,-0.787237
2512000000.0,-0.036103,-0.76857
2516000000.0,-0.057236,-0.773683
2520000000.0,-0.085784,-0.76135
2524000000.0,-0.119696,-0.728975
2528000000.0,-0.143627,-0.721244
2532000000.0,-0.165045,-0.705128
2536000000.0,-0.206419,-0.681344
2540000000.0,-0.235141,-0.653329
2544000000.0,-0.24434,-0.636162
2548000000.0,-0.277936,-0.589977
2552000000.0,-0.294192,-0.564124
2556000000.0,-0.319096,-0.534247
2560000000.0,-0.340766,-0.494468
2564000000.0,-0.335987,-0.466168
2568000000.0,-0.363288,-0.413827
2572000000.0,-0.364374,-0.364606
2576000000.0,-0.35976,-0.342
2580000000.0,-0.357132,-0.308531
2584000000.0,-0.343453,-0.279839
2588000000.0,-0.330757,-0.239982
2592000000.0,-0.322244,-0.200959
2596000000.0,-0.294223,-0.179661
2600000000.0,-0.283731,-0.149462
2604000000.0,-0.260371,-0.128501
2608000000.0,-0.240702,-0.107371
2612000000.0,-0.218247,-0.096529
2616000000.0,-0.199534,-0.083281
2620000000.0,-0.178332,-0.073982
2624000000.0,-0.157364,-0.063988
2628000000.0,-0.139745,-0.057055
2632000000.0,-0.121043,-0.050013
2636000000.0,-0.104307,-0.048316
2640000000.0,-0.091119,-0.043709
2644000000.0,-0.075307,-0.041364
2648000000.0,-0.062349,-0.041153
2652000000.0,-0.051031,-0.039119
2656000000.0,-0.040872,-0.037542
2660000000.0,-0.029743,-0.037177
2664000000.0,-0.0203,-0.035943
2668000000.0,-0.011779,-0.035692
2672000000.0,-0.003047,-0.034102
2676000000.0,0.00531,-0.032298
2680000000.0,0.013808,-0.029716
2684000000.0,0.021169,-0.027908
2688000000.0,0.029415,-0.02576
2692000000.0,0.036834,-0.022131
2696000000.0,0.046251,-0.019166
2700000000.0,0.054567,-0.017322
2704000000.0,0.063063,-0.014332
2708000000.0,0.0735,-0.009188
2712000000.0,0.08497,-0.006058
2716000000.0,0.09619,-0.003066
2720000000.0,0.108217,-0.002227
2724000000.0,0.120747,0.000926
2728000000.0,0.13399,0.001096
2732000000.0,0.148395,-0.001248
2736000000.0,0.161238,0.000649
2740000000.0,0.175251,-0.00213
2744000000.0,0.192247,-0.010124
2748000000.0,0.204156,-0.012127
2752000000.0,0.218778,-0.020185
2756000000.0,0.232056,-0.028622
2760000000.0,0.244276,-0.037542
2764000000.0,0.251269,-0.041591
2768000000.0,0.267343,-0.053073
2772000000.0,0.279974,-0.063556
2776000000.0,0.291894,-0.077381
2780000000.0,0.294476,-0.091337
2784000000.0,0.299877,-0.104231
2788000000.0,0.302943,-0.116377
2792000000.0,0.314082,-0.121474
2796000000.0,0.318514,-0.134853
2800000000.0,0.321467,-0.148386
2804000000.0,0.324998,-0.157874
2808000000.0,0.324226,-0.172153
2812000000.0,0.337949,-0.186868
2816000000.0,0.331976,-0.196619
2820000000.0,0.336097,-0.208181
2824000000.0,0.32595,-0.227994
2828000000.0,0.331142,-0.235995
2832000000.0,0.332251,-0.243026
2836000000.0,0.340002,-0.254202
2840000000.0,0.333654,-0.260566
2844000000.0,0.332707,-0.271133
2848000000.0,0.324834,-0.287845
2852000000.0,0.33097,-0.306633
2856000000.0,0.324011,-0.315202
2860000000.0,0.314368,-0.327799
2864000000.0,0.325718,-0.329959
2868000000.0,0.318838,-0.346824
2872000000.0,0.319152,-0.360766
2876000000.0,0.314561,-0.361466
2880000000.0,0.296607,-0.387458
2884000000.0,0.301344,-0.39768
2888000000.0,0.286255,-0.409213
2892000000.0,0.275793,-0.418469
2896000000.0,0.276598,-0.4222
2900000000.0,0.269472,-0.436017
2904000000.0,0.259182,-0.442406
2908000000.0,0.258557,-0.451207
2912000000.0,0.235303,-0.456334
2916000000.0,0.22398,-0.465742
2920000000.0,0.202283,-0.469858
2924000000.0,0.206224,-0.471694
2928000000.0,0.195029,-0.470792
2932000000.0,0.188967,-0.478857
2936000000.0,0.169403,-0.477777
2940000000.0,0.177368,-0.475751
2944000000.0,0.177259,-0.476657
2948000000.0,0.153864,-0.481304
2952000000.0,0.147508,-0.488421
2956000000.0,0.152077,-0.488942
2960000000.0,0.149063,-0.496182
2964000000.0,0.151222,-0.505333
2968000000.0,0.158229,-0.508175
2972000000.0,0.112984,-0.522741
2976000000.0,0.107711,-0.531136
2980000000.0,0.097124,-0.541508
2984000000.0,0.092647,-0.5479
2988000000.0,0.048213,-0.5532
2992000000.0,0.049755,-0.559566
2996000000.0,0.027769,-0.559276
3000000000.0,0.021494,-0.561518
