Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.949243,0.092123
2204000000.0,0.951003,0.046068
2208000000.0,0.948842,0.066245
2212000000.0,0.942935,0.02417
2216000000.0,0.95235,0.00368
2220000000.0,0.949336,0.01494
2224000000.0,0.948077,0.007717
2228000000.0,0.952483,-0.030283
2232000000.0,0.945466,-0.03457
2236000000.0,0.949646,-0.04787
2240000000.0,0.954868,-0.033603
2244000000.0,0.944334,-0.050445
2248000000.0,0.939746,-0.091198
2252000000.0,0.942353,-0.084858
2256000000.0,0.939728,-0.099745
2260000000.0,0.93946,-0.101551
2264000000.0,0.944388,-0.116771
2268000000.0,0.944568,-0.135073
2272000000.0,0.943819,-0.124721
2276000000.0,0.944417,-0.153496
2280000000.0,0.934832,-0.185579
2284000000.0,0.924702,-0.159968
2288000000.0,0.931215,-0.191421
2292000000.0,0.935084,-0.209571
2296000000.0,0.922871,-0.229695
2300000000.0,0.925091,-0.259528
2304000000.0,0.924261,-0.240777
2308000000.0,0.906994,-0.244487
2312000000.0,0.915947,-0.27898
2316000000.0,0.911266,-0.281449
2320000000.0,0.913707,-0.311665
2324000000.0,0.903177,-0.316565
2328000000.0,0.900169,-0.32615
2332000000.0,0.889488,-0.359323
2336000000.0,0.899038,-0.342296
2340000000.0,0.888168,-0.367406
2344000000.0,0.876424,-0.401176
2348000000.0,0.875285,-0.376063
2352000000.0,0.862339,-0.412139
2356000000.0,0.870674,-0.404655
2360000000.0,0.842753,-0.441206
2364000000.0,0.838345,-0.452986
2368000000.0,0.840956,-0.448296
2372000000.0,0.829184,-0.472985
2376000000.0,0.814697,-0.48957
2380000000.0,0.816757,-0.479951
2384000000.0,0.79982,-0.507319
2388000000.0,0.793566,-0.518389
2392000000.0,0.785446,-0.516998
2396000000.0,0.770195,-0.539254
2400000000.0,0.762171,-0.549002
2404000000.0,0.751972,-0.560737
2408000000.0,0.734004,-0.569
2412000000.0,0.725392,-0.569218
2416000000.0,0.73233,-0.57119
2420000000.0,0.735987,-0.557901
2424000000.0,0.706124,-0.591347
2428000000.0,0.711046,-0.597473
2432000000.0,0.703338,-0.600381
