Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.951904,0.08746
2204000000.0,0.947231,0.056914
2208000000.0,0.94718,0.034258
2212000000.0,0.948622,0.030244
2216000000.0,0.949532,0.022156
2220000000.0,0.948309,0.001086
2224000000.0,0.944814,-0.003374
2228000000.0,0.950895,-0.020688
2232000000.0,0.948431,-0.030736
2236000000.0,0.947121,-0.050264
2240000000.0,0.940554,-0.076193
2244000000.0,0.942471,-0.064851
2248000000.0,0.938487,-0.068623
2252000000.0,0.943315,-0.095284
2256000000.0,0.943176,-0.112572
2260000000.0,0.960885,-0.10723
2264000000.0,0.941196,-0.124842
2268000000.0,0.935979,-0.129557
2272000000.0,0.924431,-0.158304
2276000000.0,0.934014,-0.168096
2280000000.0,0.936056,-0.159249
2284000000.0,0.935742,-0.195123
2288000000.0,0.933663,-0.181151
2292000000.0,0.920249,-0.238632
2296000000.0,0.918955,-0.240589
2300000000.0,0.925242,-0.226884
2304000000.0,0.912707,-0.254762
2308000000.0,0.910192,-0.278508
2312000000.0,0.912997,-0.272584
2316000000.0,0.905653,-0.289606
2320000000.0,0.904443,-0.307337
2324000000.0,0.905477,-0.322578
2328000000.0,0.898147,-0.337606
2332000000.0,0.897736,-0.34679
2336000000.0,0.887689,-0.37071
2340000000.0,0.885731,-0.366623
2344000000.0,0.872084,-0.375201
2348000000.0,0.857626,-0.426605
2352000000.0,0.859704,-0.413238
2356000000.0,0.850661,-0.451628
2360000000.0,0.856632,-0.429412
2364000000.0,0.854758,-0.423971
2368000000.0,0.826555,-0.474597
2372000000.0,0.830901,-0.471384
2376000000.0,0.824306,-0.473078
2380000000.0,0.799409,-0.501599
2384000000.0,0.789687,-0.511816
2388000000.0,0.785912,-0.519561
2392000000.0,0.78518,-0.515885
2396000000.0,0.756086,-0.542848
2400000000.0,0.754642,-0.561291
2404000000.0,0.745226,-0.560814
2408000000.0,0.754546,-0.543205
2412000000.0,0.721378,-0.574132
2416000000.0,0.729407,-0.575497
2420000000.0,0.696487,-0.591149
2424000000.0,0.711933,-0.588273
2428000000.0,0.686793,-0.598371
2432000000.0,0.691794,-0.599748
2436000000.0,0.664751,-0.611353
2440000000.0,0.662722,-0.622542
2444000000.0,0.649529,-0.635096
2448000000.0,0.650308,-0.636959
2452000000.0,0.622754,-0.63837
2456000000.0,0.642621,-0.647531
2460000000.0,0.642676,-0.637168
2464000000.0,0.603559,-0.671969
2468000000.0,0.60666,-0.674854
2472000000.0,0.605058,-0.690692
2476000000.0,0.568897,-0.707164
2480000000.0,0.571463,-0.705683
2484000000.0,0.576593,-0.704858
2488000000.0,0.566435,-0.722848
2492000000.0,0.562775,-0.726522
2496000000.0,0.555249,-0.741955
2500000000.0,0.539651,-0.732409
2504000000.0,0.531735,-0.753371
2508000000.0,0.52135,-0.756006
2512000000.0,0.496989,-0.770789
2516000000.0,0.493491,-0.780314
2520000000.0,0.484097,-0.789249
2524000000.0,0.475344,-0.796493
2528000000.0,0.459733,-0.812147
2532000000.0,0.448627,-0.800048
2536000000.0,0.428931,-0.818394
2540000000.0,0.422388,-0.819955
2544000000.0,0.424859,-0.81976
2548000000.0,0.353647,-0.831328
2552000000.0,0.384941,-0.830251
2556000000.0,0.37194,-0.836657
2560000000.0,0.370181,-0.843344
2564000000.0,0.349287,-0.837966
2568000000.0,0.340686,-0.843175
2572000000.0,0.327014,-0.871563
2576000000.0,0.313273,-0.864989
2580000000.0,0.277885,-0.869674
2584000000.0,0.28787,-0.863026
2588000000.0,0.27505,-0.863966
2592000000.0,0.246247,-0.872929
2596000000.0,0.24036,-0.876849
2600000000.0,0.228066,-0.885733
2604000000.0,0.199776,-0.888622
2608000000.0,0.20798,-0.892353
2612000000.0,0.172944,-0.901468
2616000000.0,0.17568,-0.899557
2620000000.0,0.156875,-0.908714
2624000000.0,0.143388,-0.915819
2628000000.0,0.137761,-0.924844
2632000000.0,0.123682,-0.91881
2636000000.0,0.083332,-0.926429
2640000000.0,0.079211,-0.927305
2644000000.0,0.053721,-0.919426
2648000000.0,0.040384,-0.928514
2652000000.0,0.04302,-0.927729
2656000000.0,0.008342,-0.924853
2660000000.0,-0.014552,-0.928104
2664000000.0,-0.032322,-0.927094
2668000000.0,-0.043719,-0.929982
2672000000.0,-0.070068,-0.922557
2676000000.0,-0.066371,-0.914653
2680000000.0,-0.091821,-0.916583
2684000000.0,-0.117423,-0.88972
2688000000.0,-0.139133,-0.893706
2692000000.0,-0.136631,-0.906924
2696000000.0,-0.169622,-0.871099
2700000000.0,-0.184094,-0.874819
2704000000.0,-0.186502,-0.880272
2708000000.0,-0.216779,-0.858926
2712000000.0,-0.271815,-0.850038
2716000000.0,-0.234365,-0.839158
2720000000.0,-0.285865,-0.84465
2724000000.0,-0.276092,-0.819544
2728000000.0,-0.315117,-0.831482
2732000000.0,-0.31677,-0.819299
2736000000.0,-0.331132,-0.809166
2740000000.0,-0.365509,-0.798708
2744000000.0,-0.364672,-0.800661
2748000000.0,-0.373459,-0.783269
2752000000.0,-0.40183,-0.763626
2756000000.0,-0.40868,-0.753889
2760000000.0,-0.407624,-0.75534
2764000000.0,-0.424898,-0.725018
2768000000.0,-0.437053,-0.729014
2772000000.0,-0.438213,-0.704989
2776000000.0,-0.44785,-0.710333
2780000000.0,-0.467847,-0.67711
2784000000.0,-0.47898,-0.661554
2788000000.0,-0.469459,-0.666734
2792000000.0,-0.484383,-0.655494
2796000000.0,-0.512481,-0.641066
2800000000.0,-0.533783,-0.613663
2804000000.0,-0.538286,-0.609905
2808000000.0,-0.558155,-0.601521
2812000000.0,-0.553067,-0.593721
2816000000.0,-0.569435,-0.585182
2820000000.0,-0.593214,-0.576829
2824000000.0,-0.600679,-0.550612
2828000000.0,-0.608496,-0.544755
2832000000.0,-0.626811,-0.531442
2836000000.0,-0.633606,-0.504727
2840000000.0,-0.642092,-0.487166
2844000000.0,-0.64672,-0.481494
2848000000.0,-0.666774,-0.470948
2852000000.0,-0.679744,-0.427892
2856000000.0,-0.685593,-0.416384
2860000000.0,-0.683681,-0.39565
2864000000.0,-0.69275,-0.40105
2868000000.0,-0.706264,-0.361208
2872000000.0,-0.709242,-0.333578
2876000000.0,-0.721652,-0.321466
2880000000.0,-0.72827,-0.298043
2884000000.0,-0.729569,-0.259957
2888000000.0,-0.731557,-0.249339
2892000000.0,-0.743046,-0.222932
2896000000.0,-0.744331,-0.214507
2900000000.0,-0.738358,-0.174871
2904000000.0,-0.741383,-0.152486
2908000000.0,-0.75848,-0.142891
2912000000.0,-0.733792,-0.10683
2916000000.0,-0.738517,-0.078701
2920000000.0,-0.735855,-0.044144
2924000000.0,-0.733248,-0.025612
2928000000.0,-0.716403,-0.008976
2932000000.0,-0.705963,0.015963
2936000000.0,-0.699543,0.048557
2940000000.0,-0.685345,0.077767
2944000000.0,-0.682571,0.09255
2948000000.0,-0.652774,0.117947
2952000000.0,-0.645422,0.13855
2956000000.0,-0.628878,0.165307
2960000000.0,-0.60765,0.181188
2964000000.0,-0.589113,0.212116
2968000000.0,-0.562959,0.230257
2972000000.0,-0.550763,0.240015
2976000000.0,-0.528498,0.252665
2980000000.0,-0.511638,0.268807
2984000000.0,-0.478598,0.290627
2988000000.0,-0.466823,0.288402
2992000000.0,-0.436811,0.30286
2996000000.0,-0.40777,0.321371
3000000000.0,-0.387415,0.325792
