Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.928227,-0.043448
2204000000.0,0.926346,-0.05326
2208000000.0,0.917181,-0.065773
2212000000.0,0.92845,-0.101596
2216000000.0,0.916962,-0.091622
2220000000.0,0.911981,-0.12067
2224000000.0,0.917303,-0.105438
2228000000.0,0.909301,-0.126511
2232000000.0,0.903547,-0.159257
2236000000.0,0.911254,-0.171855
2240000000.0,0.896092,-0.186772
2244000000.0,0.894409,-0.176813
2248000000.0,0.886448,-0.204047
2252000000.0,0.880826,-0.223247
2256000000.0,0.892823,-0.220232
2260000000.0,0.881613,-0.219775
2264000000.0,0.872812,-0.259134
2268000000.0,0.872191,-0.255069
2272000000.0,0.866493,-0.278811
2276000000.0,0.862172,-0.297125
2280000000.0,0.867696,-0.299533
2284000000.0,0.856202,-0.327363
2288000000.0,0.861136,-0.319334
2292000000.0,0.849525,-0.342969
2296000000.0,0.843562,-0.374325
2300000000.0,0.837727,-0.370955
2304000000.0,0.830118,-0.379386
2308000000.0,0.824809,-0.419474
2312000000.0,0.824864,-0.406819
2316000000.0,0.806006,-0.425853
2320000000.0,0.820752,-0.419486
2324000000.0,0.80236,-0.459711
2328000000.0,0.778907,-0.488486
2332000000.0,0.780333,-0.485697
2336000000.0,0.770082,-0.504756
2340000000.0,0.751178,-0.516631
2344000000.0,0.736927,-0.539207
2348000000.0,0.728408,-0.565059
2352000000.0,0.719998,-0.56533
2356000000.0,0.702494,-0.59017
2360000000.0,0.687523,-0.596309
2364000000.0,0.691674,-0.586403
2368000000.0,0.667774,-0.614703
2372000000.0,0.652146,-0.619384
2376000000.0,0.641809,-0.634807
2380000000.0,0.603141,-0.655465
2384000000.0,0.604306,-0.657613
2388000000.0,0.578124,-0.666955
2392000000.0,0.567034,-0.67543
2396000000.0,0.540411,-0.695906
2400000000.0,0.52748,-0.701361
2404000000.0,0.524471,-0.693729
2408000000.0,0.499998,-0.712853
2412000000.0,0.476814,-0.710674
2416000000.0,0.478252,-0.714954
2420000000.0,0.445737,-0.728936
2424000000.0,0.431761,-0.741184
2428000000.0,0.398051,-0.756034
2432000000.0,0.400305,-0.741931
2436000000.0,0.367304,-0.74289
2440000000.0,0.346095,-0.754903
2444000000.0,0.319594,-0.770844
2448000000.0,0.335531,-0.76217
2452000000.0,0.28745,-0.763858
2456000000.0,0.270561,-0.773808
2460000000.0,0.256673,-0.777417
2464000000.0,0.23101,-0.786968
2468000000.0,0.201554,-0.785816
2472000000.0,0.178002,-0.801767
2476000000.0,0.152136,-0.796719
2480000000.0,0.138247,-0.792295
2484000000.0,0.108893,-0.795258
2488000000.0,0.069214,-0.794297
2492000000.0,0.051472,-0.792503
2496000000.0,0.043581,-0.792555
2500000000.0,0.004686,-0.766587
2504000000.0,-0.014281,-0.763638
2508000000.0,-0.048548,-0.756537
2512000000.0,-0.095198,-0.754838
2516000000.0,-0.121949,-0.735085
2520000000.0,-0.146936,-0.715789
2524000000.0,-0.178407,-0.702404
2528000000.0,-0.191558,-0.679571
2532000000.0,-0.2209,-0.650276
2536000000.0,-0.249545,-0.623186
2540000000.0,-0.285429,-0.593418
2544000000.0,-0.289759,-0.573628
2548000000.0,-0.320242,-0.530436
2552000000.0,-0.321399,-0.501985
2556000000.0,-0.345919,-0.457955
2560000000.0,-0.359172,-0.419334
2564000000.0,-0.367882,-0.373332
2568000000.0,-0.362667,-0.342481
2572000000.0,-0.363515,-0.308318
2576000000.0,-0.359492,-0.254881
2580000000.0,-0.342592,-0.223905
2584000000.0,-0.324183,-0.192306
2588000000.0,-0.30663,-0.161119
2592000000.0,-0.284481,-0.132634
2596000000.0,-0.263033,-0.105864
2600000000.0,-0.240753,-0.088726
2604000000.0,-0.215479,-0.074436
2608000000.0,-0.195495,-0.061423
2612000000.0,-0.174232,-0.046904
2616000000.0,-0.153462,-0.042115
2620000000.0,-0.133899,-0.036345
2624000000.0,-0.114404,-0.033713
2628000000.0,-0.098361,-0.028675
2632000000.0,-0.082902,-0.027009
2636000000.0,-0.068847,-0.025293
2640000000.0,-0.055582,-0.02444
2644000000.0,-0.044049,-0.020834
2648000000.0,-0.032346,-0.020953
2652000000.0,-0.021843,-0.019424
2656000000.0,-0.013009,-0.017189
2660000000.0,-0.002759,-0.016515
2664000000.0,0.006004,-0.014291
2668000000.0,0.014973,-0.011878
2672000000.0,0.02362,-0.009324
2676000000.0,0.032731,-0.006669
2680000000.0,0.04166,-0.003576
2684000000.0,0.051622,-0.000475
2688000000.0,0.061467,0.00429
2692000000.0,0.071939,0.006293
2696000000.0,0.082781,0.009659
2700000000.0,0.095028,0.014927
2704000000.0,0.108387,0.017199
2708000000.0,0.121491,0.018066
2712000000.0,0.137655,0.017584
2716000000.0,0.150115,0.019255
2720000000.0,0.169336,0.018439
2724000000.0,0.181325,0.015896
2728000000.0,0.201701,0.017939
2732000000.0,0.217866,0.004899
2736000000.0,0.230876,0.005084
2740000000.0,0.247449,-0.006726
2744000000.0,0.263343,-0.015579
2748000000.0,0.276172,-0.027426
2752000000.0,0.28933,-0.037464
2756000000.0,0.298147,-0.054865
2760000000.0,0.309771,-0.059508
2764000000.0,0.319619,-0.074925
2768000000.0,0.333357,-0.092916
2772000000.0,0.332965,-0.107252
2776000000.0,0.340865,-0.117434
2780000000.0,0.345218,-0.136838
2784000000.0,0.345506,-0.147713
2788000000.0,0.354443,-0.149657
2792000000.0,0.352131,-0.168152
2796000000.0,0.355652,-0.191858
2800000000.0,0.349324,-0.196389
2804000000.0,0.355723,-0.209557
2808000000.0,0.350417,-0.221733
2812000000.0,0.357611,-0.232331
2816000000.0,0.357366,-0.23999
2820000000.0,0.354367,-0.260151
2824000000.0,0.344877,-0.277549
2828000000.0,0.344758,-0.292606
2832000000.0,0.344839,-0.300104
2836000000.0,0.345237,-0.303984
2840000000.0,0.333932,-0.322142
2844000000.0,0.346868,-0.329324
2848000000.0,0.326307,-0.352456
2852000000.0,0.326575,-0.353972
2856000000.0,0.319446,-0.367177
2860000000.0,0.317421,-0.37658
2864000000.0,0.330908,-0.380601
2868000000.0,0.318329,-0.393402
2872000000.0,0.307243,-0.407253
2876000000.0,0.299041,-0.423699
2880000000.0,0.293047,-0.431547
2884000000.0,0.281848,-0.439706
2888000000.0,0.272566,-0.456919
2892000000.0,0.267633,-0.469657
2896000000.0,0.258955,-0.481418
2900000000.0,0.246636,-0.485785
2904000000.0,0.243473,-0.491789
2908000000.0,0.233753,-0.50869
2912000000.0,0.237466,-0.504328
2916000000.0,0.206045,-0.526165
2920000000.0,0.185329,-0.527778
2924000000.0,0.18009,-0.536018
2928000000.0,0.169468,-0.531278
2932000000.0,0.156717,-0.531573
2936000000.0,0.150746,-0.538936
2940000000.0,0.12794,-0.54341
2944000000.0,0.11547,-0.547241
2948000000.0,0.112681,-0.537872
2952000000.0,0.096796,-0.542077
2956000000.0,0.070292,-0.543455
2960000000.0,0.054948,-0.546983
2964000000.0,0.038087,-0.545185
2968000000.0,0.01913,-0.539044
2972000000.0,0.010806,-0.535239
2976000000.0,-0.007683,-0.527297
2980000000.0,-0.021576,-0.51373
2984000000.0,-0.039194,-0.503545
2988000000.0,-0.047583,-0.493326
2992000000.0,-0.04948,-0.47799
2996000000.0,-0.068626,-0.461881
3000000000.0,-0.064363,-0.448313
