Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.932902,0.098425
2204000000.0,0.947869,0.073097
2208000000.0,0.945912,0.077692
2212000000.0,0.960053,0.051424
2216000000.0,0.949066,0.049665
2220000000.0,0.946794,0.047044
2224000000.0,0.943774,0.018552
2228000000.0,0.953705,0.020021
2232000000.0,0.949291,0.000574
2236000000.0,0.949498,-0.023459
2240000000.0,0.94967,-0.007226
2244000000.0,0.946645,-0.038359
2248000000.0,0.944851,-0.062294
2252000000.0,0.942162,-0.060295
2256000000.0,0.940346,-0.080834
2260000000.0,0.964248,-0.072301
2264000000.0,0.939479,-0.095056
2268000000.0,0.947016,-0.102619
2272000000.0,0.940175,-0.115997
2276000000.0,0.948079,-0.114743
2280000000.0,0.94035,-0.155561
2284000000.0,0.940652,-0.182749
2288000000.0,0.920086,-0.224582
2292000000.0,0.936086,-0.166829
2296000000.0,0.931777,-0.198814
2300000000.0,0.935871,-0.211561
2304000000.0,0.933792,-0.210547
2308000000.0,0.927624,-0.227407
2312000000.0,0.921927,-0.23956
2316000000.0,0.927316,-0.252438
2320000000.0,0.915942,-0.269954
2324000000.0,0.924797,-0.260708
2328000000.0,0.904254,-0.31106
2332000000.0,0.895705,-0.313227
2336000000.0,0.904939,-0.325726
2340000000.0,0.893639,-0.342017
2344000000.0,0.89887,-0.351472
2348000000.0,0.884918,-0.364831
2352000000.0,0.868561,-0.390712
2356000000.0,0.871483,-0.401403
2360000000.0,0.872157,-0.399321
2364000000.0,0.852023,-0.425056
2368000000.0,0.853108,-0.424589
2372000000.0,0.844251,-0.440268
2376000000.0,0.835182,-0.461958
2380000000.0,0.824843,-0.45637
2384000000.0,0.815891,-0.485739
2388000000.0,0.819185,-0.469613
2392000000.0,0.80013,-0.495178
2396000000.0,0.785492,-0.5105
2400000000.0,0.792889,-0.514963
2404000000.0,0.770053,-0.523742
2408000000.0,0.755611,-0.548456
2412000000.0,0.749364,-0.546062
2416000000.0,0.74292,-0.554792
2420000000.0,0.756411,-0.547683
2424000000.0,0.724463,-0.570595
2428000000.0,0.696953,-0.580919
2432000000.0,0.719248,-0.57049
2436000000.0,0.69647,-0.589338
2440000000.0,0.686495,-0.592447
2444000000.0,0.679038,-0.604554
2448000000.0,0.68173,-0.614338
2452000000.0,0.665926,-0.623126
2456000000.0,0.653558,-0.626848
2460000000.0,0.653792,-0.631539
2464000000.0,0.644012,-0.633749
2468000000.0,0.639054,-0.657467
2472000000.0,0.632867,-0.661904
2476000000.0,0.624009,-0.693756
2480000000.0,0.602857,-0.692773
2484000000.0,0.608887,-0.684047
2488000000.0,0.583689,-0.705269
2492000000.0,0.574107,-0.709202
2496000000.0,0.593714,-0.706143
2500000000.0,0.554608,-0.71313
2504000000.0,0.550766,-0.724404
2508000000.0,0.539297,-0.742276
2512000000.0,0.547142,-0.750422
2516000000.0,0.514206,-0.757081
2520000000.0,0.51491,-0.766427
2524000000.0,0.481923,-0.789758
2528000000.0,0.495577,-0.785559
2532000000.0,0.473322,-0.791384
2536000000.0,0.474191,-0.786884
2540000000.0,0.448074,-0.804048
2544000000.0,0.455153,-0.802811
2548000000.0,0.427532,-0.815225
2552000000.0,0.410175,-0.820851
2556000000.0,0.418491,-0.821159
2560000000.0,0.391863,-0.835351
2564000000.0,0.381828,-0.828961
2568000000.0,0.374789,-0.83712
2572000000.0,0.358801,-0.854224
2576000000.0,0.351273,-0.847697
2580000000.0,0.328003,-0.852402
2584000000.0,0.328511,-0.861064
2588000000.0,0.309554,-0.855864
2592000000.0,0.266334,-0.871273
2596000000.0,0.262125,-0.867324
2600000000.0,0.262274,-0.872872
2604000000.0,0.263023,-0.880673
2608000000.0,0.24703,-0.890336
2612000000.0,0.221643,-0.888753
2616000000.0,0.210389,-0.891286
2620000000.0,0.189032,-0.895502
2624000000.0,0.186903,-0.906834
2628000000.0,0.176048,-0.920102
2632000000.0,0.163001,-0.906444
2636000000.0,0.139848,-0.924007
2640000000.0,0.118072,-0.927564
2644000000.0,0.144156,-0.913429
2648000000.0,0.089606,-0.917364
2652000000.0,0.081483,-0.922994
2656000000.0,0.072838,-0.91693
2660000000.0,0.032019,-0.917765
2664000000.0,0.019048,-0.917148
2668000000.0,0.014706,-0.909612
2672000000.0,-0.009695,-0.922704
2676000000.0,-0.009031,-0.911729
2680000000.0,-0.048521,-0.90941
2684000000.0,-0.075611,-0.910116
2688000000.0,-0.098449,-0.897833
2692000000.0,-0.124383,-0.872589
2696000000.0,-0.123428,-0.89151
2700000000.0,-0.12691,-0.890636
2704000000.0,-0.161144,-0.887134
2708000000.0,-0.184556,-0.88531
2712000000.0,-0.212194,-0.869726
2716000000.0,-0.228721,-0.861876
2720000000.0,-0.242265,-0.848354
2724000000.0,-0.237843,-0.847784
2728000000.0,-0.268481,-0.829161
2732000000.0,-0.266708,-0.841489
2736000000.0,-0.29646,-0.818118
2740000000.0,-0.289174,-0.832475
2744000000.0,-0.322182,-0.810204
2748000000.0,-0.320953,-0.778963
2752000000.0,-0.343205,-0.789975
2756000000.0,-0.351993,-0.790844
2760000000.0,-0.367087,-0.774423
2764000000.0,-0.371728,-0.767938
2768000000.0,-0.384071,-0.751987
2772000000.0,-0.380657,-0.746652
2776000000.0,-0.409218,-0.739251
2780000000.0,-0.429548,-0.710608
2784000000.0,-0.439756,-0.690542
2788000000.0,-0.449069,-0.687832
2792000000.0,-0.482363,-0.680064
2796000000.0,-0.470439,-0.681008
2800000000.0,-0.494967,-0.672121
2804000000.0,-0.514534,-0.639007
2808000000.0,-0.522321,-0.638841
2812000000.0,-0.520579,-0.627014
2816000000.0,-0.534455,-0.622741
2820000000.0,-0.553364,-0.590541
2824000000.0,-0.578915,-0.582859
2828000000.0,-0.589066,-0.572265
2832000000.0,-0.591009,-0.572726
