Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.918029,-0.002608
2204000000.0,0.930901,-0.022437
2208000000.0,0.925238,-0.029197
2212000000.0,0.90834,-0.075289
2216000000.0,0.922207,-0.063092
2220000000.0,0.923328,-0.054456
2224000000.0,0.916196,-0.08722
2228000000.0,0.918013,-0.116002
2232000000.0,0.910075,-0.120098
2236000000.0,0.927353,-0.125162
2240000000.0,0.906404,-0.136255
2244000000.0,0.905892,-0.161344
2248000000.0,0.897715,-0.16835
2252000000.0,0.892572,-0.180368
2256000000.0,0.888657,-0.203581
2260000000.0,0.903914,-0.219492
2264000000.0,0.882875,-0.214665
2268000000.0,0.896347,-0.202143
2272000000.0,0.879276,-0.253353
2276000000.0,0.879399,-0.263656
2280000000.0,0.875404,-0.276576
2284000000.0,0.879877,-0.300391
2288000000.0,0.873642,-0.286775
2292000000.0,0.860292,-0.308249
2296000000.0,0.853596,-0.333247
2300000000.0,0.854186,-0.33718
2304000000.0,0.850485,-0.346352
2308000000.0,0.837948,-0.377882
2312000000.0,0.83689,-0.385117
2316000000.0,0.829367,-0.393801
2320000000.0,0.821121,-0.412457
2324000000.0,0.812311,-0.438369
2328000000.0,0.801977,-0.456488
2332000000.0,0.793544,-0.462511
2336000000.0,0.791095,-0.477796
2340000000.0,0.771715,-0.501843
2344000000.0,0.7715,-0.510051
2348000000.0,0.759245,-0.512925
2352000000.0,0.726035,-0.556313
2356000000.0,0.739869,-0.551443
2360000000.0,0.714323,-0.56099
2364000000.0,0.702643,-0.574509
2368000000.0,0.691366,-0.587293
2372000000.0,0.67018,-0.608986
2376000000.0,0.658492,-0.631024
2380000000.0,0.651174,-0.612374
2384000000.0,0.618364,-0.641864
2388000000.0,0.613564,-0.640945
2392000000.0,0.594634,-0.647689
2396000000.0,0.57351,-0.66781
2400000000.0,0.561701,-0.678353
2404000000.0,0.545861,-0.688084
2408000000.0,0.522786,-0.700951
2412000000.0,0.51326,-0.69221
2416000000.0,0.48892,-0.710622
2420000000.0,0.482618,-0.717081
2424000000.0,0.456742,-0.726117
2428000000.0,0.434056,-0.731615
2432000000.0,0.429915,-0.725246
2436000000.0,0.385791,-0.736431
2440000000.0,0.396629,-0.740026
2444000000.0,0.37873,-0.744208
2448000000.0,0.352888,-0.764976
2452000000.0,0.315601,-0.758164
2456000000.0,0.305218,-0.758949
2460000000.0,0.29107,-0.769698
2464000000.0,0.270288,-0.774746
2468000000.0,0.245768,-0.779851
2472000000.0,0.238733,-0.782988
2476000000.0,0.191059,-0.788737
2480000000.0,0.163588,-0.781365
2484000000.0,0.143362,-0.791337
2488000000.0,0.122865,-0.79131
2492000000.0,0.08285,-0.77622
2496000000.0,0.076156,-0.778454
2500000000.0,0.021229,-0.756903
2504000000.0,0.007938,-0.759815
2508000000.0,-0.020864,-0.752521
2512000000.0,-0.051397,-0.75112
2516000000.0,-0.086087,-0.731197
2520000000.0,-0.106393,-0.719956
2524000000.0,-0.138137,-0.698328
2528000000.0,-0.161687,-0.682903
2532000000.0,-0.201234,-0.657652
2536000000.0,-0.206944,-0.643843
2540000000.0,-0.245453,-0.604442
2544000000.0,-0.264404,-0.578441
2548000000.0,-0.276477,-0.545056
2552000000.0,-0.303326,-0.507581
2556000000.0,-0.310676,-0.47598
2560000000.0,-0.337436,-0.436068
2564000000.0,-0.330903,-0.390558
2568000000.0,-0.342434,-0.356532
2572000000.0,-0.334904,-0.322059
2576000000.0,-0.328013,-0.279153
2580000000.0,-0.319736,-0.238261
2584000000.0,-0.309915,-0.20908
2588000000.0,-0.286915,-0.179259
2592000000.0,-0.269888,-0.146365
2596000000.0,-0.249161,-0.124534
2600000000.0,-0.22349,-0.10663
2604000000.0,-0.201277,-0.095097
2608000000.0,-0.182466,-0.080886
2612000000.0,-0.160739,-0.067195
2616000000.0,-0.142693,-0.059594
2620000000.0,-0.123393,-0.051085
2624000000.0,-0.106301,-0.048923
2628000000.0,-0.089241,-0.048185
2632000000.0,-0.075528,-0.040224
2636000000.0,-0.062426,-0.03956
2640000000.0,-0.050248,-0.036969
2644000000.0,-0.037062,-0.036503
2648000000.0,-0.027982,-0.033112
2652000000.0,-0.017866,-0.032308
2656000000.0,-0.008655,-0.030074
2660000000.0,-0.000356,-0.028378
2664000000.0,0.007596,-0.025412
2668000000.0,0.016169,-0.023097
2672000000.0,0.024688,-0.019791
2676000000.0,0.032239,-0.016053
2680000000.0,0.040008,-0.012881
2684000000.0,0.048929,-0.008752
2688000000.0,0.057975,-0.004421
2692000000.0,0.067179,-0.000955
2696000000.0,0.077811,0.004847
2700000000.0,0.089426,0.009574
2704000000.0,0.100881,0.011894
2708000000.0,0.113972,0.012797
2712000000.0,0.128273,0.019629
2716000000.0,0.141477,0.020439
2720000000.0,0.155896,0.021662
2724000000.0,0.173974,0.021768
2728000000.0,0.186683,0.020845
2732000000.0,0.203766,0.016502
2736000000.0,0.221351,0.017779
2740000000.0,0.24215,0.008913
2744000000.0,0.252177,0.003752
2748000000.0,0.267324,-0.009521
2752000000.0,0.282112,-0.022258
2756000000.0,0.295347,-0.024475
2760000000.0,0.306205,-0.048162
2764000000.0,0.322718,-0.051644
2768000000.0,0.330837,-0.058014
2772000000.0,0.341982,-0.078664
2776000000.0,0.346945,-0.087828
2780000000.0,0.350905,-0.106479
2784000000.0,0.351405,-0.119651
2788000000.0,0.357807,-0.135453
