Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.537071,0.583353
2204000000.0,0.564126,0.554094
2208000000.0,0.591887,0.529945
2212000000.0,0.618926,0.49707
2216000000.0,0.646196,0.47743
2220000000.0,0.671845,0.45366
2224000000.0,0.684882,0.423596
2228000000.0,0.715787,0.391414
2232000000.0,0.733636,0.353251
2236000000.0,0.7642,0.323408
2240000000.0,0.774713,0.276645
2244000000.0,0.794228,0.256362
2248000000.0,0.807218,0.205979
2252000000.0,0.822233,0.163211
2256000000.0,0.830164,0.137986
2260000000.0,0.832969,0.108846
2264000000.0,0.850527,0.059124
2268000000.0,0.862863,0.013662
2272000000.0,0.866659,-0.033412
2276000000.0,0.867018,-0.066005
2280000000.0,0.87057,-0.116326
2284000000.0,0.877271,-0.16286
2288000000.0,0.875567,-0.194924
2292000000.0,0.87378,-0.242096
2296000000.0,0.863097,-0.281757
2300000000.0,0.848586,-0.342522
2304000000.0,0.830874,-0.352666
2308000000.0,0.847766,-0.363433
2312000000.0,0.836641,-0.399862
2316000000.0,0.836858,-0.40823
2320000000.0,0.829833,-0.412945
2324000000.0,0.818212,-0.416745
2328000000.0,0.81238,-0.44091
2332000000.0,0.791507,-0.454323
2336000000.0,0.790065,-0.474975
2340000000.0,0.784739,-0.482913
2344000000.0,0.768844,-0.510449
2348000000.0,0.751013,-0.525258
2352000000.0,0.749355,-0.531385
2356000000.0,0.747583,-0.536621
2360000000.0,0.726968,-0.55396
2364000000.0,0.709321,-0.568636
2368000000.0,0.707178,-0.575077
2372000000.0,0.693597,-0.587481
2376000000.0,0.681569,-0.60207
2380000000.0,0.661743,-0.60866
2384000000.0,0.662459,-0.611068
2388000000.0,0.636482,-0.621828
2392000000.0,0.626189,-0.638047
2396000000.0,0.598404,-0.655835
2400000000.0,0.592947,-0.65764
2404000000.0,0.583925,-0.664632
2408000000.0,0.559626,-0.681533
2412000000.0,0.545055,-0.67753
2416000000.0,0.541966,-0.679813
2420000000.0,0.52421,-0.690148
2424000000.0,0.4974,-0.716017
2428000000.0,0.490832,-0.708194
2432000000.0,0.464882,-0.717478
2436000000.0,0.466695,-0.719008
2440000000.0,0.444121,-0.734828
2444000000.0,0.436329,-0.731789
2448000000.0,0.423805,-0.741214
2452000000.0,0.408953,-0.746265
2456000000.0,0.387188,-0.754774
2460000000.0,0.368295,-0.764945
2464000000.0,0.349995,-0.761449
2468000000.0,0.32951,-0.783472
2472000000.0,0.321629,-0.794368
2476000000.0,0.305922,-0.794554
2480000000.0,0.281099,-0.793145
2484000000.0,0.266202,-0.796896
2488000000.0,0.21891,-0.80884
2492000000.0,0.215262,-0.808885
2496000000.0,0.207579,-0.817394
2500000000.0,0.163432,-0.828217
2504000000.0,0.154284,-0.824374
2508000000.0,0.133962,-0.818959
2512000000.0,0.109878,-0.828653
2516000000.0,0.081161,-0.820446
2520000000.0,0.05814,-0.82474
2524000000.0,0.016765,-0.820603
2528000000.0,0.012155,-0.8147
2532000000.0,-0.004787,-0.807729
2536000000.0,-0.045533,-0.802061
2540000000.0,-0.074033,-0.790225
2544000000.0,-0.09184,-0.781849
2548000000.0,-0.134001,-0.762429
