Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.531422,0.584182
2204000000.0,0.570936,0.552963
2208000000.0,0.589792,0.529185
2212000000.0,0.614137,0.513402
2216000000.0,0.64816,0.470392
2220000000.0,0.672745,0.453027
2224000000.0,0.687413,0.427524
2228000000.0,0.719443,0.380923
2232000000.0,0.735998,0.346716
2236000000.0,0.752629,0.311438
2240000000.0,0.771997,0.295184
2244000000.0,0.793951,0.244361
2248000000.0,0.802203,0.207457
2252000000.0,0.8241,0.171956
2256000000.0,0.825522,0.130359
2260000000.0,0.839219,0.078872
2264000000.0,0.84904,0.047006
2268000000.0,0.863317,0.016444
2272000000.0,0.858665,-0.025877
2276000000.0,0.870077,-0.078579
2280000000.0,0.864673,-0.121321
2284000000.0,0.874201,-0.149733
2288000000.0,0.872067,-0.203125
2292000000.0,0.870847,-0.249981
2296000000.0,0.858781,-0.282871
2300000000.0,0.851743,-0.334684
2304000000.0,0.834375,-0.347015
2308000000.0,0.845623,-0.389975
2312000000.0,0.837296,-0.393202
2316000000.0,0.83548,-0.403789
2320000000.0,0.819878,-0.419281
2324000000.0,0.812303,-0.433555
2328000000.0,0.809621,-0.442628
2332000000.0,0.795163,-0.450524
2336000000.0,0.795509,-0.471013
2340000000.0,0.782679,-0.490983
2344000000.0,0.761427,-0.516015
2348000000.0,0.760444,-0.515416
2352000000.0,0.752394,-0.523471
2356000000.0,0.736623,-0.54135
2360000000.0,0.730198,-0.554862
2364000000.0,0.715254,-0.561142
2368000000.0,0.702507,-0.57357
2372000000.0,0.684116,-0.601565
2376000000.0,0.675829,-0.602698
2380000000.0,0.662197,-0.620992
2384000000.0,0.657393,-0.613419
2388000000.0,0.624761,-0.633027
2392000000.0,0.623036,-0.644191
2396000000.0,0.606328,-0.646061
2400000000.0,0.594226,-0.656527
2404000000.0,0.574429,-0.668843
2408000000.0,0.559592,-0.686781
2412000000.0,0.539195,-0.67905
2416000000.0,0.542186,-0.690063
2420000000.0,0.51498,-0.703191
2424000000.0,0.488192,-0.720228
2428000000.0,0.481426,-0.722363
2432000000.0,0.471939,-0.719349
2436000000.0,0.463105,-0.719289
2440000000.0,0.422469,-0.739175
2444000000.0,0.42946,-0.73247
2448000000.0,0.415158,-0.748213
2452000000.0,0.381703,-0.751093
2456000000.0,0.365208,-0.760651
2460000000.0,0.359694,-0.767329
2464000000.0,0.355121,-0.765175
2468000000.0,0.309214,-0.784437
2472000000.0,0.293098,-0.804559
2476000000.0,0.286769,-0.792947
2480000000.0,0.274522,-0.794738
2484000000.0,0.250041,-0.802967
2488000000.0,0.222241,-0.804449
2492000000.0,0.201239,-0.814957
2496000000.0,0.197325,-0.816674
2500000000.0,0.149167,-0.815657
2504000000.0,0.142246,-0.815286
2508000000.0,0.130775,-0.814225
2512000000.0,0.093396,-0.821272
2516000000.0,0.065912,-0.814619
2520000000.0,0.041512,-0.812323
2524000000.0,0.006223,-0.814455
2528000000.0,-0.00282,-0.803905
2532000000.0,-0.013303,-0.799949
2536000000.0,-0.052616,-0.785055
2540000000.0,-0.088509,-0.780294
2544000000.0,-0.099026,-0.758055
2548000000.0,-0.141685,-0.748747
2552000000.0,-0.171117,-0.726785
2556000000.0,-0.18712,-0.710028
2560000000.0,-0.214753,-0.68884
2564000000.0,-0.248108,-0.673515
2568000000.0,-0.2623,-0.655077
2572000000.0,-0.287639,-0.631321
2576000000.0,-0.313965,-0.601991
2580000000.0,-0.334968,-0.570449
2584000000.0,-0.345346,-0.544502
2588000000.0,-0.367125,-0.502413
2592000000.0,-0.398007,-0.462455
2596000000.0,-0.392655,-0.425224
2600000000.0,-0.410372,-0.384272
2604000000.0,-0.406104,-0.351664
2608000000.0,-0.407566,-0.311853
2612000000.0,-0.406431,-0.276188
2616000000.0,-0.389438,-0.239744
2620000000.0,-0.371461,-0.203373
2624000000.0,-0.359632,-0.170717
2628000000.0,-0.333141,-0.146604
2632000000.0,-0.315726,-0.119944
2636000000.0,-0.294912,-0.096661
2640000000.0,-0.272372,-0.087805
2644000000.0,-0.249201,-0.065737
2648000000.0,-0.226436,-0.05036
2652000000.0,-0.204049,-0.044716
2656000000.0,-0.18645,-0.034292
2660000000.0,-0.166091,-0.030337
2664000000.0,-0.14659,-0.02533
2668000000.0,-0.129132,-0.023184
2672000000.0,-0.112042,-0.021587
2676000000.0,-0.096824,-0.021184
2680000000.0,-0.082896,-0.020582
2684000000.0,-0.070789,-0.022012
2688000000.0,-0.058248,-0.023548
2692000000.0,-0.047874,-0.022814
2696000000.0,-0.037222,-0.024473
2700000000.0,-0.02734,-0.025213
2704000000.0,-0.019098,-0.025573
2708000000.0,-0.010609,-0.025741
2712000000.0,-0.002681,-0.025981
2716000000.0,0.00504,-0.025722
2720000000.0,0.01323,-0.024912
2724000000.0,0.021597,-0.024095
2728000000.0,0.028983,-0.022702
2732000000.0,0.03763,-0.021372
2736000000.0,0.046352,-0.020233
2740000000.0,0.055796,-0.019019
2744000000.0,0.064494,-0.017999
2748000000.0,0.07551,-0.018626
2752000000.0,0.085648,-0.0169
2756000000.0,0.0973,-0.016107
2760000000.0,0.108077,-0.017699
2764000000.0,0.119026,-0.018931
2768000000.0,0.132715,-0.021409
2772000000.0,0.14587,-0.026022
2776000000.0,0.156666,-0.028647
2780000000.0,0.167048,-0.036262
2784000000.0,0.176633,-0.038124
