Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.518512,0.599287
2204000000.0,0.566223,0.559366
2208000000.0,0.585425,0.543411
2212000000.0,0.606558,0.520316
2216000000.0,0.629812,0.497213
2220000000.0,0.665142,0.460712
2224000000.0,0.678237,0.440705
2228000000.0,0.709829,0.402872
2232000000.0,0.731409,0.366899
2236000000.0,0.753902,0.336915
2240000000.0,0.768108,0.304409
2244000000.0,0.794304,0.265597
2248000000.0,0.801605,0.222834
2252000000.0,0.822829,0.188886
2256000000.0,0.830693,0.146953
2260000000.0,0.830984,0.111335
2264000000.0,0.85584,0.069896
2268000000.0,0.86538,0.023801
2272000000.0,0.868812,-0.002877
2276000000.0,0.86972,-0.058683
2280000000.0,0.877608,-0.066562
2284000000.0,0.885627,-0.144691
2288000000.0,0.885273,-0.166243
2292000000.0,0.879618,-0.245429
2296000000.0,0.872564,-0.265017
2300000000.0,0.856634,-0.335087
2304000000.0,0.851178,-0.318074
2308000000.0,0.863768,-0.378399
2312000000.0,0.862417,-0.361065
2316000000.0,0.841829,-0.402932
2320000000.0,0.843121,-0.384873
2324000000.0,0.823663,-0.415095
2328000000.0,0.826099,-0.418297
2332000000.0,0.802762,-0.449967
2336000000.0,0.807372,-0.455909
2340000000.0,0.802225,-0.476499
2344000000.0,0.781676,-0.49332
2348000000.0,0.773162,-0.514023
2352000000.0,0.768512,-0.520622
2356000000.0,0.762517,-0.52548
2360000000.0,0.743629,-0.542314
2364000000.0,0.728088,-0.562372
2368000000.0,0.725081,-0.574509
2372000000.0,0.711688,-0.582498
2376000000.0,0.698862,-0.588816
2380000000.0,0.685796,-0.608948
2384000000.0,0.678528,-0.612861
2388000000.0,0.651012,-0.621217
2392000000.0,0.649631,-0.632786
2396000000.0,0.627546,-0.639208
2400000000.0,0.60889,-0.659682
2404000000.0,0.610367,-0.658484
2408000000.0,0.58905,-0.671741
2412000000.0,0.559883,-0.674092
2416000000.0,0.547866,-0.690614
2420000000.0,0.543179,-0.693483
2424000000.0,0.528051,-0.706467
2428000000.0,0.496617,-0.719874
2432000000.0,0.485191,-0.721151
2436000000.0,0.48742,-0.712142
2440000000.0,0.463296,-0.727171
2444000000.0,0.452309,-0.732663
2448000000.0,0.429502,-0.746761
2452000000.0,0.416786,-0.764383
2456000000.0,0.398254,-0.751865
2460000000.0,0.372368,-0.774361
2464000000.0,0.372411,-0.772281
2468000000.0,0.354284,-0.771894
2472000000.0,0.335213,-0.804988
2476000000.0,0.319782,-0.784633
2480000000.0,0.307129,-0.796108
2484000000.0,0.27462,-0.79618
2488000000.0,0.258975,-0.802292
