Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.484516,0.638561
2204000000.0,0.520727,0.612495
2208000000.0,0.546225,0.593146
2212000000.0,0.572743,0.571069
2216000000.0,0.614734,0.542919
2220000000.0,0.634128,0.528436
2224000000.0,0.659531,0.498679
2228000000.0,0.689853,0.458923
2232000000.0,0.713236,0.433417
2236000000.0,0.741538,0.39091
2240000000.0,0.757189,0.379797
2244000000.0,0.776272,0.367316
2248000000.0,0.800703,0.302078
2252000000.0,0.813491,0.261675
2256000000.0,0.830376,0.229945
2260000000.0,0.86023,0.19727
2264000000.0,0.864697,0.156249
2268000000.0,0.883936,0.117581
2272000000.0,0.885957,0.077169
2276000000.0,0.895858,0.033352
2280000000.0,0.896758,-0.020134
2284000000.0,0.905546,-0.061782
2288000000.0,0.914834,-0.103859
2292000000.0,0.916856,-0.153858
2296000000.0,0.91677,-0.183701
2300000000.0,0.916896,-0.227581
2304000000.0,0.895537,-0.242291
2308000000.0,0.898464,-0.281102
2312000000.0,0.905628,-0.301665
2316000000.0,0.906631,-0.297823
2320000000.0,0.899058,-0.29507
2324000000.0,0.885969,-0.31867
2328000000.0,0.887996,-0.33471
2332000000.0,0.879232,-0.346903
2336000000.0,0.878035,-0.348998
2340000000.0,0.875889,-0.378195
2344000000.0,0.864763,-0.381815
2348000000.0,0.860245,-0.397978
2352000000.0,0.852806,-0.404477
2356000000.0,0.84364,-0.428375
2360000000.0,0.832691,-0.438933
2364000000.0,0.830027,-0.456556
2368000000.0,0.818017,-0.464959
2372000000.0,0.817446,-0.474136
2376000000.0,0.80344,-0.472474
2380000000.0,0.801291,-0.486147
2384000000.0,0.792617,-0.49621
2388000000.0,0.775116,-0.515276
2392000000.0,0.771494,-0.515534
2396000000.0,0.759912,-0.5301
2400000000.0,0.746834,-0.538863
2404000000.0,0.733963,-0.547844
2408000000.0,0.730339,-0.565189
2412000000.0,0.715386,-0.555268
2416000000.0,0.722831,-0.568271
2420000000.0,0.703511,-0.576026
2424000000.0,0.701897,-0.580981
2428000000.0,0.685197,-0.585416
2432000000.0,0.673972,-0.597515
2436000000.0,0.673967,-0.593678
2440000000.0,0.649023,-0.614234
2444000000.0,0.661014,-0.612972
2448000000.0,0.654693,-0.618481
2452000000.0,0.624018,-0.629726
2456000000.0,0.627752,-0.644739
2460000000.0,0.62368,-0.648029
2464000000.0,0.614516,-0.660996
2468000000.0,0.600226,-0.671269
2472000000.0,0.612039,-0.679399
2476000000.0,0.588992,-0.695156
2480000000.0,0.577947,-0.688
2484000000.0,0.569368,-0.700271
2488000000.0,0.570348,-0.703404
2492000000.0,0.554972,-0.716852
2496000000.0,0.548827,-0.723345
2500000000.0,0.526372,-0.753666
2504000000.0,0.535918,-0.740286
2508000000.0,0.52811,-0.744534
2512000000.0,0.501237,-0.756729
2516000000.0,0.49628,-0.756537
2520000000.0,0.478889,-0.775745
2524000000.0,0.463699,-0.800749
2528000000.0,0.458764,-0.780518
2532000000.0,0.473759,-0.785401
2536000000.0,0.435936,-0.804792
2540000000.0,0.435701,-0.809859
2544000000.0,0.41517,-0.811731
2548000000.0,0.412003,-0.819339
2552000000.0,0.385365,-0.816267
2556000000.0,0.366574,-0.82435
2560000000.0,0.359513,-0.825353
2564000000.0,0.361792,-0.834299
2568000000.0,0.355803,-0.83682
2572000000.0,0.325278,-0.843718
2576000000.0,0.309645,-0.853482
2580000000.0,0.294977,-0.850073
2584000000.0,0.312705,-0.855686
2588000000.0,0.273978,-0.852065
2592000000.0,0.260029,-0.864207
2596000000.0,0.244903,-0.876713
2600000000.0,0.234591,-0.87321
2604000000.0,0.222794,-0.88468
2608000000.0,0.200476,-0.894394
2612000000.0,0.192168,-0.899828
2616000000.0,0.167674,-0.89983
2620000000.0,0.161591,-0.899125
2624000000.0,0.1504,-0.913495
2628000000.0,0.149773,-0.907456
2632000000.0,0.132696,-0.910803
2636000000.0,0.105492,-0.914186
2640000000.0,0.108642,-0.914265
2644000000.0,0.060414,-0.915313
2648000000.0,0.043843,-0.917692
2652000000.0,0.049312,-0.913449
2656000000.0,0.031668,-0.922539
2660000000.0,0.016594,-0.922543
2664000000.0,-0.033886,-0.910517
2668000000.0,-0.03919,-0.915171
2672000000.0,-0.051746,-0.911667
2676000000.0,-0.063159,-0.904482
2680000000.0,-0.073389,-0.897596
2684000000.0,-0.104214,-0.896383
2688000000.0,-0.138187,-0.895753
2692000000.0,-0.140049,-0.874928
2696000000.0,-0.14676,-0.880399
2700000000.0,-0.176066,-0.871309
2704000000.0,-0.192236,-0.87889
2708000000.0,-0.215349,-0.857539
2712000000.0,-0.23589,-0.86024
2716000000.0,-0.241005,-0.861071
2720000000.0,-0.265644,-0.8349
2724000000.0,-0.270718,-0.828336
2728000000.0,-0.304901,-0.818585
2732000000.0,-0.288175,-0.826569
2736000000.0,-0.326574,-0.803721
2740000000.0,-0.335496,-0.810243
2744000000.0,-0.345687,-0.780642
2748000000.0,-0.359772,-0.772095
2752000000.0,-0.360078,-0.769619
2756000000.0,-0.379064,-0.761072
2760000000.0,-0.386155,-0.757151
2764000000.0,-0.390211,-0.741276
2768000000.0,-0.39549,-0.747765
2772000000.0,-0.419139,-0.711368
2776000000.0,-0.420876,-0.707609
2780000000.0,-0.458582,-0.700782
2784000000.0,-0.460139,-0.683938
2788000000.0,-0.46848,-0.659775
2792000000.0,-0.474729,-0.660988
2796000000.0,-0.493029,-0.649098
2800000000.0,-0.50189,-0.635231
2804000000.0,-0.50395,-0.634028
2808000000.0,-0.535282,-0.609062
2812000000.0,-0.551983,-0.591957
2816000000.0,-0.560902,-0.571045
2820000000.0,-0.569776,-0.579723
2824000000.0,-0.5813,-0.556775
2828000000.0,-0.586019,-0.545018
2832000000.0,-0.615561,-0.53532
2836000000.0,-0.610914,-0.517117
2840000000.0,-0.615514,-0.512869
2844000000.0,-0.632709,-0.503189
2848000000.0,-0.66764,-0.467506
2852000000.0,-0.67508,-0.44493
2856000000.0,-0.673827,-0.437132
2860000000.0,-0.690633,-0.407027
2864000000.0,-0.698092,-0.38838
2868000000.0,-0.697937,-0.373708
2872000000.0,-0.710184,-0.360077
2876000000.0,-0.714656,-0.344958
2880000000.0,-0.726338,-0.308968
2884000000.0,-0.72498,-0.28291
2888000000.0,-0.726316,-0.27654
2892000000.0,-0.728967,-0.260401
2896000000.0,-0.744104,-0.22424
2900000000.0,-0.746917,-0.190721
2904000000.0,-0.7461,-0.166811
2908000000.0,-0.750473,-0.154423
2912000000.0,-0.747046,-0.120357
2916000000.0,-0.738583,-0.06708
2920000000.0,-0.726642,-0.080767
2924000000.0,-0.732139,-0.054089
2928000000.0,-0.720647,-0.005425
2932000000.0,-0.724128,0.015982
2936000000.0,-0.701781,0.048446
2940000000.0,-0.691279,0.067675
2944000000.0,-0.682064,0.092401
2948000000.0,-0.662909,0.110778
2952000000.0,-0.653827,0.130236
2956000000.0,-0.638695,0.156488
2960000000.0,-0.616563,0.178532
2964000000.0,-0.599053,0.191727
2968000000.0,-0.579645,0.211139
2972000000.0,-0.560616,0.228564
2976000000.0,-0.536148,0.241715
2980000000.0,-0.517272,0.260454
2984000000.0,-0.49658,0.274156
2988000000.0,-0.475086,0.282232
2992000000.0,-0.445801,0.298445
2996000000.0,-0.42419,0.308693
3000000000.0,-0.398026,0.313458
