Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.537855,0.585413
2204000000.0,0.564408,0.554161
2208000000.0,0.58933,0.534615
2212000000.0,0.613211,0.520035
2216000000.0,0.648142,0.476871
2220000000.0,0.66948,0.454253
2224000000.0,0.695519,0.421881
2228000000.0,0.715029,0.385921
2232000000.0,0.731762,0.353663
2236000000.0,0.765411,0.327068
2240000000.0,0.772117,0.28992
2244000000.0,0.795739,0.248737
2248000000.0,0.80437,0.209021
2252000000.0,0.8224,0.167046
2256000000.0,0.830036,0.150915
2260000000.0,0.834131,0.095969
2264000000.0,0.856936,0.058041
2268000000.0,0.868874,0.018622
2272000000.0,0.866969,-0.026255
2276000000.0,0.869615,-0.06904
2280000000.0,0.867149,-0.115904
2284000000.0,0.882558,-0.156706
2288000000.0,0.875093,-0.195106
2292000000.0,0.871585,-0.260181
2296000000.0,0.854889,-0.286133
2300000000.0,0.845529,-0.349339
2304000000.0,0.83522,-0.352165
2308000000.0,0.841372,-0.380474
2312000000.0,0.831167,-0.399853
2316000000.0,0.83539,-0.411313
2320000000.0,0.825299,-0.425841
2324000000.0,0.806143,-0.443963
2328000000.0,0.805845,-0.453594
2332000000.0,0.795487,-0.454746
2336000000.0,0.786713,-0.4775
2340000000.0,0.780493,-0.498755
2344000000.0,0.769836,-0.50552
2348000000.0,0.758924,-0.523373
2352000000.0,0.750575,-0.538593
2356000000.0,0.733203,-0.555795
2360000000.0,0.715625,-0.566036
2364000000.0,0.707305,-0.576646
2368000000.0,0.717349,-0.564636
2372000000.0,0.671569,-0.616097
2376000000.0,0.674091,-0.614768
2380000000.0,0.659366,-0.625359
2384000000.0,0.659477,-0.616732
2388000000.0,0.617798,-0.643762
2392000000.0,0.62273,-0.649031
2396000000.0,0.582071,-0.667608
2400000000.0,0.592001,-0.663383
2404000000.0,0.559855,-0.69114
2408000000.0,0.555703,-0.690467
2412000000.0,0.531864,-0.685889
2416000000.0,0.533454,-0.695869
2420000000.0,0.501881,-0.706239
2424000000.0,0.470998,-0.731337
2428000000.0,0.460666,-0.735311
2432000000.0,0.452926,-0.730225
2436000000.0,0.465962,-0.718045
2440000000.0,0.396723,-0.747427
2444000000.0,0.406439,-0.747267
2448000000.0,0.380959,-0.759077
2452000000.0,0.363402,-0.759105
2456000000.0,0.35252,-0.76714
2460000000.0,0.333808,-0.776375
2464000000.0,0.299684,-0.781576
2468000000.0,0.279253,-0.792523
2472000000.0,0.248481,-0.814161
2476000000.0,0.248125,-0.805968
2480000000.0,0.231147,-0.799622
2484000000.0,0.208894,-0.803954
2488000000.0,0.17846,-0.799832
2492000000.0,0.154114,-0.808092
2496000000.0,0.134068,-0.82096
2500000000.0,0.102896,-0.825906
