Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.52699,0.590273
2204000000.0,0.570777,0.54757
2208000000.0,0.596115,0.535288
2212000000.0,0.602436,0.52143
2216000000.0,0.644391,0.485871
2220000000.0,0.674417,0.450282
2224000000.0,0.687536,0.424596
2228000000.0,0.712616,0.397261
2232000000.0,0.731806,0.365371
2236000000.0,0.768655,0.324213
2240000000.0,0.770905,0.29563
2244000000.0,0.795784,0.261255
2248000000.0,0.807624,0.221913
2252000000.0,0.818453,0.177066
2256000000.0,0.832149,0.139871
2260000000.0,0.837383,0.120845
2264000000.0,0.852346,0.059119
2268000000.0,0.864888,0.019108
2272000000.0,0.86226,-0.045729
2276000000.0,0.87241,-0.068142
2280000000.0,0.871239,-0.118995
2284000000.0,0.881979,-0.157254
2288000000.0,0.870416,-0.206339
2292000000.0,0.876679,-0.239725
2296000000.0,0.873786,-0.264134
2300000000.0,0.856368,-0.344362
2304000000.0,0.833619,-0.352348
2308000000.0,0.849552,-0.369909
2312000000.0,0.84891,-0.383168
2316000000.0,0.845327,-0.398309
2320000000.0,0.828889,-0.417525
2324000000.0,0.816652,-0.426158
2328000000.0,0.81686,-0.445402
2332000000.0,0.796287,-0.459384
2336000000.0,0.783659,-0.486928
2340000000.0,0.788373,-0.485557
2344000000.0,0.772313,-0.496893
2348000000.0,0.753752,-0.520877
2352000000.0,0.746643,-0.533611
2356000000.0,0.741068,-0.547139
2360000000.0,0.726541,-0.555943
2364000000.0,0.710927,-0.570695
2368000000.0,0.702333,-0.584404
2372000000.0,0.688738,-0.594238
2376000000.0,0.679685,-0.606576
2380000000.0,0.654922,-0.62565
2384000000.0,0.649122,-0.626178
2388000000.0,0.63654,-0.626739
2392000000.0,0.625597,-0.649292
2396000000.0,0.584815,-0.667123
2400000000.0,0.578463,-0.678388
2404000000.0,0.558199,-0.674432
2408000000.0,0.558991,-0.685603
2412000000.0,0.537069,-0.686863
2416000000.0,0.524354,-0.703217
2420000000.0,0.515127,-0.697868
2424000000.0,0.500233,-0.717258
2428000000.0,0.485938,-0.71885
2432000000.0,0.452931,-0.732514
2436000000.0,0.461685,-0.716669
2440000000.0,0.41968,-0.737636
2444000000.0,0.413821,-0.749872
2448000000.0,0.40303,-0.754007
2452000000.0,0.389108,-0.764892
2456000000.0,0.376673,-0.760038
2460000000.0,0.335332,-0.769411
2464000000.0,0.332149,-0.775632
2468000000.0,0.313619,-0.785842
2472000000.0,0.296065,-0.806705
2476000000.0,0.284684,-0.802944
2480000000.0,0.254821,-0.806624
2484000000.0,0.224285,-0.808457
2488000000.0,0.211685,-0.808326
2492000000.0,0.176977,-0.811129
2496000000.0,0.163234,-0.825023
2500000000.0,0.128261,-0.819737
2504000000.0,0.138068,-0.814225
2508000000.0,0.087388,-0.807632
2512000000.0,0.05407,-0.813799
2516000000.0,0.03385,-0.807838
2520000000.0,-0.003127,-0.801295
2524000000.0,-0.023822,-0.799878
2528000000.0,-0.046875,-0.788522
2532000000.0,-0.050684,-0.774365
2536000000.0,-0.091138,-0.765932
2540000000.0,-0.11807,-0.752044
2544000000.0,-0.160182,-0.72942
2548000000.0,-0.166845,-0.717632
2552000000.0,-0.207473,-0.68518
2556000000.0,-0.230779,-0.666099
2560000000.0,-0.260337,-0.634306
2564000000.0,-0.282879,-0.62111
2568000000.0,-0.296745,-0.596565
2572000000.0,-0.333058,-0.555135
2576000000.0,-0.344539,-0.532779
2580000000.0,-0.357362,-0.497484
2584000000.0,-0.362834,-0.470339
2588000000.0,-0.38234,-0.411044
2592000000.0,-0.389307,-0.384089
2596000000.0,-0.38039,-0.354557
2600000000.0,-0.379382,-0.311494
2604000000.0,-0.37652,-0.279044
2608000000.0,-0.373698,-0.239401
2612000000.0,-0.359081,-0.211938
2616000000.0,-0.343331,-0.175639
2620000000.0,-0.319988,-0.157726
2624000000.0,-0.303446,-0.127537
2628000000.0,-0.277473,-0.104062
2632000000.0,-0.256243,-0.089164
2636000000.0,-0.237938,-0.068327
2640000000.0,-0.217041,-0.061555
2644000000.0,-0.195463,-0.049218
2648000000.0,-0.175167,-0.03932
2652000000.0,-0.156456,-0.030892
2656000000.0,-0.139094,-0.027884
2660000000.0,-0.121916,-0.019986
2664000000.0,-0.104968,-0.019616
2668000000.0,-0.090248,-0.018422
2672000000.0,-0.076336,-0.016694
2676000000.0,-0.063388,-0.015436
2680000000.0,-0.051389,-0.014111
2684000000.0,-0.040557,-0.012983
2688000000.0,-0.029764,-0.012948
2692000000.0,-0.019571,-0.012479
2696000000.0,-0.00969,-0.010864
2700000000.0,-0.000183,-0.009625
2704000000.0,0.009385,-0.008435
2708000000.0,0.018801,-0.006936
2712000000.0,0.028259,-0.004164
2716000000.0,0.037737,-0.002851
2720000000.0,0.048191,-0.001603
2724000000.0,0.059135,0.000424
2728000000.0,0.068954,0.00159
2732000000.0,0.081266,0.005272
2736000000.0,0.093585,0.001003
2740000000.0,0.10633,0.003359
2744000000.0,0.118323,0.00603
2748000000.0,0.13105,0.001029
2752000000.0,0.144978,0.000827
2756000000.0,0.158126,-0.004817
2760000000.0,0.170411,-0.004471
2764000000.0,0.181087,-0.012458
2768000000.0,0.196273,-0.016253
2772000000.0,0.211096,-0.022374
2776000000.0,0.220304,-0.033929
2780000000.0,0.231061,-0.04737
2784000000.0,0.239682,-0.048663
2788000000.0,0.246402,-0.05963
2792000000.0,0.255772,-0.072472
2796000000.0,0.265728,-0.077394
2800000000.0,0.270012,-0.092445
2804000000.0,0.27612,-0.100736
2808000000.0,0.284488,-0.111611
2812000000.0,0.290084,-0.120516
2816000000.0,0.291229,-0.134099
2820000000.0,0.300116,-0.139893
2824000000.0,0.297117,-0.161793
2828000000.0,0.308292,-0.158675
2832000000.0,0.311298,-0.177451
2836000000.0,0.307534,-0.185328
2840000000.0,0.318256,-0.197084
2844000000.0,0.332697,-0.198875
2848000000.0,0.316514,-0.229698
2852000000.0,0.317774,-0.241941
2856000000.0,0.318949,-0.244739
2860000000.0,0.31825,-0.265617
2864000000.0,0.319118,-0.273496
2868000000.0,0.318643,-0.283414
2872000000.0,0.317645,-0.296641
2876000000.0,0.321751,-0.307451
2880000000.0,0.312895,-0.322683
2884000000.0,0.308541,-0.334477
2888000000.0,0.313697,-0.340733
2892000000.0,0.316586,-0.352012
2896000000.0,0.303086,-0.373331
2900000000.0,0.293755,-0.390206
2904000000.0,0.284783,-0.405706
2908000000.0,0.283733,-0.413267
2912000000.0,0.278336,-0.427274
2916000000.0,0.268235,-0.442122
2920000000.0,0.264797,-0.446915
2924000000.0,0.250625,-0.460502
2928000000.0,0.237138,-0.474606
2932000000.0,0.218518,-0.48881
2936000000.0,0.199605,-0.498486
2940000000.0,0.199668,-0.49968
2944000000.0,0.18164,-0.506458
2948000000.0,0.162062,-0.511534
2952000000.0,0.144042,-0.514814
2956000000.0,0.136172,-0.519228
2960000000.0,0.119882,-0.516403
2964000000.0,0.106916,-0.517804
2968000000.0,0.093095,-0.523001
2972000000.0,0.072016,-0.518466
2976000000.0,0.052697,-0.518371
2980000000.0,0.059888,-0.524578
2984000000.0,0.027741,-0.520166
2988000000.0,0.019172,-0.51971
2992000000.0,0.010455,-0.516034
2996000000.0,-0.016445,-0.511915
3000000000.0,-0.027874,-0.504991
