Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.518351,0.601085
2204000000.0,0.561467,0.561519
2208000000.0,0.585459,0.542791
2212000000.0,0.601162,0.513406
2216000000.0,0.636984,0.493555
2220000000.0,0.66871,0.463536
2224000000.0,0.692938,0.431437
2228000000.0,0.711816,0.400431
2232000000.0,0.731458,0.367407
2236000000.0,0.750142,0.328156
2240000000.0,0.780115,0.296602
2244000000.0,0.792723,0.274965
2248000000.0,0.811064,0.223655
2252000000.0,0.819597,0.178333
2256000000.0,0.829567,0.144767
2260000000.0,0.840684,0.115666
2264000000.0,0.855072,0.070594
2268000000.0,0.869635,0.011224
2272000000.0,0.875871,0.007989
2276000000.0,0.876556,-0.056862
2280000000.0,0.87775,-0.106167
2284000000.0,0.881781,-0.164058
2288000000.0,0.874701,-0.198287
2292000000.0,0.87411,-0.246849
2296000000.0,0.868684,-0.265955
2300000000.0,0.855134,-0.333672
2304000000.0,0.844053,-0.339864
2308000000.0,0.857137,-0.354311
2312000000.0,0.848244,-0.387213
2316000000.0,0.83682,-0.409853
2320000000.0,0.835445,-0.406497
2324000000.0,0.826769,-0.413624
2328000000.0,0.819989,-0.440751
2332000000.0,0.807328,-0.439338
2336000000.0,0.789582,-0.479415
2340000000.0,0.80012,-0.481799
2344000000.0,0.781026,-0.493059
2348000000.0,0.771682,-0.515
2352000000.0,0.751651,-0.533949
2356000000.0,0.757327,-0.531381
2360000000.0,0.740326,-0.547078
2364000000.0,0.71502,-0.569885
2368000000.0,0.712467,-0.573249
2372000000.0,0.708377,-0.576942
2376000000.0,0.690671,-0.590534
2380000000.0,0.66496,-0.615448
2384000000.0,0.665645,-0.610383
2388000000.0,0.641501,-0.617091
2392000000.0,0.641885,-0.62896
2396000000.0,0.628083,-0.634382
2400000000.0,0.597452,-0.659772
2404000000.0,0.588614,-0.652073
2408000000.0,0.582222,-0.672424
2412000000.0,0.556649,-0.66805
2416000000.0,0.549758,-0.67651
2420000000.0,0.539474,-0.67832
2424000000.0,0.508335,-0.707343
2428000000.0,0.482347,-0.70554
2432000000.0,0.469527,-0.722828
2436000000.0,0.482389,-0.70629
2440000000.0,0.452029,-0.714429
2444000000.0,0.439779,-0.724022
2448000000.0,0.432418,-0.741098
2452000000.0,0.416296,-0.735312
2456000000.0,0.407344,-0.743192
2460000000.0,0.375549,-0.761478
2464000000.0,0.36585,-0.770268
2468000000.0,0.341358,-0.774895
2472000000.0,0.333044,-0.789353
2476000000.0,0.319238,-0.78731
2480000000.0,0.295921,-0.794729
2484000000.0,0.281523,-0.793572
2488000000.0,0.252226,-0.794857
2492000000.0,0.239074,-0.814377
2496000000.0,0.212663,-0.81802
2500000000.0,0.187905,-0.814838
2504000000.0,0.178846,-0.816584
2508000000.0,0.152842,-0.812473
2512000000.0,0.13197,-0.820952
2516000000.0,0.093538,-0.820643
2520000000.0,0.077194,-0.818024
2524000000.0,0.039136,-0.824846
2528000000.0,0.033369,-0.813634
2532000000.0,0.013119,-0.808624
2536000000.0,-0.018947,-0.802208
2540000000.0,-0.051342,-0.789533
2544000000.0,-0.067529,-0.786606
2548000000.0,-0.108609,-0.766504
2552000000.0,-0.13585,-0.752972
2556000000.0,-0.153906,-0.729795
2560000000.0,-0.181963,-0.711663
2564000000.0,-0.20874,-0.707442
2568000000.0,-0.226649,-0.68481
2572000000.0,-0.258971,-0.657948
2576000000.0,-0.282008,-0.638254
2580000000.0,-0.312206,-0.608047
2584000000.0,-0.307265,-0.596298
