Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.729069,0.593006
2004500000.0,0.732525,0.581597
2009000000.0,0.74915,0.568125
2013500000.0,0.769581,0.542147
2018000000.0,0.748339,0.572365
2022500000.0,0.785446,0.523373
2027000000.0,0.782566,0.527815
2031500000.0,0.770987,0.552076
2036000000.0,0.788301,0.522543
2040500000.0,0.802783,0.506361
2045000000.0,0.794988,0.518327
2049500000.0,0.818098,0.473808
2054000000.0,0.818412,0.471876
2058500000.0,0.814444,0.492129
2063000000.0,0.871696,0.377602
2067500000.0,0.839294,0.438717
2072000000.0,0.840243,0.443179
2076500000.0,0.849701,0.412959
2081000000.0,0.850855,0.417509
2085500000.0,0.858145,0.396767
2090000000.0,0.857888,0.402254
2094500000.0,0.883582,0.341091
2099000000.0,0.878404,0.368837
2103500000.0,0.889306,0.343794
2108000000.0,0.89745,0.269159
2112500000.0,0.888884,0.346294
2117000000.0,0.89359,0.304577
2121500000.0,0.910659,0.263562
2126000000.0,0.905649,0.298743
2130500000.0,0.929966,0.195743
2135000000.0,0.914004,0.223463
2139500000.0,0.913928,0.243191
2144000000.0,0.916765,0.239172
2148500000.0,0.925615,0.162343
2153000000.0,0.918514,0.214051
2157500000.0,0.933475,0.17397
2162000000.0,0.929389,0.17381
2166500000.0,0.936873,0.152825
2171000000.0,0.936036,0.09858
2175500000.0,0.944139,0.119123
2180000000.0,0.933174,0.123425
2184500000.0,0.942514,0.054977
2189000000.0,0.946204,0.076396
2193500000.0,0.945324,0.061196
2198000000.0,0.942736,0.074944
2202500000.0,0.936084,-0.038054
2207000000.0,0.93796,0.024689
2211500000.0,0.950141,-0.002443
2216000000.0,0.932743,-0.075255
2220500000.0,0.946172,-0.022611
2225000000.0,0.932988,-0.072253
2229500000.0,0.928098,-0.061543
2234000000.0,0.930324,-0.09821
2238500000.0,0.938325,-0.111393
2243000000.0,0.931167,-0.133274
2247500000.0,0.93201,-0.102452
2252000000.0,0.938401,-0.123251
2256500000.0,0.920196,-0.189289
2261000000.0,0.922856,-0.147867
2265500000.0,0.913305,-0.201013
2270000000.0,0.916376,-0.174784
2274500000.0,0.903577,-0.23345
2279000000.0,0.908348,-0.235949
2283500000.0,0.919958,-0.219826
2288000000.0,0.896986,-0.274768
2292500000.0,0.900025,-0.274345
2297000000.0,0.892675,-0.310842
2301500000.0,0.891332,-0.308472
2306000000.0,0.908528,-0.256394
2310500000.0,0.864648,-0.342389
2315000000.0,0.863457,-0.389905
2319500000.0,0.881729,-0.369997
2324000000.0,0.842883,-0.418449
2328500000.0,0.85094,-0.417021
2333000000.0,0.853018,-0.415803
2337500000.0,0.840259,-0.445376
2342000000.0,0.821331,-0.475451
2346500000.0,0.805183,-0.491722
2351000000.0,0.78937,-0.512768
2355500000.0,0.811925,-0.479317
2360000000.0,0.790783,-0.516421
2364500000.0,0.769705,-0.551573
2369000000.0,0.747712,-0.573733
2373500000.0,0.732552,-0.572219
2378000000.0,0.72564,-0.588448
2382500000.0,0.677219,-0.632212
