Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.715658,0.617314
2004500000.0,0.668782,0.661018
2009000000.0,0.743477,0.586148
2013500000.0,0.750445,0.575005
2018000000.0,0.74811,0.593096
2022500000.0,0.754462,0.569784
2027000000.0,0.77542,0.542279
2031500000.0,0.776453,0.538262
2036000000.0,0.790784,0.527104
2040500000.0,0.788453,0.535842
2045000000.0,0.796558,0.527178
2049500000.0,0.793085,0.523199
2054000000.0,0.820458,0.47658
2058500000.0,0.824573,0.470549
2063000000.0,0.825749,0.475067
2067500000.0,0.829514,0.45793
2072000000.0,0.823786,0.477601
2076500000.0,0.830542,0.465636
2081000000.0,0.857366,0.405122
2085500000.0,0.851443,0.419786
2090000000.0,0.861837,0.381572
2094500000.0,0.876647,0.379773
2099000000.0,0.873053,0.383419
2103500000.0,0.882939,0.353667
2108000000.0,0.88385,0.337156
2112500000.0,0.880186,0.384711
2117000000.0,0.896662,0.314534
2121500000.0,0.900797,0.30333
2126000000.0,0.894723,0.316004
2130500000.0,0.916691,0.232608
2135000000.0,0.905837,0.288084
2139500000.0,0.91225,0.268875
2144000000.0,0.911643,0.256863
2148500000.0,0.92037,0.235234
2153000000.0,0.924504,0.174602
2157500000.0,0.929572,0.203998
2162000000.0,0.93049,0.193624
2166500000.0,0.937998,0.164699
2171000000.0,0.939854,0.164307
2175500000.0,0.940259,0.133739
2180000000.0,0.936522,0.141645
2184500000.0,0.938834,0.102228
2189000000.0,0.948227,0.081769
2193500000.0,0.95143,0.081438
2198000000.0,0.942732,0.072086
2202500000.0,0.948039,0.048352
2207000000.0,0.944437,0.005558
2211500000.0,0.953234,0.032733
2216000000.0,0.946883,-0.020077
2220500000.0,0.940535,-0.018528
2225000000.0,0.942387,-0.018363
2229500000.0,0.952453,-0.01467
2234000000.0,0.933242,-0.066453
2238500000.0,0.938272,-0.072745
2243000000.0,0.932582,-0.080984
2247500000.0,0.930681,-0.129723
2252000000.0,0.942267,-0.061113
2256500000.0,0.928145,-0.13238
2261000000.0,0.941915,-0.133571
2265500000.0,0.92922,-0.16498
2270000000.0,0.926808,-0.169418
2274500000.0,0.911485,-0.21807
2279000000.0,0.914229,-0.225955
2283500000.0,0.92117,-0.228625
2288000000.0,0.911978,-0.24041
2292500000.0,0.919784,-0.192396
2297000000.0,0.901318,-0.271709
2301500000.0,0.90034,-0.310593
2306000000.0,0.903979,-0.27644
2310500000.0,0.872733,-0.353821
2315000000.0,0.885748,-0.340783
2319500000.0,0.886064,-0.333376
2324000000.0,0.885666,-0.338672
2328500000.0,0.866931,-0.388519
2333000000.0,0.861324,-0.401041
2337500000.0,0.854915,-0.413799
2342000000.0,0.843152,-0.436225
2346500000.0,0.834202,-0.472593
2351000000.0,0.831503,-0.45749
2355500000.0,0.823348,-0.474151
2360000000.0,0.815358,-0.492988
2364500000.0,0.783895,-0.527961
2369000000.0,0.765572,-0.552168
2373500000.0,0.759453,-0.552443
2378000000.0,0.771064,-0.541465
2382500000.0,0.735976,-0.578057
2387000000.0,0.737132,-0.583454
2391500000.0,0.704561,-0.609245
2396000000.0,0.680936,-0.627299
2400500000.0,0.691706,-0.62279
2405000000.0,0.650118,-0.663176
2409500000.0,0.675919,-0.634693
2414000000.0,0.651147,-0.646771
2418500000.0,0.621798,-0.671465
2423000000.0,0.599989,-0.693418
2427500000.0,0.572095,-0.694525
2432000000.0,0.563478,-0.709547
2436500000.0,0.525834,-0.721269
2441000000.0,0.534254,-0.72565
2445500000.0,0.46048,-0.769637
2450000000.0,0.498457,-0.728712
2454500000.0,0.47191,-0.746567
2459000000.0,0.454946,-0.757876
2463500000.0,0.445299,-0.770033
2468000000.0,0.422062,-0.764292
2472500000.0,0.420326,-0.776406
2477000000.0,0.359185,-0.804329
2481500000.0,0.360352,-0.794778
2486000000.0,0.376931,-0.795439
2490500000.0,0.290431,-0.81363
2495000000.0,0.330958,-0.799995
2499500000.0,0.257415,-0.816134
2504000000.0,0.256061,-0.825865
2508500000.0,0.227275,-0.827419
2513000000.0,0.225218,-0.82337
2517500000.0,0.167654,-0.829107
2522000000.0,0.162299,-0.829907
2526500000.0,0.141579,-0.834931
2531000000.0,0.092087,-0.831579
2535500000.0,0.100981,-0.821435
2540000000.0,0.065646,-0.827121
2544500000.0,0.024964,-0.816729
2549000000.0,0.076828,-0.805559
2553500000.0,0.005811,-0.809732
2558000000.0,-0.023992,-0.801587
2562500000.0,-0.057613,-0.796607
2567000000.0,-0.106355,-0.776448
2571500000.0,-0.101759,-0.776571
2576000000.0,-0.153056,-0.761693
2580500000.0,-0.172467,-0.752437
