Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.699268,0.639816
2004500000.0,0.671952,0.668758
2009000000.0,0.724455,0.619585
2013500000.0,0.734549,0.615634
2018000000.0,0.733498,0.622051
2022500000.0,0.746949,0.598639
2027000000.0,0.750792,0.589122
2031500000.0,0.757484,0.570695
2036000000.0,0.779305,0.555875
2040500000.0,0.767009,0.576426
2045000000.0,0.78329,0.546681
2049500000.0,0.775695,0.556934
2054000000.0,0.803527,0.51898
2058500000.0,0.805338,0.510688
2063000000.0,0.804393,0.51943
2067500000.0,0.80252,0.511148
2072000000.0,0.808229,0.506861
2076500000.0,0.804996,0.516027
2081000000.0,0.830655,0.464233
2085500000.0,0.841822,0.455557
2090000000.0,0.840735,0.43866
2094500000.0,0.852545,0.442262
2099000000.0,0.865095,0.401433
2103500000.0,0.854492,0.432088
2108000000.0,0.868347,0.396322
2112500000.0,0.87068,0.402018
2117000000.0,0.880503,0.370745
2121500000.0,0.892169,0.347911
2126000000.0,0.891388,0.337105
2130500000.0,0.899652,0.308852
2135000000.0,0.898502,0.330094
2139500000.0,0.905211,0.293584
2144000000.0,0.897266,0.330902
2148500000.0,0.91762,0.292604
2153000000.0,0.914163,0.233862
2157500000.0,0.920015,0.276603
2162000000.0,0.920061,0.264682
2166500000.0,0.930398,0.234744
2171000000.0,0.936694,0.229722
2175500000.0,0.934338,0.214854
2180000000.0,0.933848,0.208255
2184500000.0,0.939294,0.195209
2189000000.0,0.9513,0.136665
2193500000.0,0.950232,0.168665
2198000000.0,0.950224,0.144928
2202500000.0,0.955779,0.118717
2207000000.0,0.956382,0.096172
2211500000.0,0.966891,0.114575
2216000000.0,0.956442,0.075247
2220500000.0,0.96725,0.063606
2225000000.0,0.961298,0.094938
2229500000.0,0.963192,0.07991
2234000000.0,0.961521,0.033935
2238500000.0,0.963886,0.008758
2243000000.0,0.961747,-0.003416
2247500000.0,0.966373,-0.013864
2252000000.0,0.966966,0.02484
2256500000.0,0.955733,-0.046897
2261000000.0,0.975715,-0.043298
2265500000.0,0.967463,-0.062201
2270000000.0,0.973551,-0.081878
2274500000.0,0.959581,-0.106238
2279000000.0,0.961643,-0.140352
2283500000.0,0.96774,-0.118828
2288000000.0,0.959703,-0.141265
2292500000.0,0.95426,-0.125623
2297000000.0,0.954104,-0.17927
2301500000.0,0.956905,-0.200521
2306000000.0,0.952758,-0.19453
