Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.70193,0.639897
2004500000.0,0.728864,0.60828
2009000000.0,0.714006,0.631664
2013500000.0,0.725986,0.608048
2018000000.0,0.74193,0.591739
2022500000.0,0.726501,0.617552
2027000000.0,0.744663,0.590477
2031500000.0,0.76157,0.573813
2036000000.0,0.761046,0.582621
2040500000.0,0.773939,0.553553
2045000000.0,0.788384,0.528105
2049500000.0,0.777518,0.551288
2054000000.0,0.787948,0.544329
2058500000.0,0.814124,0.489431
2063000000.0,0.806838,0.513511
2067500000.0,0.812141,0.494611
2072000000.0,0.83436,0.451727
2076500000.0,0.830858,0.468746
2081000000.0,0.850487,0.434871
2085500000.0,0.832308,0.46578
2090000000.0,0.840636,0.448119
2094500000.0,0.863149,0.409415
2099000000.0,0.864863,0.408823
2103500000.0,0.861812,0.419492
2108000000.0,0.874375,0.373358
2112500000.0,0.88809,0.360908
2117000000.0,0.880754,0.360342
2121500000.0,0.891573,0.345449
2126000000.0,0.891245,0.341212
2130500000.0,0.901736,0.308943
2135000000.0,0.905267,0.301156
2139500000.0,0.903609,0.29906
2144000000.0,0.908861,0.271795
2148500000.0,0.913318,0.300246
2153000000.0,0.918808,0.262138
2157500000.0,0.926363,0.256358
2162000000.0,0.925736,0.234643
2166500000.0,0.930754,0.212206
2171000000.0,0.932303,0.220554
2175500000.0,0.935353,0.20506
2180000000.0,0.931868,0.199146
2184500000.0,0.942171,0.174868
2189000000.0,0.948623,0.174379
2193500000.0,0.93644,0.170974
2198000000.0,0.952089,0.082791
2202500000.0,0.95268,0.133566
2207000000.0,0.952285,0.1157
2211500000.0,0.952533,0.127545
2216000000.0,0.958862,0.068112
2220500000.0,0.966733,0.072534
2225000000.0,0.959159,0.033028
2229500000.0,0.964853,0.079383
2234000000.0,0.96848,0.006178
2238500000.0,0.946607,-0.020079
2243000000.0,0.966636,0.062654
2247500000.0,0.961291,-0.002135
2252000000.0,0.955439,-0.031264
2256500000.0,0.969667,-0.021317
2261000000.0,0.957904,-0.068325
2265500000.0,0.973114,-0.043025
2270000000.0,0.973029,-0.053287
2274500000.0,0.966729,-0.089424
2279000000.0,0.95998,-0.120471
2283500000.0,0.979081,-0.099365
2288000000.0,0.956289,-0.151541
2292500000.0,0.94855,-0.186775
