Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.716427,0.607881
2004500000.0,0.682737,0.639188
2009000000.0,0.740622,0.590446
2013500000.0,0.751653,0.583059
2018000000.0,0.756961,0.579232
2022500000.0,0.763459,0.55468
2027000000.0,0.768963,0.561541
2031500000.0,0.789736,0.517865
2036000000.0,0.796667,0.511741
2040500000.0,0.778758,0.546411
2045000000.0,0.80508,0.500385
2049500000.0,0.790545,0.523009
2054000000.0,0.816292,0.47769
2058500000.0,0.831623,0.446219
2063000000.0,0.815053,0.49639
2067500000.0,0.816426,0.476464
2072000000.0,0.836064,0.446184
2076500000.0,0.828579,0.466206
2081000000.0,0.853621,0.413565
2085500000.0,0.85599,0.417254
2090000000.0,0.862488,0.380522
2094500000.0,0.873801,0.390573
2099000000.0,0.877575,0.360252
2103500000.0,0.872774,0.377246
2108000000.0,0.884487,0.342261
2112500000.0,0.885471,0.353184
2117000000.0,0.894131,0.337494
2121500000.0,0.903301,0.291469
2126000000.0,0.900529,0.287627
2130500000.0,0.91254,0.239416
2135000000.0,0.911341,0.27795
2139500000.0,0.915686,0.224238
2144000000.0,0.915611,0.232954
2148500000.0,0.921642,0.228714
2153000000.0,0.925424,0.153808
2157500000.0,0.928013,0.20341
2162000000.0,0.933159,0.17775
2166500000.0,0.937147,0.136133
2171000000.0,0.941641,0.175412
2175500000.0,0.942366,0.126834
2180000000.0,0.939069,0.106865
2184500000.0,0.938339,0.107608
2189000000.0,0.946984,0.075322
2193500000.0,0.944046,0.057643
2198000000.0,0.943481,0.055032
2202500000.0,0.943845,0.033596
2207000000.0,0.944928,0.022919
2211500000.0,0.967019,0.021379
2216000000.0,0.942091,-0.035352
2220500000.0,0.942347,-0.006377
2225000000.0,0.940531,-0.023033
2229500000.0,0.948761,-0.031504
2234000000.0,0.93447,-0.072995
2238500000.0,0.947587,-0.080488
2243000000.0,0.93144,-0.092922
2247500000.0,0.931958,-0.131452
2252000000.0,0.948407,-0.088484
2256500000.0,0.92346,-0.156943
2261000000.0,0.945519,-0.139435
2265500000.0,0.922102,-0.175258
2270000000.0,0.915681,-0.202536
2274500000.0,0.909926,-0.211384
2279000000.0,0.910096,-0.22251
2283500000.0,0.921702,-0.22412
2288000000.0,0.904395,-0.265044
2292500000.0,0.902178,-0.261222
2297000000.0,0.894039,-0.284395
2301500000.0,0.902152,-0.312533
2306000000.0,0.883373,-0.326888
2310500000.0,0.860928,-0.374679
2315000000.0,0.888008,-0.33336
2319500000.0,0.864702,-0.376829
2324000000.0,0.873706,-0.358664
2328500000.0,0.856938,-0.419037
2333000000.0,0.845214,-0.428252
2337500000.0,0.853827,-0.420345
2342000000.0,0.82449,-0.466831
2346500000.0,0.806368,-0.505268
2351000000.0,0.831446,-0.471579
2355500000.0,0.807267,-0.497749
2360000000.0,0.780199,-0.540591
2364500000.0,0.772807,-0.537602
2369000000.0,0.753107,-0.562165
2373500000.0,0.720129,-0.595607
2378000000.0,0.741042,-0.57783
2382500000.0,0.709671,-0.603403
2387000000.0,0.692871,-0.625963
2391500000.0,0.682618,-0.625028
2396000000.0,0.642265,-0.659111
2400500000.0,0.642143,-0.658592
2405000000.0,0.592773,-0.700482
2409500000.0,0.622414,-0.671827
2414000000.0,0.569732,-0.698791
2418500000.0,0.585088,-0.686894
2423000000.0,0.563171,-0.708487
2427500000.0,0.493533,-0.743051
2432000000.0,0.525762,-0.726331
2436500000.0,0.48485,-0.739587
2441000000.0,0.483195,-0.736932
2445500000.0,0.479436,-0.734088
2450000000.0,0.446228,-0.750441
2454500000.0,0.39821,-0.783928
2459000000.0,0.419425,-0.759556
2463500000.0,0.381229,-0.783022
2468000000.0,0.328337,-0.793435
2472500000.0,0.361717,-0.777724
2477000000.0,0.298134,-0.797359
2481500000.0,0.288527,-0.798666
2486000000.0,0.292108,-0.800506
2490500000.0,0.226222,-0.811494
2495000000.0,0.22419,-0.80544
2499500000.0,0.189081,-0.816072
2504000000.0,0.171868,-0.810949
2508500000.0,0.220692,-0.788258
2513000000.0,0.112498,-0.801271
2517500000.0,0.063735,-0.803444
2522000000.0,0.058322,-0.804837
2526500000.0,0.030911,-0.800707
2531000000.0,-0.023957,-0.791254
2535500000.0,-0.007587,-0.773179
2540000000.0,-0.050943,-0.770621
2544500000.0,-0.09142,-0.753137
2549000000.0,-0.063646,-0.748445
2553500000.0,-0.14363,-0.731172
2558000000.0,-0.150463,-0.714333
2562500000.0,-0.206079,-0.690681
2567000000.0,-0.232044,-0.668261
2571500000.0,-0.247118,-0.64934
2576000000.0,-0.277487,-0.618574
2580500000.0,-0.304027,-0.595956
2585000000.0,-0.329238,-0.553094
2589500000.0,-0.344128,-0.515796
2594000000.0,-0.367333,-0.468562
2598500000.0,-0.337596,-0.442738
2603000000.0,-0.396421,-0.373124
2607500000.0,-0.399314,-0.325916
2612000000.0,-0.395029,-0.268776
2616500000.0,-0.371019,-0.254863
2621000000.0,-0.353107,-0.199464
2625500000.0,-0.333726,-0.169055
2630000000.0,-0.310234,-0.141997
2634500000.0,-0.284327,-0.10637
2639000000.0,-0.258347,-0.084842
2643500000.0,-0.233488,-0.065836
2648000000.0,-0.205948,-0.055478
2652500000.0,-0.184279,-0.048271
2657000000.0,-0.157312,-0.045013
2661500000.0,-0.135433,-0.03455
2666000000.0,-0.116628,-0.028545
2670500000.0,-0.097122,-0.030289
2675000000.0,-0.080911,-0.027111
2679500000.0,-0.066615,-0.026706
2684000000.0,-0.051718,-0.02831
2688500000.0,-0.039983,-0.028421
2693000000.0,-0.027563,-0.03022
2697500000.0,-0.01826,-0.029321
2702000000.0,-0.008749,-0.029375
2706500000.0,-0.00103,-0.029255
2711000000.0,0.009253,-0.027715
2715500000.0,0.017053,-0.026824
2720000000.0,0.024914,-0.025369
2724500000.0,0.033889,-0.022649
2729000000.0,0.043681,-0.01937
2733500000.0,0.053248,-0.015813
2738000000.0,0.063242,-0.013188
2742500000.0,0.075402,-0.010252
2747000000.0,0.086201,-0.007046
2751500000.0,0.100406,-0.005045
2756000000.0,0.113364,-0.012734
2760500000.0,0.127932,-0.009589
2765000000.0,0.144007,-0.003305
2769500000.0,0.158612,-0.00982
2774000000.0,0.172175,-0.012803
2778500000.0,0.187828,-0.016442
2783000000.0,0.200957,-0.025
2787500000.0,0.217086,-0.023639
2792000000.0,0.225692,-0.047119
2796500000.0,0.242436,-0.046718
2801000000.0,0.247309,-0.066341
2805500000.0,0.261689,-0.075484
2810000000.0,0.265603,-0.090927
