Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.764231,0.497419
2004500000.0,0.782728,0.457358
2009000000.0,0.778175,0.468504
2013500000.0,0.78598,0.44565
2018000000.0,0.791514,0.433332
2022500000.0,0.800901,0.41701
2027000000.0,0.793836,0.406334
2031500000.0,0.799435,0.40063
2036000000.0,0.810145,0.374726
2040500000.0,0.810599,0.354405
2045000000.0,0.815687,0.336803
2049500000.0,0.819918,0.321362
2054000000.0,0.820539,0.309076
2058500000.0,0.819023,0.291106
2063000000.0,0.81835,0.292421
2067500000.0,0.819751,0.260965
2072000000.0,0.829201,0.228141
2076500000.0,0.823473,0.216451
2081000000.0,0.827628,0.191433
2085500000.0,0.821018,0.182152
2090000000.0,0.814823,0.186073
2094500000.0,0.821336,0.140689
2099000000.0,0.819932,0.141084
2103500000.0,0.818067,0.123942
2108000000.0,0.813723,0.099193
2112500000.0,0.806115,0.077393
2117000000.0,0.800406,0.073096
2121500000.0,0.797266,0.079209
2126000000.0,0.794121,0.053484
2130500000.0,0.786136,0.016967
2135000000.0,0.779161,-0.001024
2139500000.0,0.770841,-0.015275
2144000000.0,0.765534,-0.023796
2148500000.0,0.765906,-0.00986
2153000000.0,0.750087,-0.052371
2157500000.0,0.744308,-0.067419
2162000000.0,0.738053,-0.074726
2166500000.0,0.722884,-0.103616
2171000000.0,0.711544,-0.116749
2175500000.0,0.700351,-0.112082
2180000000.0,0.688578,-0.116045
2184500000.0,0.679015,-0.141505
2189000000.0,0.666599,-0.148879
2193500000.0,0.644112,-0.158223
2198000000.0,0.622524,-0.204001
2202500000.0,0.617345,-0.185538
2207000000.0,0.601453,-0.183043
2211500000.0,0.602615,-0.148561
2216000000.0,0.565697,-0.202464
2220500000.0,0.549087,-0.198713
2225000000.0,0.527294,-0.208997
2229500000.0,0.519787,-0.198025
2234000000.0,0.500691,-0.214532
2238500000.0,0.484239,-0.197324
2243000000.0,0.483084,-0.178177
2247500000.0,0.4663,-0.182902
2252000000.0,0.450581,-0.182505
2256500000.0,0.433983,-0.185317
2261000000.0,0.424193,-0.184126
2265500000.0,0.428816,-0.157461
