Freq (Hz),Real Part,Imaginary Part
2300000000.0,0.603896,-0.381586
2303500000.0,0.611392,-0.360946
2307000000.0,0.593686,-0.393209
2310500000.0,0.582762,-0.392288
2314000000.0,0.587575,-0.386407
2317500000.0,0.584586,-0.394824
2321000000.0,0.568885,-0.402961
2324500000.0,0.566728,-0.406454
2328000000.0,0.560441,-0.414774
2331500000.0,0.549702,-0.41127
2335000000.0,0.543191,-0.421344
2338500000.0,0.526219,-0.435697
2342000000.0,0.538574,-0.417477
2345500000.0,0.511945,-0.441268
2349000000.0,0.516574,-0.437116
2352500000.0,0.506224,-0.443484
2356000000.0,0.499882,-0.448641
2359500000.0,0.491102,-0.455322
2363000000.0,0.479007,-0.454632
2366500000.0,0.476439,-0.463158
2370000000.0,0.466856,-0.466785
2373500000.0,0.45662,-0.468117
2377000000.0,0.452586,-0.470167
2380500000.0,0.435449,-0.479502
2384000000.0,0.43416,-0.477587
2387500000.0,0.431438,-0.477448
2391000000.0,0.418476,-0.48577
2394500000.0,0.409951,-0.488359
2398000000.0,0.404911,-0.485361
2401500000.0,0.388638,-0.49826
2405000000.0,0.384616,-0.490954
2408500000.0,0.362268,-0.505437
2412000000.0,0.359944,-0.501181
2415500000.0,0.353571,-0.50425
2419000000.0,0.342116,-0.511975
2422500000.0,0.324231,-0.506776
2426000000.0,0.329367,-0.506642
2429500000.0,0.307498,-0.512959
2433000000.0,0.31336,-0.507793
2436500000.0,0.289091,-0.515475
2440000000.0,0.281604,-0.524012
2443500000.0,0.270238,-0.513668
2447000000.0,0.257796,-0.516833
2450500000.0,0.24575,-0.512647
2454000000.0,0.24092,-0.52068
2457500000.0,0.217262,-0.518499
2461000000.0,0.219894,-0.512487
2464500000.0,0.184225,-0.520824
2468000000.0,0.1908,-0.510402
2471500000.0,0.187859,-0.50446
2475000000.0,0.161607,-0.507948
2478500000.0,0.171964,-0.506828
2482000000.0,0.156595,-0.494389
2485500000.0,0.141156,-0.496278
2489000000.0,0.127007,-0.493636
2492500000.0,0.116182,-0.48764
2496000000.0,0.121914,-0.479321
2499500000.0,0.090542,-0.473193
2503000000.0,0.088001,-0.468155
2506500000.0,0.084711,-0.461315
2510000000.0,0.061937,-0.452768
2513500000.0,0.061501,-0.451915
2517000000.0,0.05019,-0.438833
2520500000.0,0.040251,-0.427946
2524000000.0,0.036674,-0.423562
2527500000.0,0.027635,-0.409539
2531000000.0,-0.002305,-0.396315
2534500000.0,0.007068,-0.388533
2538000000.0,0.042175,-0.385158
2541500000.0,0.015584,-0.370504
2545000000.0,-0.000716,-0.353834
2548500000.0,0.004222,-0.348631
2552000000.0,-8.7e-05,-0.33638
2555500000.0,-0.010293,-0.327688
2559000000.0,-0.010958,-0.313927
2562500000.0,-0.002304,-0.305252
2566000000.0,-0.006798,-0.292864
2569500000.0,-0.019349,-0.280994
2573000000.0,-0.005669,-0.274081
2576500000.0,-0.004346,-0.264163
2580000000.0,-0.000636,-0.255777
2583500000.0,-0.00253,-0.247693
2587000000.0,0.003895,-0.235375
2590500000.0,0.005036,-0.226276
2594000000.0,0.009353,-0.219714
2597500000.0,0.016887,-0.212168
2601000000.0,0.019939,-0.20707
2604500000.0,0.02447,-0.200184
2608000000.0,0.029543,-0.192858
2611500000.0,0.031487,-0.185537
2615000000.0,0.038658,-0.181065
2618500000.0,0.040481,-0.175832
2622000000.0,0.047179,-0.170965
2625500000.0,0.056865,-0.16477
2629000000.0,0.056912,-0.162022
2632500000.0,0.069639,-0.156884
2636000000.0,0.073563,-0.151013
2639500000.0,0.083027,-0.149174
2643000000.0,0.08453,-0.144639
2646500000.0,0.096861,-0.138062
2650000000.0,0.10068,-0.138183
2653500000.0,0.107989,-0.135442
2657000000.0,0.116485,-0.129262
2660500000.0,0.123269,-0.13071
2664000000.0,0.129416,-0.130259
2667500000.0,0.13388,-0.128649
2671000000.0,0.146398,-0.124364
2674500000.0,0.153966,-0.125391
2678000000.0,0.162192,-0.129046
2681500000.0,0.171667,-0.124273
2685000000.0,0.178053,-0.12877
2688500000.0,0.184102,-0.126739
2692000000.0,0.196468,-0.123601
2695500000.0,0.202834,-0.126978
2699000000.0,0.21098,-0.135037
2702500000.0,0.216135,-0.14151
2706000000.0,0.230848,-0.140502
2709500000.0,0.236211,-0.144723
2713000000.0,0.248293,-0.144419
2716500000.0,0.265525,-0.135789
2720000000.0,0.264306,-0.160416
2723500000.0,0.276822,-0.172507
2727000000.0,0.276921,-0.180747
2730500000.0,0.288455,-0.186296
2734000000.0,0.296845,-0.189892
