Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.478699,0.658478
2204000000.0,0.518481,0.626942
2208000000.0,0.5354,0.617479
2212000000.0,0.581135,0.594405
2216000000.0,0.608204,0.558387
2220000000.0,0.638038,0.54169
2224000000.0,0.654667,0.516361
2228000000.0,0.687707,0.483241
2232000000.0,0.71272,0.446366
2236000000.0,0.748738,0.421363
2240000000.0,0.758678,0.388612
2244000000.0,0.791649,0.352438
2248000000.0,0.805208,0.312288
2252000000.0,0.826945,0.289051
2256000000.0,0.83805,0.245585
2260000000.0,0.848776,0.203759
2264000000.0,0.877154,0.166181
2268000000.0,0.892694,0.133715
2272000000.0,0.902933,0.089008
2276000000.0,0.905553,0.044471
2280000000.0,0.911331,0.002996
2284000000.0,0.930667,-0.047375
2288000000.0,0.924911,-0.082813
2292000000.0,0.939067,-0.136486
2296000000.0,0.923486,-0.191783
2300000000.0,0.926456,-0.230084
2304000000.0,0.914751,-0.233567
2308000000.0,0.921132,-0.25669
2312000000.0,0.92903,-0.282326
2316000000.0,0.927726,-0.289803
2320000000.0,0.913404,-0.296034
2324000000.0,0.904826,-0.316839
2328000000.0,0.903284,-0.329372
2332000000.0,0.894646,-0.329896
2336000000.0,0.892651,-0.356208
2340000000.0,0.883372,-0.378263
2344000000.0,0.884627,-0.37935
2348000000.0,0.873175,-0.399807
2352000000.0,0.870983,-0.400182
2356000000.0,0.859188,-0.41871
2360000000.0,0.841048,-0.449027
2364000000.0,0.853105,-0.436128
2368000000.0,0.842157,-0.450726
2372000000.0,0.830216,-0.472971
2376000000.0,0.814727,-0.479278
2380000000.0,0.819705,-0.48037
2384000000.0,0.817503,-0.48574
2388000000.0,0.787489,-0.508984
2392000000.0,0.785404,-0.516313
2396000000.0,0.772733,-0.532599
2400000000.0,0.767523,-0.535573
2404000000.0,0.74306,-0.561202
2408000000.0,0.736752,-0.56648
2412000000.0,0.733737,-0.548784
2416000000.0,0.735272,-0.563193
2420000000.0,0.716682,-0.571376
2424000000.0,0.697981,-0.59651
2428000000.0,0.697364,-0.585711
2432000000.0,0.691128,-0.589484
2436000000.0,0.683539,-0.597131
2440000000.0,0.666643,-0.618971
2444000000.0,0.672553,-0.607991
2448000000.0,0.66582,-0.630286
2452000000.0,0.640943,-0.655003
2456000000.0,0.633068,-0.642134
2460000000.0,0.634228,-0.66124
2464000000.0,0.622581,-0.666377
2468000000.0,0.617209,-0.672686
2472000000.0,0.616854,-0.688372
2476000000.0,0.589461,-0.683952
2480000000.0,0.608034,-0.679242
2484000000.0,0.578971,-0.704097
2488000000.0,0.574018,-0.705746
2492000000.0,0.561552,-0.730903
2496000000.0,0.562605,-0.728867
2500000000.0,0.549724,-0.752144
2504000000.0,0.539386,-0.749849
2508000000.0,0.53484,-0.740959
2512000000.0,0.522782,-0.761866
2516000000.0,0.506976,-0.762187
2520000000.0,0.49791,-0.78064
2524000000.0,0.489664,-0.7916
2528000000.0,0.463591,-0.790267
2532000000.0,0.47415,-0.791923
2536000000.0,0.441358,-0.813155
2540000000.0,0.443642,-0.80988
2544000000.0,0.420323,-0.821345
2548000000.0,0.425671,-0.813262
2552000000.0,0.387094,-0.826836
2556000000.0,0.3844,-0.8256
2560000000.0,0.372624,-0.833186
2564000000.0,0.358424,-0.844362
2568000000.0,0.359134,-0.842091
2572000000.0,0.333542,-0.849191
2576000000.0,0.319697,-0.859602
2580000000.0,0.309277,-0.857879
2584000000.0,0.32156,-0.858192
2588000000.0,0.275741,-0.864005
2592000000.0,0.259692,-0.876982
2596000000.0,0.258559,-0.882804
2600000000.0,0.255895,-0.87754
2604000000.0,0.225039,-0.891368
2608000000.0,0.20063,-0.899999
2612000000.0,0.203465,-0.905964
2616000000.0,0.183785,-0.908793
2620000000.0,0.171338,-0.903617
2624000000.0,0.154191,-0.915467
2628000000.0,0.157294,-0.910048
2632000000.0,0.143172,-0.927406
2636000000.0,0.091607,-0.928737
2640000000.0,0.114583,-0.926062
2644000000.0,0.085612,-0.939382
2648000000.0,0.050598,-0.929211
2652000000.0,0.047163,-0.928631
2656000000.0,0.034618,-0.932824
2660000000.0,0.024248,-0.934455
2664000000.0,-0.027674,-0.923244
