Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.613759,0.374329
2204000000.0,0.629109,0.333717
2208000000.0,0.645699,0.297048
2212000000.0,0.672848,0.263728
2216000000.0,0.672582,0.224601
2220000000.0,0.686815,0.185696
2224000000.0,0.696817,0.132458
2228000000.0,0.699196,0.092173
2232000000.0,0.699828,0.069923
2236000000.0,0.692547,0.012459
2240000000.0,0.69208,-0.030247
2244000000.0,0.691687,-0.076368
2248000000.0,0.671973,-0.12398
2252000000.0,0.653959,-0.171348
2256000000.0,0.632581,-0.211039
2260000000.0,0.604179,-0.242953
2264000000.0,0.583644,-0.279384
2268000000.0,0.554143,-0.319915
2272000000.0,0.519176,-0.341855
2276000000.0,0.475173,-0.374409
2280000000.0,0.43802,-0.39082
2284000000.0,0.39856,-0.408226
2288000000.0,0.353156,-0.414725
2292000000.0,0.313623,-0.42407
2296000000.0,0.276582,-0.421712
2300000000.0,0.245164,-0.417483
2304000000.0,0.221326,-0.396704
2308000000.0,0.203423,-0.384038
2312000000.0,0.192593,-0.359791
2316000000.0,0.178804,-0.334087
2320000000.0,0.171862,-0.309744
2324000000.0,0.16562,-0.282734
2328000000.0,0.163876,-0.262306
2332000000.0,0.164305,-0.236023
2336000000.0,0.167496,-0.218497
2340000000.0,0.175146,-0.198669
2344000000.0,0.178992,-0.18482
2348000000.0,0.185799,-0.170935
2352000000.0,0.193427,-0.159835
2356000000.0,0.205407,-0.147725
2360000000.0,0.214308,-0.14022
2364000000.0,0.223984,-0.133639
2368000000.0,0.234045,-0.125864
2372000000.0,0.244924,-0.125932
2376000000.0,0.255391,-0.122119
2380000000.0,0.264632,-0.122389
2384000000.0,0.276155,-0.122396
2388000000.0,0.279213,-0.128341
2392000000.0,0.286973,-0.135121
2396000000.0,0.289256,-0.136351
2400000000.0,0.292928,-0.147545
2404000000.0,0.302461,-0.141256
2408000000.0,0.298025,-0.159236
2412000000.0,0.291331,-0.167167
2416000000.0,0.292356,-0.177761
2420000000.0,0.283788,-0.181075
2424000000.0,0.274634,-0.193931
2428000000.0,0.266537,-0.192094
2432000000.0,0.256754,-0.196704
2436000000.0,0.248886,-0.194565
2440000000.0,0.23207,-0.1968
2444000000.0,0.223226,-0.191808
2448000000.0,0.21082,-0.190786
2452000000.0,0.200899,-0.181855
2456000000.0,0.186561,-0.175564
2460000000.0,0.178231,-0.16447
2464000000.0,0.175519,-0.146477
2468000000.0,0.166745,-0.134544
2472000000.0,0.163098,-0.123601
2476000000.0,0.157387,-0.106751
2480000000.0,0.15934,-0.089323
2484000000.0,0.155199,-0.079885
2488000000.0,0.161365,-0.061337
2492000000.0,0.163909,-0.047578
2496000000.0,0.170702,-0.034701
2500000000.0,0.179119,-0.02167
2504000000.0,0.184915,-0.007279
2508000000.0,0.194757,0.006748
2512000000.0,0.205199,0.018538
2516000000.0,0.213831,0.025726
2520000000.0,0.228326,0.035098
2524000000.0,0.244647,0.045679
2528000000.0,0.253672,0.058302
2532000000.0,0.269018,0.060077
2536000000.0,0.281831,0.062809
2540000000.0,0.29591,0.066007
2544000000.0,0.314302,0.076291
2548000000.0,0.325594,0.072786
2552000000.0,0.3447,0.071679
2556000000.0,0.360436,0.074717
2560000000.0,0.379512,0.078406
2564000000.0,0.398433,0.083015
2568000000.0,0.414509,0.072099
2572000000.0,0.436104,0.072164
2576000000.0,0.455056,0.063027
2580000000.0,0.467064,0.051135
2584000000.0,0.490494,0.052374
2588000000.0,0.49667,0.03453
2592000000.0,0.516704,0.014208
2596000000.0,0.533009,0.007634
2600000000.0,0.537958,-0.018666
2604000000.0,0.546212,-0.03059
2608000000.0,0.563444,-0.047515
2612000000.0,0.571224,-0.058846
2616000000.0,0.575583,-0.070128
2620000000.0,0.580594,-0.082959
2624000000.0,0.586677,-0.09701
2628000000.0,0.585273,-0.10335
2632000000.0,0.60252,-0.111039
2636000000.0,0.608123,-0.134096
2640000000.0,0.622776,-0.12575
2644000000.0,0.635072,-0.155742
2648000000.0,0.637337,-0.171296
2652000000.0,0.64874,-0.191886
2656000000.0,0.662677,-0.203261
2660000000.0,0.667672,-0.2432
2664000000.0,0.666211,-0.268438
2668000000.0,0.674891,-0.285395
2672000000.0,0.675894,-0.300078
2676000000.0,0.670322,-0.337291
2680000000.0,0.669529,-0.364236
2684000000.0,0.671803,-0.363587
2688000000.0,0.660323,-0.39854
2692000000.0,0.644531,-0.43107
2696000000.0,0.650286,-0.436356
2700000000.0,0.63609,-0.46156
2704000000.0,0.62063,-0.480716
2708000000.0,0.601842,-0.510075
2712000000.0,0.584245,-0.523137
2716000000.0,0.57586,-0.537893
2720000000.0,0.545893,-0.558119
2724000000.0,0.539519,-0.570131
2728000000.0,0.520094,-0.588709
2732000000.0,0.501034,-0.606329
2736000000.0,0.477127,-0.613726
2740000000.0,0.455368,-0.635019
2744000000.0,0.448596,-0.625846
2748000000.0,0.429605,-0.636574
2752000000.0,0.408156,-0.645405
2756000000.0,0.386982,-0.658689
2760000000.0,0.38212,-0.655701
2764000000.0,0.360824,-0.651182
2768000000.0,0.365892,-0.664456
2772000000.0,0.343263,-0.664353
2776000000.0,0.32229,-0.669544
2780000000.0,0.297593,-0.670543
2784000000.0,0.275317,-0.661168
2788000000.0,0.252566,-0.67721
2792000000.0,0.228837,-0.66277
2796000000.0,0.210833,-0.663923
2800000000.0,0.189534,-0.658872
2804000000.0,0.169573,-0.662289
2808000000.0,0.155493,-0.66047
2812000000.0,0.145386,-0.638604
2816000000.0,0.11862,-0.642559
2820000000.0,0.100446,-0.633373
2824000000.0,0.075573,-0.624693
2828000000.0,0.076106,-0.604183
2832000000.0,0.046979,-0.608263
2836000000.0,0.037895,-0.584213
2840000000.0,0.036096,-0.568767
2844000000.0,0.029494,-0.554353
2848000000.0,-0.000988,-0.534222
2852000000.0,0.009099,-0.509947
2856000000.0,0.010327,-0.494599
2860000000.0,0.012553,-0.485792
2864000000.0,0.021482,-0.467098
2868000000.0,0.033205,-0.451363
2872000000.0,0.036824,-0.441062
2876000000.0,0.049557,-0.432803
2880000000.0,0.046699,-0.425114
2884000000.0,0.058204,-0.41475
2888000000.0,0.081071,-0.410398
2892000000.0,0.092168,-0.410587
2896000000.0,0.095828,-0.412659
2900000000.0,0.103714,-0.412287
2904000000.0,0.114423,-0.412329
2908000000.0,0.120482,-0.417932
2912000000.0,0.138252,-0.422434
2916000000.0,0.13718,-0.428804
2920000000.0,0.152463,-0.430351
2924000000.0,0.154774,-0.439874
2928000000.0,0.152502,-0.450016
2932000000.0,0.168532,-0.464652
2936000000.0,0.162103,-0.469027
2940000000.0,0.16692,-0.476731
2944000000.0,0.176052,-0.483335
2948000000.0,0.17439,-0.494847
2952000000.0,0.164117,-0.507157
2956000000.0,0.167282,-0.516616
2960000000.0,0.167052,-0.52857
2964000000.0,0.158944,-0.537799
2968000000.0,0.14696,-0.548157
2972000000.0,0.142261,-0.557569
2976000000.0,0.137332,-0.565941
2980000000.0,0.144839,-0.570397
2984000000.0,0.128102,-0.585203
2988000000.0,0.125371,-0.591409
2992000000.0,0.090993,-0.604703
2996000000.0,0.091411,-0.61074
3000000000.0,0.076565,-0.616554
