Freq (Hz),Real Part,Imaginary Part
2200000000.0,0.58787,0.451603
2204000000.0,0.623853,0.420911
2208000000.0,0.640184,0.388475
2212000000.0,0.67155,0.362167
2216000000.0,0.69203,0.310891
2220000000.0,0.705054,0.28832
2224000000.0,0.708036,0.242533
2228000000.0,0.725273,0.206367
2232000000.0,0.735061,0.169947
2236000000.0,0.755561,0.128686
2240000000.0,0.755279,0.085476
2244000000.0,0.766892,0.042306
2248000000.0,0.761873,0.000876
2252000000.0,0.767537,-0.037128
2256000000.0,0.761618,-0.089325
2260000000.0,0.768404,-0.131289
2264000000.0,0.750979,-0.176687
2268000000.0,0.747308,-0.221099
2272000000.0,0.733547,-0.260274
2276000000.0,0.715479,-0.30737
2280000000.0,0.697109,-0.353567
2284000000.0,0.675937,-0.399299
2288000000.0,0.643178,-0.442805
2292000000.0,0.623392,-0.480399
2296000000.0,0.591345,-0.514143
2300000000.0,0.544013,-0.554669
2304000000.0,0.522907,-0.557804
2308000000.0,0.503735,-0.581962
2312000000.0,0.4734,-0.594453
2316000000.0,0.437753,-0.598968
2320000000.0,0.412581,-0.598035
2324000000.0,0.378005,-0.599068
2328000000.0,0.358043,-0.603971
2332000000.0,0.332459,-0.585644
2336000000.0,0.290356,-0.593255
2340000000.0,0.275899,-0.58235
2344000000.0,0.240923,-0.567473
2348000000.0,0.207884,-0.564966
2352000000.0,0.184045,-0.547387
2356000000.0,0.167562,-0.534379
2360000000.0,0.139831,-0.510454
2364000000.0,0.123475,-0.487334
2368000000.0,0.1127,-0.472794
2372000000.0,0.088574,-0.452004
2376000000.0,0.086077,-0.430355
2380000000.0,0.071633,-0.409626
2384000000.0,0.06392,-0.387578
2388000000.0,0.054695,-0.359271
2392000000.0,0.056277,-0.342771
2396000000.0,0.049439,-0.320708
2400000000.0,0.048882,-0.301222
2404000000.0,0.05254,-0.281049
2408000000.0,0.054072,-0.265213
2412000000.0,0.057819,-0.245188
2416000000.0,0.066043,-0.231827
2420000000.0,0.072959,-0.217288
2424000000.0,0.078737,-0.20966
2428000000.0,0.085782,-0.196135
2432000000.0,0.094051,-0.188471
2436000000.0,0.106168,-0.180913
2440000000.0,0.109881,-0.176924
2444000000.0,0.118976,-0.173528
2448000000.0,0.125615,-0.172478
2452000000.0,0.126993,-0.173386
2456000000.0,0.135543,-0.172052
2460000000.0,0.137915,-0.171545
2464000000.0,0.140932,-0.172205
2468000000.0,0.137753,-0.17428
2472000000.0,0.138923,-0.178636
2476000000.0,0.134704,-0.172818
2480000000.0,0.131189,-0.173432
2484000000.0,0.127688,-0.170016
2488000000.0,0.120615,-0.167741
2492000000.0,0.116484,-0.162563
2496000000.0,0.113342,-0.155511
2500000000.0,0.103817,-0.148133
2504000000.0,0.10697,-0.137503
2508000000.0,0.101511,-0.127587
2512000000.0,0.101331,-0.118651
2516000000.0,0.102055,-0.103948
2520000000.0,0.100905,-0.095211
2524000000.0,0.103177,-0.085332
2528000000.0,0.107244,-0.068125
2532000000.0,0.114746,-0.052782
2536000000.0,0.117494,-0.044107
2540000000.0,0.12401,-0.032232
2544000000.0,0.132806,-0.020506
2548000000.0,0.141982,-0.009909
2552000000.0,0.148145,-0.002117
2556000000.0,0.158206,0.009584
2560000000.0,0.169745,0.023442
2564000000.0,0.18288,0.031954
2568000000.0,0.197454,0.039185
2572000000.0,0.211931,0.047665
2576000000.0,0.22675,0.048588
2580000000.0,0.241873,0.057737
2584000000.0,0.261049,0.06703
2588000000.0,0.276823,0.067005
2592000000.0,0.299834,0.072245
2596000000.0,0.321018,0.070142
2600000000.0,0.338826,0.071613
2604000000.0,0.35927,0.063786
2608000000.0,0.385507,0.065224
2612000000.0,0.405726,0.055757
2616000000.0,0.428061,0.051474
2620000000.0,0.446546,0.039701
2624000000.0,0.470949,0.036004
2628000000.0,0.484652,0.023024
2632000000.0,0.515829,0.00529
2636000000.0,0.530185,-0.010632
2640000000.0,0.554664,-0.012782
2644000000.0,0.567761,-0.060288
2648000000.0,0.5866,-0.077048
2652000000.0,0.597288,-0.094746
2656000000.0,0.611832,-0.126753
2660000000.0,0.621082,-0.156873
2664000000.0,0.619936,-0.18998
2668000000.0,0.624811,-0.219737
2672000000.0,0.63146,-0.238851
2676000000.0,0.61843,-0.294327
2680000000.0,0.62016,-0.30688
2684000000.0,0.622215,-0.326074
2688000000.0,0.610779,-0.360599
2692000000.0,0.594505,-0.389089
2696000000.0,0.587013,-0.422379
2700000000.0,0.589607,-0.427438
2704000000.0,0.551578,-0.464103
2708000000.0,0.526697,-0.495364
2712000000.0,0.500971,-0.516124
2716000000.0,0.484059,-0.528561
2720000000.0,0.456194,-0.54132
2724000000.0,0.444442,-0.549681
2728000000.0,0.397011,-0.563492
2732000000.0,0.384291,-0.569907
2736000000.0,0.357602,-0.582569
2740000000.0,0.322411,-0.594538
2744000000.0,0.298944,-0.592732
2748000000.0,0.280046,-0.588269
2752000000.0,0.253254,-0.586474
2756000000.0,0.222863,-0.584522
2760000000.0,0.19605,-0.57154
2764000000.0,0.180195,-0.565546
2768000000.0,0.176657,-0.547185
2772000000.0,0.153667,-0.5365
2776000000.0,0.125508,-0.519069
2780000000.0,0.113701,-0.503926
2784000000.0,0.107607,-0.475249
2788000000.0,0.094233,-0.457325
2792000000.0,0.067431,-0.437778
2796000000.0,0.086823,-0.415864
2800000000.0,0.087317,-0.395777
2804000000.0,0.088378,-0.384242
2808000000.0,0.094662,-0.37422
2812000000.0,0.099181,-0.357654
2816000000.0,0.101168,-0.347447
2820000000.0,0.114656,-0.338063
2824000000.0,0.126537,-0.33565
2828000000.0,0.136966,-0.32821
2832000000.0,0.146092,-0.330292
2836000000.0,0.175578,-0.318434
2840000000.0,0.168799,-0.323424
2844000000.0,0.177116,-0.326699
2848000000.0,0.174125,-0.333426
2852000000.0,0.180725,-0.334612
2856000000.0,0.196095,-0.333404
2860000000.0,0.197786,-0.344454
2864000000.0,0.204021,-0.346137
2868000000.0,0.21179,-0.348121
2872000000.0,0.215479,-0.355941
2876000000.0,0.223633,-0.364455
2880000000.0,0.220515,-0.371295
2884000000.0,0.226299,-0.370683
2888000000.0,0.237593,-0.376225
2892000000.0,0.236969,-0.387608
2896000000.0,0.231336,-0.398166
2900000000.0,0.234707,-0.407364
2904000000.0,0.239117,-0.409457
2908000000.0,0.241554,-0.418553
2912000000.0,0.235622,-0.430482
2916000000.0,0.23495,-0.437383
2920000000.0,0.241618,-0.440803
2924000000.0,0.241546,-0.44886
2928000000.0,0.23747,-0.460573
2932000000.0,0.236432,-0.4731
2936000000.0,0.228575,-0.483197
2940000000.0,0.227067,-0.492418
2944000000.0,0.227018,-0.499262
2948000000.0,0.221718,-0.507622
2952000000.0,0.219238,-0.51598
2956000000.0,0.208573,-0.532103
2960000000.0,0.206142,-0.536278
2964000000.0,0.204723,-0.543893
2968000000.0,0.196605,-0.55359
2972000000.0,0.181429,-0.564554
2976000000.0,0.169612,-0.56972
2980000000.0,0.173444,-0.575256
2984000000.0,0.158439,-0.590865
2988000000.0,0.150119,-0.597907
2992000000.0,0.120277,-0.605617
2996000000.0,0.116272,-0.610208
3000000000.0,0.112186,-0.614799
