Freq (Hz),Real Part,Imaginary Part
2300000000.0,0.939479,-0.206624
2302000000.0,0.932427,-0.195725
2304000000.0,0.931585,-0.214423
2306000000.0,0.926405,-0.21236
2308000000.0,0.922359,-0.236961
2310000000.0,0.923856,-0.222868
2312000000.0,0.937933,-0.228005
2314000000.0,0.921147,-0.245295
2316000000.0,0.919433,-0.256541
2318000000.0,0.916466,-0.273279
2320000000.0,0.918038,-0.266773
2322000000.0,0.91808,-0.25756
2324000000.0,0.90994,-0.305456
2326000000.0,0.913101,-0.29667
2328000000.0,0.914312,-0.291508
2330000000.0,0.903444,-0.313587
2332000000.0,0.908297,-0.31942
2334000000.0,0.899839,-0.319686
2336000000.0,0.914269,-0.315615
2338000000.0,0.905404,-0.3399
2340000000.0,0.888297,-0.366369
2342000000.0,0.903925,-0.322693
2344000000.0,0.896709,-0.35961
2346000000.0,0.881118,-0.372446
2348000000.0,0.893102,-0.360158
2350000000.0,0.880504,-0.388189
2352000000.0,0.885715,-0.372463
2354000000.0,0.880593,-0.381969
2356000000.0,0.866336,-0.388013
2358000000.0,0.877084,-0.40945
2360000000.0,0.87646,-0.389514
2362000000.0,0.85523,-0.418687
2364000000.0,0.865467,-0.406427
2366000000.0,0.85178,-0.425903
2368000000.0,0.852932,-0.431687
2370000000.0,0.854579,-0.426844
2372000000.0,0.829139,-0.471687
2374000000.0,0.844491,-0.439921
2376000000.0,0.841262,-0.451119
2378000000.0,0.824976,-0.459286
2380000000.0,0.82993,-0.457464
2382000000.0,0.821216,-0.480035
2384000000.0,0.820934,-0.466931
2386000000.0,0.811488,-0.463961
2388000000.0,0.800251,-0.495965
2390000000.0,0.806808,-0.494049
2392000000.0,0.796457,-0.489444
2394000000.0,0.796638,-0.498757
2396000000.0,0.802789,-0.498048
2398000000.0,0.787479,-0.515246
2400000000.0,0.786818,-0.514265
2402000000.0,0.779613,-0.513722
2404000000.0,0.770846,-0.532328
2406000000.0,0.767455,-0.526508
2408000000.0,0.765755,-0.530854
2410000000.0,0.756742,-0.550067
2412000000.0,0.741874,-0.55703
2414000000.0,0.748392,-0.546485
2416000000.0,0.758621,-0.534
