Freq (Hz),Real Part,Imaginary Part
2300000000.0,0.592491,-0.55588
2302000000.0,0.58528,-0.565987
2304000000.0,0.571495,-0.571161
2306000000.0,0.549674,-0.586208
2308000000.0,0.541106,-0.595692
2310000000.0,0.528398,-0.597922
2312000000.0,0.505895,-0.602764
2314000000.0,0.512132,-0.597363
2316000000.0,0.486044,-0.605249
2318000000.0,0.481939,-0.610754
2320000000.0,0.466737,-0.606122
2322000000.0,0.445631,-0.617665
2324000000.0,0.432546,-0.6165
2326000000.0,0.417766,-0.621103
2328000000.0,0.397515,-0.627529
2330000000.0,0.3876,-0.623079
2332000000.0,0.360216,-0.618046
2334000000.0,0.349444,-0.619672
2336000000.0,0.352038,-0.614303
2338000000.0,0.321762,-0.619986
2340000000.0,0.318076,-0.608356
2342000000.0,0.286813,-0.609917
2344000000.0,0.278048,-0.608923
2346000000.0,0.272962,-0.594096
2348000000.0,0.248874,-0.594971
2350000000.0,0.235651,-0.593414
2352000000.0,0.222526,-0.589602
2354000000.0,0.210149,-0.577797
2356000000.0,0.202373,-0.568644
2358000000.0,0.189478,-0.562496
2360000000.0,0.170293,-0.556961
2362000000.0,0.165399,-0.544216
2364000000.0,0.153098,-0.535301
2366000000.0,0.140868,-0.534296
2368000000.0,0.134085,-0.519819
2370000000.0,0.120551,-0.51282
2372000000.0,0.122477,-0.498459
2374000000.0,0.100826,-0.488445
2376000000.0,0.098459,-0.485322
2378000000.0,0.089833,-0.467445
2380000000.0,0.079512,-0.46376
2382000000.0,0.087661,-0.448526
2384000000.0,0.082197,-0.435678
2386000000.0,0.065094,-0.42975
2388000000.0,0.07798,-0.412857
2390000000.0,0.044079,-0.408746
2392000000.0,0.050186,-0.390896
2394000000.0,0.054582,-0.386832
2396000000.0,0.047733,-0.377298
2398000000.0,0.049052,-0.363026
2400000000.0,0.046634,-0.35945
2402000000.0,0.036178,-0.343218
2404000000.0,0.04956,-0.333822
2406000000.0,0.041211,-0.325365
2408000000.0,0.043764,-0.318302
2410000000.0,0.046115,-0.304498
2412000000.0,0.04298,-0.295701
2414000000.0,0.048265,-0.28876
2416000000.0,0.050759,-0.279066
2418000000.0,0.038522,-0.270717
2420000000.0,0.051585,-0.262985
2422000000.0,0.046758,-0.255376
2424000000.0,0.052428,-0.250243
2426000000.0,0.057257,-0.241159
2428000000.0,0.061707,-0.234149
2430000000.0,0.061823,-0.228882
2432000000.0,0.067156,-0.222996
2434000000.0,0.068877,-0.215581
2436000000.0,0.077013,-0.21057
2438000000.0,0.079645,-0.204255
2440000000.0,0.082231,-0.204595
2442000000.0,0.089934,-0.197573
2444000000.0,0.088212,-0.196727
2446000000.0,0.094514,-0.192021
2448000000.0,0.101448,-0.187277
2450000000.0,0.102556,-0.189148
2452000000.0,0.108875,-0.180012
2454000000.0,0.106746,-0.184668
2456000000.0,0.110928,-0.181861
2458000000.0,0.119558,-0.181348
2460000000.0,0.114193,-0.181213
2462000000.0,0.119353,-0.182802
2464000000.0,0.12312,-0.182478
2466000000.0,0.124925,-0.180168
2468000000.0,0.127436,-0.180148
2470000000.0,0.124404,-0.179539
2472000000.0,0.128043,-0.182678
2474000000.0,0.126034,-0.180354
2476000000.0,0.127166,-0.182321
2478000000.0,0.123489,-0.180919
2480000000.0,0.127345,-0.178902
2482000000.0,0.122949,-0.180881
2484000000.0,0.128343,-0.174763
2486000000.0,0.11966,-0.177112
2488000000.0,0.122956,-0.173691
2490000000.0,0.119088,-0.176419
2492000000.0,0.11621,-0.172545
2494000000.0,0.115289,-0.171459
2496000000.0,0.11594,-0.167727
2498000000.0,0.109539,-0.166914
2500000000.0,0.105648,-0.162961
2502000000.0,0.104171,-0.161667
2504000000.0,0.100146,-0.161234
2506000000.0,0.102574,-0.158737
2508000000.0,0.0972,-0.151948
2510000000.0,0.098338,-0.146637
2512000000.0,0.10051,-0.140007
2514000000.0,0.097384,-0.137778
2516000000.0,0.09657,-0.132348
2518000000.0,0.097428,-0.125868
2520000000.0,0.095109,-0.121755
2522000000.0,0.09612,-0.114267
2524000000.0,0.09736,-0.106099
2526000000.0,0.097774,-0.103887
2528000000.0,0.095683,-0.099797
2530000000.0,0.099358,-0.091593
2532000000.0,0.098908,-0.087594
2534000000.0,0.099448,-0.079731
2536000000.0,0.104756,-0.072508
2538000000.0,0.104391,-0.069105
2540000000.0,0.106404,-0.064825
2542000000.0,0.110129,-0.057361
2544000000.0,0.112187,-0.052725
2546000000.0,0.116863,-0.044824
2548000000.0,0.119359,-0.040154
2550000000.0,0.124345,-0.032438
2552000000.0,0.127852,-0.028269
2554000000.0,0.13124,-0.020236
2556000000.0,0.136006,-0.015478
2558000000.0,0.141072,-0.011734
2560000000.0,0.146471,-0.004319
2562000000.0,0.151828,-6e-06
2564000000.0,0.157809,0.007687
2566000000.0,0.162962,0.009538
2568000000.0,0.168817,0.014634
2570000000.0,0.175469,0.02084
2572000000.0,0.184769,0.020789
2574000000.0,0.189484,0.028031
2576000000.0,0.195181,0.032432
2578000000.0,0.200121,0.037349
2580000000.0,0.209848,0.044239
2582000000.0,0.216882,0.044446
2584000000.0,0.22602,0.049598
2586000000.0,0.234509,0.045867
2588000000.0,0.244607,0.049425
2590000000.0,0.250188,0.055976
2592000000.0,0.25893,0.06419
2594000000.0,0.272551,0.06226
2596000000.0,0.281904,0.063193
2598000000.0,0.291348,0.065312
2600000000.0,0.298708,0.066534
2602000000.0,0.311237,0.066291
2604000000.0,0.319322,0.063817
2606000000.0,0.331421,0.069587
2608000000.0,0.347364,0.062339
2610000000.0,0.351766,0.065768
2612000000.0,0.365439,0.069102
2614000000.0,0.373853,0.068315
2616000000.0,0.388389,0.058329
2618000000.0,0.398947,0.054355
2620000000.0,0.403252,0.062219
2622000000.0,0.4212,0.047923
2624000000.0,0.431513,0.048634
2626000000.0,0.441522,0.034643
2628000000.0,0.454671,0.03578
2630000000.0,0.464867,0.020967
2632000000.0,0.481178,0.019195
2634000000.0,0.482192,0.015556
2636000000.0,0.5029,0.003526
2638000000.0,0.505208,-0.003091
