Freq (Hz),Real Part,Imaginary Part
2300000000.0,0.925779,-0.205978
2302000000.0,0.925803,-0.227039
2304000000.0,0.930652,-0.22049
2306000000.0,0.929884,-0.223763
2308000000.0,0.932251,-0.225238
2310000000.0,0.916611,-0.250292
2312000000.0,0.920046,-0.244432
2314000000.0,0.915709,-0.245713
2316000000.0,0.920858,-0.258823
2318000000.0,0.919684,-0.264019
2320000000.0,0.926231,-0.272459
2322000000.0,0.915654,-0.28029
2324000000.0,0.916538,-0.269161
2326000000.0,0.900357,-0.314528
2328000000.0,0.914252,-0.29478
2330000000.0,0.916952,-0.30149
2332000000.0,0.903448,-0.315353
2334000000.0,0.902824,-0.330908
2336000000.0,0.917177,-0.300205
2338000000.0,0.901665,-0.337361
2340000000.0,0.893052,-0.322321
2342000000.0,0.879871,-0.354723
2344000000.0,0.881721,-0.352456
2346000000.0,0.886385,-0.349755
2348000000.0,0.889241,-0.369228
2350000000.0,0.881274,-0.381538
2352000000.0,0.875004,-0.386366
2354000000.0,0.872316,-0.401233
2356000000.0,0.878967,-0.399398
2358000000.0,0.861951,-0.413985
2360000000.0,0.869831,-0.402383
2362000000.0,0.861749,-0.403517
2364000000.0,0.860858,-0.413906
2366000000.0,0.850193,-0.411142
2368000000.0,0.84116,-0.439229
2370000000.0,0.850324,-0.434047
2372000000.0,0.841765,-0.43218
2374000000.0,0.831215,-0.457444
2376000000.0,0.828717,-0.46757
2378000000.0,0.83137,-0.460978
2380000000.0,0.822385,-0.471354
2382000000.0,0.82132,-0.470436
2384000000.0,0.810099,-0.492158
2386000000.0,0.813016,-0.47715
2388000000.0,0.789298,-0.501166
2390000000.0,0.800032,-0.491024
2392000000.0,0.794898,-0.499432
2394000000.0,0.795859,-0.498172
2396000000.0,0.780832,-0.516993
2398000000.0,0.780584,-0.510796
2400000000.0,0.76789,-0.529367
2402000000.0,0.778007,-0.518894
2404000000.0,0.787768,-0.504464
2406000000.0,0.756508,-0.553167
2408000000.0,0.751824,-0.545352
2410000000.0,0.765651,-0.530976
2412000000.0,0.752041,-0.540882
2414000000.0,0.745899,-0.546416
2416000000.0,0.744103,-0.54849
2418000000.0,0.741746,-0.560573
2420000000.0,0.751336,-0.543657
2422000000.0,0.722364,-0.576649
2424000000.0,0.727126,-0.566295
2426000000.0,0.730879,-0.564978
2428000000.0,0.710199,-0.573798
2430000000.0,0.712331,-0.58307
2432000000.0,0.717327,-0.578894
2434000000.0,0.702205,-0.588791
2436000000.0,0.713996,-0.570578
2438000000.0,0.682998,-0.610778
2440000000.0,0.690041,-0.595587
2442000000.0,0.698908,-0.592841
2444000000.0,0.681652,-0.608573
2446000000.0,0.67999,-0.610555
2448000000.0,0.686213,-0.616691
2450000000.0,0.687324,-0.601835
2452000000.0,0.67163,-0.610186
2454000000.0,0.673325,-0.614111
2456000000.0,0.654235,-0.64107
2458000000.0,0.648387,-0.630893
2460000000.0,0.644687,-0.637396
2462000000.0,0.635187,-0.65488
2464000000.0,0.64984,-0.642474
2466000000.0,0.638604,-0.657432
2468000000.0,0.657549,-0.651422
2470000000.0,0.631835,-0.663826
2472000000.0,0.632801,-0.660367
2474000000.0,0.615825,-0.672725
2476000000.0,0.60228,-0.67884
2478000000.0,0.621015,-0.673528
2480000000.0,0.622564,-0.682618
2482000000.0,0.59444,-0.682958
2484000000.0,0.616431,-0.686987
2486000000.0,0.597401,-0.7018
2488000000.0,0.586025,-0.686209
2490000000.0,0.60239,-0.701186
2492000000.0,0.58319,-0.715389
2494000000.0,0.581563,-0.708309
2496000000.0,0.566085,-0.725108
2498000000.0,0.570771,-0.724184
2500000000.0,0.583241,-0.726396
2502000000.0,0.565077,-0.729848
2504000000.0,0.554804,-0.740549
2506000000.0,0.557091,-0.741008
2508000000.0,0.543578,-0.739703
2510000000.0,0.547485,-0.73659
2512000000.0,0.52679,-0.769985
2514000000.0,0.541825,-0.746503
2516000000.0,0.520299,-0.754247
2518000000.0,0.523976,-0.765881
2520000000.0,0.506555,-0.767743
2522000000.0,0.498661,-0.773687
2524000000.0,0.504983,-0.787679
2526000000.0,0.492123,-0.777823
2528000000.0,0.492677,-0.783464
2530000000.0,0.484851,-0.786746
2532000000.0,0.476082,-0.791454
2534000000.0,0.484428,-0.800357
2536000000.0,0.447582,-0.810579
2538000000.0,0.467986,-0.80438
2540000000.0,0.447543,-0.802597
2542000000.0,0.441547,-0.81307
2544000000.0,0.439392,-0.802063
2546000000.0,0.435319,-0.820134
2548000000.0,0.43307,-0.797147
2550000000.0,0.412435,-0.821442
2552000000.0,0.407338,-0.81245
2554000000.0,0.411944,-0.822718
2556000000.0,0.391187,-0.829423
2558000000.0,0.390325,-0.830227
2560000000.0,0.387754,-0.823431
2562000000.0,0.379166,-0.832356
2564000000.0,0.38,-0.837496
2566000000.0,0.370359,-0.832571
2568000000.0,0.367312,-0.839312
2570000000.0,0.360963,-0.840005
2572000000.0,0.363833,-0.834486
2574000000.0,0.344688,-0.846622
2576000000.0,0.350584,-0.844126
2578000000.0,0.342161,-0.838295
2580000000.0,0.33008,-0.85317
2582000000.0,0.329663,-0.853953
2584000000.0,0.303857,-0.855567
2586000000.0,0.31515,-0.852607
2588000000.0,0.286225,-0.857879
2590000000.0,0.290598,-0.86401
2592000000.0,0.30101,-0.864117
2594000000.0,0.273634,-0.863668
2596000000.0,0.298007,-0.874839
2598000000.0,0.261742,-0.872379
2600000000.0,0.264078,-0.874945
2602000000.0,0.258522,-0.8763
2604000000.0,0.24933,-0.88544
2606000000.0,0.239897,-0.893743
2608000000.0,0.222063,-0.881556
2610000000.0,0.234651,-0.891432
2612000000.0,0.223738,-0.882176
2614000000.0,0.21529,-0.893718
2616000000.0,0.208444,-0.900416
2618000000.0,0.19726,-0.900598
2620000000.0,0.196102,-0.888094
2622000000.0,0.184916,-0.906196
2624000000.0,0.188839,-0.899158
2626000000.0,0.151503,-0.905025
2628000000.0,0.184135,-0.910869
2630000000.0,0.19913,-0.908169
2632000000.0,0.157347,-0.911192
2634000000.0,0.132455,-0.924974
2636000000.0,0.137206,-0.924458
2638000000.0,0.12746,-0.925847
2640000000.0,0.13077,-0.927223
2642000000.0,0.1122,-0.916343
2644000000.0,0.123305,-0.924767
2646000000.0,0.094816,-0.930457
2648000000.0,0.08945,-0.922519
2650000000.0,0.081696,-0.921211
2652000000.0,0.072881,-0.933009
2654000000.0,0.063418,-0.924994
2656000000.0,0.069567,-0.917999
2658000000.0,0.043912,-0.921644
2660000000.0,0.03814,-0.934563
2662000000.0,0.0338,-0.921939
2664000000.0,0.00645,-0.917217
2666000000.0,-0.000618,-0.929444
2668000000.0,0.004691,-0.911348
2670000000.0,0.022894,-0.915903
2672000000.0,-0.012212,-0.915605
2674000000.0,-0.009471,-0.915562
2676000000.0,-0.025931,-0.920497
2678000000.0,-0.038997,-0.918255
2680000000.0,-0.06239,-0.915527
2682000000.0,-0.064307,-0.908218
2684000000.0,-0.076349,-0.905081
2686000000.0,-0.080844,-0.895756
2688000000.0,-0.093323,-0.898339
2690000000.0,-0.097834,-0.895757
2692000000.0,-0.13065,-0.89499
2694000000.0,-0.109689,-0.903363
2696000000.0,-0.126437,-0.891049
2698000000.0,-0.145089,-0.885973
2700000000.0,-0.140676,-0.891224
